"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
487562,95,48,1,24,7,0,48,263,117.5
303598,95,58,1,16,44,0,88,139.9,52.3
6e+05,100,35,1,30,30,0,70,222.7,80
966873,100,33,1,35,36,0,73,208.1,75.5
241535,100,31,1,28,34,0,74,172.2,54.9
298776,100,81,1,26,96,0,89,165.4,67.6
878000,100,59,1,31,46,0,96,110.1,49.5
520495,100,60,1,26,41,0,84,162.9,69.6
1047325,90,101,1,29,64,0,87,148.9,61.1
137580,100,99,1,10,12,0,64,204.2,70.9
80500,100,110,1,12,31,0,76,180.5,85.5
71959,100,106,1,18,26,0,36,262.1,105.9
461731,100,102,1,44,146,0,82,193.5,95.5
713021,95,56,1,31,68,0,83,280.3,99.9
60373,100,32,1,22,15,0,NA,191.5,80.5
181785,60,62,1,12,4,0,NA,143,75.6
631544,30,43,1,32,5,0,NA,235.2,82.1
14596,100,57,3,2,465,420,NA,109.3,72.3
908960,100,104,1,60.5,130,0,82,168.4,67.1
213484,100,91,1,18,64,0,67,162.2,78.9
566245,100,54,1,30,36,0,67,205,95.7
978871,100,59,1,19,33,0,89,164.1,68.9
371686,100,32,1,13,9,0,NA,259.2,88.2
1149222,100,34,1,26,10,0,64,225.4,89.3
197510,100,90,1,10,10,0,NA,137.9,43.9
5000,100,102,1,8,46,45,NA,118.2,68.2
95000,100,89,1,28,91,87,7,394.5,220.5
7800,100,107,1,10,45,42,62,115.8,57.3
258141,100,87,1,23,144,0,NA,945.1,310
735174,100,88,1,16,58,0,84,173.8,76.2
250564,100,113,1,18,104,0,93,121.7,55.2
122690,100,107,1,19,70,0,77,140,73.7
113473,95,82,1,10,3,0,99,71,34.5
3800,100,93,1,17,97,91,11,187.9,77.9
80149,100,97,1,11,17,0,23,305.8,118.9
8331,100,32,1,17,27,24,63,117.8,58.5
7500,100,102,1,7,38,36,67,110,58.5
45519,100,102,1,8.5,7,0,NA,254.8,112.8
133010,100,87,1,16,6,0,28,310.1,147.8
11800,100,32,2,11,32,15,1,193.9,110.4
46200,100,61,1,8,9,0,3,395.4,183.1
782257.5,100,87,1,26,65,0,100,709.3,234.8
6324,100,102,1,15,65,64,68,116.9,76
61219,0,102,1,10,23,0,NA,9.4,3
41903,100,107,1,8,12,0,NA,86.6,39.1
44968,100,102,1,5,3,0,18,305.4,122.2
45500,100,89,1,14,17,0,NA,77.3,41.9
129949,100,106,1,9,167,0,45,259.2,98.8
36280,100,26,1,9,21,0,62,202.4,76.3
224688,100,57,1,8,7,0,99,82.2,68.3
57751,100,13,1,16,48,21,NA,229.9,106.9
51750,100,107,1,6,1,0,96,96.7,30.8
312837,100,90,1,12,35,0,84,212.5,84.3
878120,100,88,1,16,67,0,87,164.5,67.9
66532,90,21,1,8,8,0,73,136,43.3
58000,75,107,1,9,6,0,39,228.6,73.5
126053,100,104,1,12,12,0,72,199.8,75.2
44200,100,102,1,6,50,0,54,196.1,66.1
54137,100,105,1,7,52,0,26,214,83.6
2972,100,62,2,20,837,833,NA,146.3,107
58301,100,26,1,15,33,0,64,200.7,82.4
2754,100,49,1,15,51,50,NA,143.7,73.5
3000,100,62,3,2,842,839,NA,147.3,107.6
5662,100,68,1,12,263,258,32,157.7,105.3
2299,100,12,1,8,78,78,NA,102.3,56.6
61282,100,12,1,16,55,55,35,259.3,143.7
8018,100,88,1,6,67,66,65,124.8,69.9
3000,100,5,1,12,67,65,NA,147.4,70.6
2451,100,97,1,5,5,3,NA,174.9,77.5
2240,100,7,1,17,48,47,28,149.7,65.2
11500,100,113,1,11,24,22,8,158.1,98.7
362151,100,87,1,16,16,0,84,168,65
444427,100,8,1,23,1,0,61,261.8,102.4
7100,100,104,1,11,123,117,NA,127.1,68.9
120000,100,110,1,12,15,0,NA,157.9,60.8
145255,100,115,1,11,18,0,65,248,114.3
55464,100,97,1,7,25,1,76,171.3,73.1
234219,90,88,1,15,21,0,94,127,52.9
53352,100,32,1,8,31,0,87,129.2,69.2
46740,100,105,1,6,42,0,78,159.3,67.4
221000,80,97,1,13,119,23,98,88.7,37.4
69500,100,32,2,5,8,0,67,181.3,61.7
214110,95,91,1,10,24,0,64,206.3,82.4
301968,100,34,1,12,45,0,73,263.3,101.6
178459,100,90,1,15,108,0,89,144.3,67
42080,100,113,1,12,25,6,NA,201.9,105.6
187008,95,100,1,12,14,0,97,90.1,28.7
6825,100,107,1,8,33,28,NA,91.5,56.9
296000,100,88,1,17,108,1,87,154.1,59.6
380972,100,98,1,12,41,0,78,201.2,87.7
76500,100,13,1,6,1,0,65,270.9,89.6
65170,100,107,2,6,4,0,NA,302,105.8
44160,100,107,1,6,14,0,64,174.1,68
3000,100,76,1,7,125,115,NA,167.1,83.1
92400,100,82,1,13,13,0,80,156.4,60.8
4335,100,105,1,12,90,56,NA,148.3,71.9
20000,100,111,1,6,4,0,1,559.1,269.9
52192,100,89,1,10,6,0,39,242.6,107.8
13318,100,12,1,22,42,39,1,255.4,142.5
170776,80,87,3,4,6,0,73,191.6,87.6
287886,100,107,3,12,43,0,60,231.1,89.7
87149,100,111,1,8,2,0,NA,290.1,119.4
55837,100,52,1,31,390,389,NA,128.4,90.8
2000,100,87,1,5,29,28,50,195.1,88.2
974349.1,100,111,1,15,1,0,82,192.9,77.9
7700,100,62,1,6,145,144,NA,187.6,96.8
24378,100,52,1,6,215,214,5,232.8,136.2
180000,100,111,1,11,13,0,71,187.5,94.1
50010,100,113,1,10,15,1,95,77.7,53.3
62000,90,101,1,11,11,0,3,311.8,130.2
119000,100,114,1,11,12,0,89,151.5,63.7
40000,100,104,1,6,6,0,67,155.5,71.8
7588,100,52,1,25,330,323,NA,110.8,81.7
295055,100,97,1,19,20,0,80,200.6,96.2
3000,100,91,1,21,426,420,NA,143.9,90.5
1170,100,91,1,10,61,60,NA,105.3,66.4
125445,100,94,1,8,1,0,98,118.9,49.3
14966,100,86,1,17,107,103,72,101.3,63.5
126756,100,109,1,17,66,0,82,160.7,72.4
320500,100,88,1,14,20,0,95,190.7,79.5
72360,100,93,1,11,19,0,NA,115.7,49.1
36000,100,92,1,6,8,0,95,85.4,61
313991,100,88,1,9,9,0,73,207.4,74.4
60000,100,87,1,6,7,0,NA,240.5,93.7
468583,85,5,1,17,2,0,81,178.7,67.4
292121,85,88,1,12,33,0,80,163.5,68.3
4500,100,32,1,6,20,1,NA,102.7,55.8
59445,100,87,1,6,18,0,99,77.5,35.7
937210,25,82,1,4,22,0,54,246.7,86.5
392134,100,109,1,10,14,0,86,151.3,67.4
101280,100,92,1,10,11,0,53,228.8,104.8
122893,90,87,1,10,5,0,98,537.1,175
886060,100,86,1,17,24,0,78,223.2,82.2
1093934,100,30,1,18,6,0,88,165.7,58.4
578811,95,94,1,9,2,0,95,231.9,81
73800,100,96,1,9,9,0,7,375.5,126.8
109150,100,105,1,9,9,0,80,155.9,59.6
263637,100,82,1,9,26,0,82,190,72.2
140000,100,105,1,12,13,0,53,259.2,111.4
90000,100,87,1,16,1,0,NA,281,157
59400,100,52,1,8,6,0,86,129,63.8
3230,100,9,1,11,40,30,NA,233.4,97.2
201000,100,105,1,9,6,0,86,149,55
95375,100,112,1,3,44,0,83,144.5,53.6
105407,100,7,1,15,2,0,71,186.3,77.6
1931972,95,86,1,19,208,0,67,239.5,94.1
564733,100,103,1,11,1,0,1,732.4,254.4
239875,100,109,1,10.5,1,0,NA,255.6,92.1
152691,100,10,1,10,10,0,49,291.3,128.8
67213,100,107,1,11,31,0,NA,89,34.7
75642,80,107,3,4,1,0,83,133.3,62.2
72820,70,100,1,9,53,0,86,116.5,71.9
78080,100,12,1,20,21,0,48,164.5,67.4
174186,100,106,2,6,2,0,81,157,67.4
107179,100,97,4,9,49,0,43,218.1,124.9
100630,25,92,1,4,4,0,NA,52.4,46.4
260086,100,102,1,13,16,0,91,136.3,54.6
51845,100,88,1,4,1,0,35,259.8,179.9
262969,95,81,1,8,30,0,75,202.1,110.3
46524,0,104,2,3,28,0,NA,35.9,11.4
36092,100,94,1,4,10,0,22,361.2,124.3
71613,5,1,1,7,2,0,99,50.4,26.9
956975,100,83,1,8,62,0,NA,387.5,153.8
112146,100,99,1,12,15,0,97,98.9,47.9
200248,40,104,1,13,2,0,NA,88,42.8
1557252,80,49,1,14,40,0,62,216.1,76.2
515000,100,90,1,18,50,0,62,238.3,100.5
377064,100,86,1,16,51,0,88,153.2,62.1
91008,100,17,1,33,345,333,38,169.1,78.4
637285,100,101,1,24,7,0,82,210.8,81.2
719230,100,92,2,18,6,0,98,88.7,37.4
160000,100,88,1,42,3,0,76,152.3,82.2
384610,95,90,1,18,1,0,82,226.1,99.2
286362,100,63,1,10,3,0,57,236.1,87.5
253339,100,91,1,25,59,0,89,158.8,66.9
306591,100,90,1,25,35,0,NA,157.5,61.6
98454,100,89,1,16,34,0,87,140.1,65.6
115745,100,93,1,12,24,0,78,170.1,93.3
200254,100,90,1,18,20,0,88,149.1,67.9
123177,100,90,1,20,0,0,82,163.2,73.6
109885,50,90,1,15,28,0,97,83.4,26.6
121817,100,89,1,14,48,0,93,131,63.8
83410,100,95,1,9,81,80,98,87.2,41.8
161756,100,90,1,23,58,0,NA,163.9,84.1
150000,100,91,1,23,40,0,99,94.4,30.1
68698,100,90,1,16,21,0,91,113.9,62.4
54395,100,92,1,12,12,0,83,140.5,75.6
5500,100,92,1,12,13,12,NA,93,57
110200,100,88,1,16,28,0,95,134.8,65
274209,100,90,1,20,75,0,86,139.5,67.9
225045,100,88,1,23,28,0,84,170.2,71.7
117850,100,89,1,23,26,0,90,139.4,61.9
143946,100,97,1,12,12,0,91,143.6,64.5
92337,100,88,1,14,10,0,92,127.1,65.3
127821,100,90,1,16,0,0,90,118.1,62.5
69000,100,70,1,5,1,0,80,144.4,46
52570,100,92,1,12,4,0,90,134.9,68.4
164609,100,87,1,20,0,0,89,135.8,64.9
49953,100,47,1,8,8,0,4,357.9,128.4
142599,100,115,1,6,1,0,91,143.4,45.7
138646,100,107,1,12,3,0,85,168.1,66.1
167228,100,105,1,12,77,0,28,318.4,116.5
10261,100,7,1,12,39,37,9,205.8,83.1
92532,100,88,1,12,39,0,67,189.4,81.3
2255,100,107,1,11,44,43,NA,141.7,88
63000,100,105,1,12,14,0,NA,138.9,67.4
183249,100,92,1,21,42,0,86,153.1,66.7
94331,100,88,1,15,52,0,96,112.9,44.1
132000,100,87,1,12,10,0,91,149.4,62.9
47414,100,92,1,6,43,0,91,78.5,40.1
195884,90,97,1,21,104,0,83,164.2,69.6
