"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
18281,100,115,1,7,2,0,86,195.8,82.5
2604,100,11,1,17,58,56,NA,168.7,86.1
9991,100,109,1,12,19,0,94,160.2,85.8
5000,100,9,1,15,118,116,74,98.1,43.2
7650,75,107,1,16,88,0,93,119,49.2
7500,100,110,1,12,15,0,94,85,36.3
42916,100,17,1,20,444,431,3,222.1,88.2
118500,100,106,4,12,23,0,NA,172,68.4
9307,100,87,1,19,37,0,85,177,92.1
56394,100,102,3,12,64,0,78,171.4,67.9
49327,90,107,1,14,34,0,55,246.8,97.8
14901,100,17,1,29,306,301,36,159.8,82.9
5000,100,101,1,16,16,0,80,153,68.9
24300,100,10,1,38,410,407,7,207.5,100.6
10000,100,108,1,11,12,0,92,114.6,59.1
4000,100,108,1,12,13,12,NA,188.2,107.1
7503,100,102,1,16,63,0,90,156,63.6
10040,100,105,1,21,31,1,NA,98.9,75.9
5000,100,87,1,18,19,0,69,177.4,87.9
5246,100,87,1,10,22,0,80,152.5,73.1
5000,100,101,1,12,13,0,74,157.1,89.4
8900,100,89,1,16,24,22,71,100,73.7
18849,100,87,1,10,81,0,96,119.8,46.7
3000,100,93,2,14,27,24,NA,98.1,65.8
8000,100,86,1,9,58,0,80,147.4,79
9600,100,102,1,12,15,0,65,207.5,119.2
4296,100,104,1,12,12,0,NA,95.3,51.1
5888,100,113,1,10,75,70,NA,186.7,79.1
5000,100,106,1,17,59,0,65,201.6,124.1
9517,100,115,1,11,49,0,73,175.4,66.8
99275,100,104,1,26,697,690,NA,95.1,61.1
28633.1,100,87,1,102,513,0,87,177.5,72.6
148210,100,108,1,11,14,0,97,90.8,31.4
7751,100,110,1,12,21,0,63,198.9,78.6
53627,100,105,3,11,12,0,99,78.3,31.1
40000,100,93,1,13,39,0,78,197.2,80.2
22978,60,111,1,12,203,0,99,82.8,29.8
5000,100,111,1,12,41,0,75,163.7,70.5
19167,100,97,1,13,63,0,NA,247.1,107.6
12862,100,109,1,12,73,0,79,166.6,80.4
5500,100,102,1,12,28,0,75,161.4,78
5700,95,89,1,12,16,0,66,180.6,73
5300,100,105,1,12,11,0,73,181.1,84.3
12500,100,104,1,10,129,123,13,206.4,104.1
15000,100,111,1,8,52,0,72,138.2,56.5
9500,100,100,1,16,19,0,89,104.2,42
7810,100,92,1,13,62,0,90,119.4,61.7
29894,100,7,1,58,168,163,17,192.7,94.7
12000,100,96,1,12,25,0,51,218,95.9
10000,100,105,1,12,13,0,68,153.9,78.8
12341,100,27,1,30,50,0,79,185.7,66.6
8928,100,100,1,17,19,0,71,164,90.2
692729,100,97,1,12,4,0,NA,159.1,63.3
10844,100,90,1,19,30,0,77,167.3,74.2
5000,100,91,1,16,49,0,83,162.6,61.7
8605,100,52,1,21,503,495,NA,192.9,121.7
21000,100,106,1,12,16,0,81,182.8,68.4
3125,100,110,1,11,19,17,NA,159.5,91.3
21037,100,116,1,13,13,0,64,240.9,99.5
10400,100,113,1,11,55,0,97,106.9,52.2
10406,100,91,1,6,6,0,60,188.8,60.2
57529,100,82,1,7,2,0,NA,308.8,108.6
23587,85,114,1,16,81,0,82,189.1,72.8
30000,100,32,1,11,43,41,38,143.2,71.1
5628,100,97,1,8,8,6,NA,118.7,50.2
11000,100,107,1,12,54,53,69,115.1,70.3
5300,100,105,1,8,12,0,86,131.7,48.2
5553,100,11,1,17,51,48,18,163.3,60.4
45997,100,104,1,20,31,4,88,138.5,53
12123,100,104,1,12,113,109,1,991.4,822.1
9200,100,104,1,13,125,123,13,175,70
6805,100,104,1,12,44,43,8,180.8,84.4
8659,100,32,1,29,425,423,23,163,97.9
13540,100,108,1,14,26,0,78,267.4,105.5
1200,90,30,1,41,127,119,NA,124.1,62.6
3649,100,32,1,14,33,31,NA,235.9,116.4
1593.2,100,104,1,12,13,0,NA,58.7,36.1
20570,85,89,1,16,24,0,NA,153.5,59.7
4000,100,104,1,16,26,0,NA,81.3,50.8
10000,100,12,1,55,139,138,21,148.2,62.4
35000,100,101,2,16,20,0,77,158.6,58.3
5882,100,12,1,41,252,250,NA,130.5,46.9
7915,100,110,1,16,120,0,96,148.3,62.6
27000,95,92,1,17,30,0,88,143.9,66.6
3000,95,10,2,36,111,110,NA,158.3,82.5
6000,100,85,1,26,275,268,29,155.6,93.7
18034,100,79,1,15,167,166,NA,98.6,60.2
28694,100,91,1,25,36,0,79,199.4,74.3
9475,100,88,1,15,38,0,28,174.1,76.3
5670,100,112,1,8.5,17,0,63,226.1,91.9
10731,100,92,1,16,39,0,88,138.6,62.3
6025,100,101,1,16,186,180,25,189.7,106.3
7000,100,101,1,11,11,0,84,181.9,90.8
6125,100,111,1,11,17,0,33,259.4,125
19836,100,14,1,54,180,172,NA,183,93.7
12740,85,94,1,19,33,0,84,164,68.7
5000,100,94,1,21,75,0,NA,168.1,70.7
7000,100,106,1,12,22,0,67,187.9,77.2
12800,100,31,1,33,185,174,78,123.3,42
120000,100,30,1,27,695,645,77,124.2,56.9
12000,100,54,1,19,236,231,NA,75.1,25.2
6000,100,57,1,14,223,221,16,175.8,127.6
22000,100,103,1,20,52,0,87,169.5,70.7
11000,100,61,1,18,193,186,NA,146.2,85.5
1500,100,46,1,12,67,66,NA,185.8,115.4
