"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
61940,100,87,1,2,1,0,58,78.1,48.5
51463,100,11,1,4,842,0,58,52.4,26.4
104000,100,63,1,2,1,0,75,63.2,40.4
154100,100,55,1,1,6,0,89,53.5,23.6
133593,100,104,1,6,1178,0,NA,51.5,20.7
60559,100,45,2,2,1,0,NA,131.4,78.2
65000,100,42,1,3,5,0,82,42.4,24.2
100923,100,104,1,5,2,0,79,72.8,42.2
23000,100,88,1,5,11,0,NA,97.6,68.7
45000,100,95,1,3,3,0,NA,90.4,46.9
22630,100,7,2,4,1,0,20,259.3,105.6
110250,100,78,2,2,1,0,14,146.4,62.1
50000,100,97,10,8,8,0,NA,123.5,45.4
116590,100,59,1,2,1,0,57,82.6,61.1
143895,100,50,1,2,1,0,85,47.3,33.6
50000,100,31,1,1,6,0,NA,58.2,29.9
93000,100,57,1,1,1,0,27,173.2,79.1
81966,100,20,1,1.5,1,0,4,83.3,26.5
49634,100,52,1,1,1,0,1,242.5,163.1
1e+05,100,58,1,2,1,0,35,112.8,55.4
104025,100,62,1,2,8,0,58,82,54.3
291454,100,42,2,1,2,0,93,35.9,20.4
85000,100,56,1,2,1,0,80,47.6,24.6
53000,100,52,1,2,2,0,60,56.7,27.4
126533,100,78,4,2,1,0,93,29.7,19.6
50000,100,65,1,2,1,0,67,35.5,22.4
65000,100,60,1,1,1,0,91,46.6,44.4
45150,100,58,1,1,1,0,41,117.4,62.2
86600,90,58,2,2,1,0,100,5.6,1.8
54495,100,50,1,1,1,0,77,61.4,35.6
388359,100,51,2,1,1,0,36,186.7,89
56332,100,52,2,2,1,0,3,217.2,69.2
88500,100,87,1,1,1,0,68,119.3,97.1
143840,100,86,1,4,3,0,100,19.3,14.3
130000,100,62,1,1,1,0,18,160.9,115.9
472000,100,8,2,2,1,0,73,71.7,37
53000,100,65,1,1,1,0,7,143.7,45.8
53143,100,50,1,1.5,1,0,2,194.1,155.1
55045,100,52,1,2,1,0,98,17.5,10.8
60000,100,30,1,1,1,0,45,79.7,25.4
57165,100,60,1,2,2,0,93,88.8,51.2
44200,100,51,1,1,1,0,13,152.8,127.6
54600,100,54,1,1,1,0,91,29.3,10.7
114500,100,54,1,1,1,0,54,50,46.5
84000,100,52,1,1,1,0,85,117.2,37.3
62810,100,54,1,2,1,0,37,136.8,56.2
52323,100,77,1,1,1,0,49,247,78.7
97650,100,47,1,1,1,0,75,100.3,64.5
120200,100,77,2,1,1,0,89,100,31.9
85000,100,92,2,3,4,0,NA,468.2,315.2
150000,100,63,1,3,1,0,79,50,34.7
52000,100,67,1,1,1,0,1,308.4,98.2
