"","btype","exp","dependent","model","interaction","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","data"
"65","Warehouse","C3a","TotalEnergy","DT",1,309,6,6,0.352,0.342,35205593280980.9,5933430.145,3341669.405,3.504,"NYC"
"66","Warehouse","E3b","TotalEnergy","GBT",1,309,7,7,0.551,0.542,16759428774784.4,4093828.132,2407906.859,2.272,"NYC"
"67","Hotel","C1","TotalEnergy","OLS",1,213,8,8,0.752,0.744,303936639155715,17433778.683,7775892.581,0.54,"NYC"
"68","Hotel","C2","TotalEnergy","OLSi2",2,213,29,29,0.763,0.727,291046155429371,17060074.895,7589461.315,0.549,"NYC"
"69","Hotel","C2","TotalEnergy","OLSi3",3,213,63,64,0.803,0.722,241496865959924,15540169.432,6551962.559,0.456,"NYC"
"70","Hotel","C2","TotalEnergy","OLSi4",4,213,77,99,0.809,0.702,234243213653102,15305006.163,6231601.002,0.425,"NYC"
"71","Hotel","C3a","TotalEnergy","DT",1,213,6,6,0.763,0.757,291159079801755,17063384.184,7037997.874,0.513,"NYC"
"72","Hotel","E3b","TotalEnergy","GBT",1,213,7,7,0.847,0.843,142766836355307,11948507.704,6322677.924,0.548,"NYC"
"73","Worship","C2","TotalEnergy","OLSi2",2,29,22,29,0.798,0.19,2481584029595.23,1575304.424,875579.559,0.361,"NYC"
"74","Worship","C2","TotalEnergy","OLSi3",3,29,26,64,0.959,0.62,498773168414.734,706238.747,395911.945,0.18,"NYC"
"75","Worship","C2","TotalEnergy","OLSi4",4,29,27,99,0.997,0.964,31830354534,178410.635,101043.556,0.045,"NYC"
"76","Worship","C3a","TotalEnergy","DT",1,29,4,4,0.35,0.272,7969470491752.99,2823025.06,2150509.219,1.598,"NYC"
"77","Worship","E3b","TotalEnergy","GBT",1,29,7,7,0.765,0.701,1767638653888.41,1329525.725,834903.76,0.377,"NYC"
"78","Multifamily","C1","TotalEnergy","OLS",1,8311,8,8,0.558,0.558,231319333732148,15209185.834,3546022.023,Inf,"NYC"
"79","Multifamily","C2","TotalEnergy","OLSi2",2,8311,29,29,0.776,0.776,117029094566792,10817998.64,3887323.533,Inf,"NYC"
"80","Multifamily","C2","TotalEnergy","OLSi3",3,8311,64,64,0.897,0.897,53657422728009.8,7325122.711,3232717.795,Inf,"NYC"
"81","Multifamily","C2","TotalEnergy","OLSi4",4,8311,98,99,0.927,0.926,38345800197388.5,6192398.582,2921403.257,Inf,"NYC"
"82","Multifamily","C3a","TotalEnergy","DT",1,8311,7,7,0.702,0.702,155756106644328,12480228.629,2723708.805,Inf,"NYC"
"83","Multifamily","E3b","TotalEnergy","GBT",1,8311,7,7,0.646,0.645,126197069703760,11233746.913,3193542.121,Inf,"NYC"
"84","K12school","C1","TotalEnergy","OLS",1,122,29,29,0.906,0.878,621211155994.189,788169.497,521135.357,0.253,"Seattle"
"85","K12school","C2","TotalEnergy","OLSi2",2,122,85,320,0.961,0.872,258737312594.892,508662.278,227789.341,0.151,"Seattle"
"86","K12school","C2","TotalEnergy","OLSi3",3,122,98,1818,0.977,0.882,155197847533.481,393951.58,147709.496,0.092,"Seattle"
"87","K12school","C2","TotalEnergy","OLSi4",4,122,99,6073,0.983,0.909,114615735709.034,338549.458,130131.342,0.096,"Seattle"
"88","K12school","C3a","TotalEnergy","DT",1,122,6,6,0.789,0.78,1399064092524.82,1182820.397,797099.328,0.405,"Seattle"
"89","K12school","E3b","TotalEnergy","GBT",1,122,22,22,0.961,0.953,236197295681.769,486001.333,342025.706,0.212,"Seattle"
"90","Office","C1","TotalEnergy","OLS",1,375,31,31,0.767,0.747,18235799340349.4,4270339.488,2384238.784,0.584,"Seattle"
"91","Office","C2","TotalEnergy","OLSi2",2,375,166,354,0.913,0.845,6765496682041.01,2601056.839,1559226.727,0.402,"Seattle"
"92","Office","C2","TotalEnergy","OLSi3",3,375,288,2050,0.983,0.925,1364472287292.01,1168106.283,573850.89,0.155,"Seattle"
"93","Office","C2","TotalEnergy","OLSi4",4,375,320,6925,0.996,0.974,295134346498.154,543262.686,215980.435,0.07,"Seattle"
"94","Office","C3a","TotalEnergy","DT",1,375,7,7,0.756,0.752,19107066406848.6,4371163.05,2487047.675,0.635,"Seattle"
"95","Office","E3b","TotalEnergy","GBT",1,375,26,26,0.848,0.837,9647338539877.23,3106016.507,1806434.713,0.477,"Seattle"
"96","Hotel","C1","TotalEnergy","OLS",1,68,28,28,0.955,0.924,8485187294282.94,2912934.482,1957206.311,0.375,"Seattle"
"97","Hotel","C3a","TotalEnergy","DT",1,68,5,5,0.645,0.623,66536004111356.6,8156960.47,4296987.696,0.622,"Seattle"
"98","Hotel","E3b","TotalEnergy","GBT",1,68,28,28,1,1,29868510.962,5465.209,3886.834,0.001,"Seattle"
"99","Worship","C1","TotalEnergy","OLS",1,63,22,23,0.876,0.813,123259548766.019,351083.393,267007.512,0.53,"Seattle"
"100","Worship","C2","TotalEnergy","OLSi2",2,63,57,205,0.99,0.892,10402122189.738,101990.795,46899.52,0.085,"Seattle"
"101","Worship","C3a","TotalEnergy","DT",1,63,6,6,0.525,0.483,472917589785.971,687690.039,441355.83,0.596,"Seattle"
"102","Worship","E3b","TotalEnergy","GBT",1,63,17,17,0.91,0.879,64281848165.476,253538.652,165023.032,0.283,"Seattle"
