"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"7666203530","NonResidential","Warehouse","Non-Refrigerated Warehouse",1951,1,3,146.3999939,98220,"12",6468090,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204430","NonResidential","Warehouse","Non-Refrigerated Warehouse",1931,1,2,145.1999969,61200,"16",4912143,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666204495","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,61.79999924,73296,"83",2356376.75,"LOW/AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666207627","NonResidential","Warehouse","Non-Refrigerated Warehouse",1952,1,2,62.59999847,115668,NA,3534690.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2738100480","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,107.6999969,115620,"11",1951856.25,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2924049101","NonResidential","Warehouse","Non-Refrigerated Warehouse",1969,1,1,163.3000031,55450,"31",4345698,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1824049060","NonResidential","Warehouse","Non-Refrigerated Warehouse",1946,1,1,61,179413,"57",3459543,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666703967","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,11.10000038,170632,"98",602245,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"0323049194","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,2,68.90000153,123000,"47",3004271,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0323049221","NonResidential","Warehouse","Non-Refrigerated Warehouse",1978,1,1,39.70000076,60448,"90",1052244.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2516000215","NonResidential","Warehouse","Non-Refrigerated Warehouse",2004,1,4,38.59999847,87332,"87",1165598.875,"AVERAGE/GOOD","PREFAB STEEL","Yes","SPACE HEATERS","Very Irreg","Yes"
"6003500780","NonResidential","Warehouse","Non-Refrigerated Warehouse",1988,1,4,25.60000038,132828,"83",1083729.625,"AVERAGE","REINFORCED CONCRETE",NA,"NO HEAT","Rect or Slight Irreg","Yes"
"3024049003","NonResidential","Warehouse","Non-Refrigerated Warehouse",1970,1,1,502.7000122,70400,"1",13962749,"AVERAGE","REINFORCED CONCRETE",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666705088","NonResidential","Warehouse","Non-Refrigerated Warehouse",1965,1,1,19.79999924,152365,"88",1069749.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"8902000245","NonResidential","Warehouse","Non-Refrigerated Warehouse",1987,1,4,20.29999924,80360,"96",686019.1875,"GOOD","MASONRY","Yes","SPACE HEATERS","Rect or Slight Irreg","No"
"0001800128","NonResidential","Warehouse","Non-Refrigerated Warehouse",1976,1,1,127.0999985,44100,"1",1618916.375,"AVERAGE","PREFAB STEEL",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0005000001","NonResidential","Warehouse","Non-Refrigerated Warehouse",2001,1,1,173.6999969,46340,"3",2564004,"AVERAGE","WOOD FRAME",NA,"NO HEAT","Rect or Slight Irreg","No"
"0323049146","NonResidential","Warehouse","Non-Refrigerated Warehouse",1979,1,1,60.5,26380,NA,509124,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0323049202","NonResidential","Warehouse","Non-Refrigerated Warehouse",1969,1,1,136.8999939,37351,"10",2559461.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0323049219","NonResidential","Warehouse","Non-Refrigerated Warehouse",1981,1,1,35.79999924,30375,"73",345866.6875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0323049241","NonResidential","Warehouse","Non-Refrigerated Warehouse",1979,1,1,39.70000076,30004,NA,369291.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"0939000530","NonResidential","Warehouse","Non-Refrigerated Warehouse",1900,1,5,9.5,33300,NA,90558.70313,"AVERAGE","MASONRY","Yes","HOT WATER","Rect or Slight Irreg","No"
"1486300005","NonResidential","Warehouse","Non-Refrigerated Warehouse",1985,1,1,92.19999695,37500,"36",1811506.375,"AVERAGE","MASONRY",NA,"HEAT PUMP","Rect or Slight Irreg","No"
"1498302080","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1953,1,1,91.40000153,25480,NA,741287.1875,"AVERAGE","MASONRY",NA,"NO HEAT","Rect or Slight Irreg","No"
"1498302235","NonResidential","Warehouse","Non-Refrigerated Warehouse",1970,1,2,227.3999939,31000,NA,2301043.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1327300012","NonResidential","Warehouse","Non-Refrigerated Warehouse",1955,1,2,23.89999962,32400,"91",248616,"AVERAGE","WOOD FRAME","No","HEAT PUMP","Long Rect or Irreg","Yes"
"1824049044","NonResidential","Warehouse","Non-Refrigerated Warehouse",1953,1,1,107.4000015,31521,"6",1788148,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"1824049069","NonResidential","Warehouse","Non-Refrigerated Warehouse",1951,1,1,93,24000,NA,1257033.5,"AVERAGE","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"1824049075","NonResidential","Warehouse","Non-Refrigerated Warehouse",1961,1,1,55.59999847,38005,NA,752093.625,"AVERAGE","MASONRY",NA,"NO HEAT","Rect or Slight Irreg","No"
"1722802630","NonResidential","Warehouse","Non-Refrigerated Warehouse",1938,1,1,87.19999695,30545,"12",1577040.875,"AVERAGE","MASONRY",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","No"
"1722800145","NonResidential","Warehouse","Non-Refrigerated Warehouse",1977,1,1,61.79999924,22320,"62",439065.9063,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"1722800985","NonResidential","Warehouse","Non-Refrigerated Warehouse",1968,1,1,116,27680,NA,1778431.75,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","No"
"1722801081","NonResidential","Warehouse","Non-Refrigerated Warehouse",1969,1,1,32.70000076,20500,"65",222600.0938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"1972202680","NonResidential","Warehouse","Non-Refrigerated Warehouse",1927,1,2,146,33840,NA,2227638.25,"AVERAGE/GOOD","MASONRY","Yes","COMPLETE HVAC","Rect or Slight Irreg","Yes"
"1926049290","NonResidential","Warehouse","Non-Refrigerated Warehouse",1972,1,1,97,48112,"73",1485945.875,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"1982201700","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,13.89999962,36444,"80",161311.0938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"1982203275","NonResidential","Warehouse","Non-Refrigerated Warehouse",1950,1,1,69.30000305,27553,"63",966677.125,"AVERAGE","PREFAB STEEL",NA,"ELECTRIC WALL","Rect or Slight Irreg",NA
"2136200605","NonResidential","Warehouse","Non-Refrigerated Warehouse",1977,1,1,91.5,29380,"33",856088.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2024049004","NonResidential","Warehouse","Non-Refrigerated Warehouse",1989,1,1,50.59999847,21101,NA,675772.875,NA,NA,NA,NA,NA,NA
"2024049006","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1914,1,2,93.09999847,45594,"75",1351267.875,NA,NA,NA,NA,NA,NA
"2024049035","NonResidential","Warehouse","Non-Refrigerated Warehouse",1975,1,1,77,28126,"44",870625.8125,NA,NA,NA,NA,NA,NA
"2024049036","NonResidential","Warehouse","Non-Refrigerated Warehouse",1964,1,1,34,35000,"53",378714.4063,NA,NA,NA,NA,NA,NA
"2024049059","NonResidential","Warehouse","Non-Refrigerated Warehouse",1962,1,1,113.6999969,26150,"6",1208407.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"2433700015","NonResidential","Warehouse","Non-Refrigerated Warehouse",1979,1,1,219.8000031,31600,"3",3363535.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2433700068","NonResidential","Warehouse","Non-Refrigerated Warehouse",2007,1,1,55.09999847,35289,"63",876425,"GOOD","PREFAB STEEL",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2433700074","NonResidential","Warehouse","Non-Refrigerated Warehouse",1981,1,1,80.69999695,28920,"50",1750419,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2433700075","NonResidential","Warehouse","Non-Refrigerated Warehouse",1978,1,1,47.79999924,22176,"60",736428.625,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2433700076","NonResidential","Warehouse","Non-Refrigerated Warehouse",1978,1,1,26.89999962,31300,"89",362874,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"2433700165","NonResidential","Warehouse","Non-Refrigerated Warehouse",1979,1,1,100,22000,"14",700627.625,"LOW COST","PREFAB STEEL",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
