"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
270000,168,400,1150,"No",100,1819
80000,66,170,200,"No",85,1278
176000,50,250,410,"No",100,978
9000,40,8,14,"No",70,1042
3e+05,72,850,880,"No",100,4117
25500,50,20,66,"No",60,1749
325000,60,700,1167,"No",100,1201
156000,65,450,650,"No",100,2219
16500,60,23,31,"Yes",100,923
69000,45,65,80,"No",55,2254
60000,50,280,303,"No",95,1808
1900,40,3,2,"No",100,2774
124000,65,350,376,"No",100,492
1350,60,4,4,"No",100,922
7900,60,9,18,"No",100,798
500001,168,2500,2995,"No",98,1030
3500,60,10,19,"Yes",100,3451
22000,40,75,66,"No",90,909
265000,65,450,715,"No",100,1075
75000,46,150,185,"Yes",100,806
1600,40,3,5,"No",50,938
9900,54,12,17,"No",100,1585
3000,50,5,5,"No",95,3763
7800,50,14,18,"No",75,1759
33000,70,71,85,"No",100,3029
350000,65,500,415,"No",91,3854
5400,48,4,13,"No",100,1575
275000,60,550,485,"No",75,1283
340000,60,1190,1889,"No",100,1641
2700,56,4,6,"No",100,1702
5200,53,6,5,"No",100,3662
2900,46,3,10,"No",60,1367
240000,40,900,1005,"No",90,2672
58000,40,80,24,"No",100,1458
215000,65,400,410,"No",86,918
355000,60,884,1463,"No",90,4791
33000,50,90,136,"No",95,1678
36000,168,50,37,"No",75,1193
13000,50,25,48,"No",95,1237
6e+05,60,1300,1079,"Yes",90,1219
1900,40,2,3,"No",50,1905
5000,50,4,5,"No",100,3469
3000,40,1,5,"No",100,925
2100,44,6,8,"No",66,2318
8200,55,9,14,"No",100,1110
3800,55,3,7,"No",100,2534
2500,40,3,6,"No",100,1745
445000,65,500,800,"No",90,1820
1800,54,2,6,"No",100,1613
6800,62,10,9,"No",100,3325
3100,45,3,7,"No",100,902
310000,50,720,205,"No",100,1381
46000,60,86,152,"No",100,808
31000,40,130,156,"No",100,2701
142000,60,100,162,"No",100,997
6e+05,55,2000,3450,"No",90,1921
57000,40,104,122,"No",100,985
4400,90,7,8,"No",50,3591
5500,40,10,13,"No",100,1818
106000,55,271,286,"No",90,1685
6000,80,13,15,"No",100,790
66000,60,255,406,"No",100,1067
71000,50,246,329,"No",100,3643
3600,45,4,12,"No",100,1361
1900,40,6,7,"No",33,634
37000,60,200,149,"No",100,1353
9900,114,9,9,"No",100,1454
51000,50,130,96,"No",100,282
52000,50,100,140,"No",100,1205
174000,60,600,1006,"No",100,2586
27000,40,40,56,"No",100,2467
200001,60,850,165,"No",100,3377
28000,45,70,96,"No",25,1059
68000,54,160,186,"No",100,1591
3500,52,15,18,"Yes",100,1412
150000,168,450,756,"No",95,1318
1700,60,4,6,"No",100,1008
7000,40,10,15,"No",100,540
136000,40,150,306,"No",100,2994
6000,168,4,9,"No",100,1579
7e+05,65,1000,1512,"No",80,3413
3500,40,10,13,"No",100,1958
6000,45,5,8,"No",75,1705
160000,40,200,205,"No",99,3945
18000,50,30,51,"No",100,1490
220000,60,500,350,"No",100,923
3000,60,7,7,"No",100,3387
5000,40,5,8,"No",100,1826
235000,168,800,1215,"No",100,1637
12250,45,14,19,"No",70,424
10750,60,50,36,"No",100,2016
11000,45,60,61,"No",100,2047
198000,58,800,870,"No",100,861
3100,45,2,5,"No",100,1387
10000,50,40,75,"No",100,967
4000,60,20,9,"No",100,686
88000,60,457,301,"No",100,191
170000,65,400,469,"No",100,842
1500,40,3,4,"No",80,1877
144000,168,420,415,"No",62,1019
10250,80,15,34,"No",100,4449
2500,50,4,6,"No",100,1619
380000,60,1900,2625,"No",100,880
8e+05,60,1700,2000,"No",100,122
6400,50,5,9,"Yes",100,1086
1001,35,2,3,"No",80,1298
42500,50,30,37,"No",80,1324
360000,68,1100,1110,"No",100,2028
60000,60,155,207,"No",100,791
14000,60,17,16,"No",100,4008
6e+05,55,1600,3027,"Yes",95,1110
6900,50,23,36,"No",100,927
17000,45,7,23,"No",100,1232
178000,45,150,125,"No",80,1524
1e+06,60,2100,1620,"No",50,1366
335000,55,900,697,"No",100,1281
44500,40,84,250,"No",100,1508
30500,168,100,80,"No",100,848
100001,168,85,198,"No",100,437
52000,65,60,67,"No",100,1439
64000,50,52,37,"Yes",100,2235
