"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65","SOURCE_EUI","SourceEnergy","FINALWT","SourceEnergyLog"
1200,45,5,4,"No",100,1422,177.94,213522.4,1390.874,12.2714970241801
73000,70,85,125,"No",100,1060,147.07,10736345.2,276.953,16.1891452911789
48000,50,155,203,"No",100,1764,115.17,5528280.8,632.517,15.5253874390875
11250,40,50,73,"No",100,2981,192.9,2170177.8,904.018,14.590319657644
1100,40,5,8,"No",100,1780,106.99,117692.4,1807.463,11.6758297202205
90000,40,175,174,"No",100,1035,243.15,21883391.15,647.987,16.9012385120826
40000,68,75,108,"No",100,1468,197.08,7883106,579.248,15.880232546609
74000,53,220,138,"No",100,623,273.55,20242871.95,55.969,16.8233132870803
62000,60,250,255,"No",100,896,80.27,4977005.95,158.3,15.4203390533393
6900,60,20,17,"No",100,1619,201.27,1388780.4,143.946,14.1439365098854
116000,168,300,515,"No",100,3384,132.23,15339240,17.712,16.5459248089994
3500,50,8,11,"No",100,2107,158.3,554043,1791.31,13.2249975800459
70000,45,80,104,"No",80,2233,176.91,12383940.8,653.843,16.3319110944385
96000,60,200,269,"No",85,945,172.48,16557977.21,276.953,16.622378550306
1900,70,7,8,"No",100,4007,564.65,1072827.7,1879.456,13.8858084308996
305000,60,950,1080,"No",100,1178,307.99,93936302.76,52.146,18.3581274803264
6900,40,12,24,"No",100,2171,116.42,803313,519.502,13.5964997052751
4250,40,12,12,"No",75,1865,74.98,318670.8,1868.403,12.6719138739926
2750,60,10,20,"No",100,4295,205.99,566470.8,1162.263,13.2471808135498
3050,44,9,9,"No",100,1484,126.08,384556.2,336.402,12.8598452210961
65000,126,12,14,"No",100,887,80.11,5207399.4,73.698,15.4655911336397
138000,75,600,918,"No",100,141,211.18,29142781.15,163.09,17.1877177951517
4150,40,8,10,"No",100,1969,75.2,312090.1,751.727,12.6510472071534
150000,50,900,514,"No",100,656,113.28,16992032.4,53.724,16.6482551098016
8e+05,55,1574,2045,"No",70,1556,127.52,102018143.15,10.856,18.4406612294504
2400,40,8,18,"No",100,1705,50.02,120050,1807.463,11.6956636016494
7e+05,75,2100,2423,"No",94,1246,253.21,177247044.38,62.141,18.9930550483715
2500,48,6,11,"Yes",100,469,273.9,684742.8,1851.67,13.4367985722836
3200,40,2,2,"No",100,2020,55.97,179102.7,1868.403,12.0957146633121
40500,60,125,157,"No",100,723,123.28,4992970.5,177.345,15.4235415811937
2000,50,9,13,"Yes",100,1323,28.15,56308,1655.242,10.9385918999479
3600,45,4,5,"No",100,1524,47.65,171551.45,1387.077,12.0526385005971
6e+05,72,2100,2534,"No",100,950,286.76,172055083.43,25.323,18.9633252360078
3400,60,3,6,"No",100,3787,65.84,223840.4,1834.966,12.3186885768884
1250,50,5,5,"No",100,2600,137.75,172183.2,1461.857,12.0563143052408
2200,85,3,3,"No",25,2848,252.73,556010,1807.463,13.2285415586825
