Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
119055,6525 W Diversey Ave,60707,Commercial,"> 250,000 Sq Ft",2018,BELMONT CRAGIN,19,36,41.93005111,-87.78975524,"(41.93005111, -87.78975524)"
118700,4555 S Western Blvd,60609,Commercial,"50,000 - 250,000 Sq Ft",2018,NEW CITY,61,12,41.810999,-87.683897,"(41.810999, -87.683897)"
120083,1940 W 33rd St,60608,Commercial,"> 250,000 Sq Ft",2018,MCKINLEY PARK,59,25,41.83444209,-87.67471572,"(41.83444209, -87.67471572)"
119799,7971 S CICERO AVE,60652,Commercial,"50,000 - 250,000 Sq Ft",2018,ASHBURN,70,18,41.74665058,-87.73987193,"(41.74665058, -87.73987193)"
130553,4700 N MARINE DR,60640,Commercial,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,46,41.96762739,-87.64972733,"(41.96762739, -87.64972733)"
120624,2641 W Harrison St,60612,Commercial,"50,000 - 250,000 Sq Ft",2018,EAST GARFIELD PARK,27,28,41.87340714,-87.69235672,"(41.87340714, -87.69235672)"
121059,3656 N Halsted St,60613,Commercial,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.94861476,-87.64991437,"(41.94861476, -87.64991437)"
120103,814 W Eastman,60642,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,27,41.907456,-87.648585,"(41.907456, -87.648585)"
119808,1110 W Belden,60614,Commercial,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92382673,-87.65658512,"(41.92382673, -87.65658512)"
121038,163 W 87th St,60620,Commercial,"50,000 - 250,000 Sq Ft",2018,CHATHAM,44,21,41.73499475,-87.62900963,"(41.73499475, -87.62900963)"
120445,1 - 15 E Oak St,60611,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.90069946,-87.627748,"(41.90069946, -87.627748)"
121264,1407 E 60th St,60637,Commercial,"50,000 - 250,000 Sq Ft",2018,WOODLAWN,42,20,41.786046,-87.591237,"(41.786046, -87.591237)"
121212,333 E Benton PL,60601,Commercial,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.88548291,-87.61846032,"(41.88548291, -87.61846032)"
121102,1333 W Belmont Ave,60657,Commercial,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,32,41.93972142,-87.66227322,"(41.93972142, -87.66227322)"
121093,1430 S Ashland Ave,60608,Commercial,"50,000 - 250,000 Sq Ft",2018,NEAR WEST SIDE,28,28,41.86202556,-87.66781544,"(41.86202556, -87.66781544)"
