"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","WKHRS","NWKER","COOK","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","RFGSTO","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","RFGSTP","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","RFGRES","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","ZWKHRS","ZNWKER","ZRFGWIN","ZCOOLP","ZHEATP","HEATP.1","FURNP","PKGHP","BOILP","STHWP","HTPHP","SLFCNP","OTHTP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
14000,2,NA,NA,NA,12,50,20,2,50,50,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,16,2,4,2,1,NA,4,4878,943,1,42,25,1162.262962,993494,335444,658050,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,NA,NA,NA,NA,0,0,9,0,0,50,NA,NA,NA,NA,NA,100,NA,939243.2,690952.5,NA,NA,1630195.7,116.44,70.96
13250,1,NA,NA,NA,12,91,4,2,NA,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,8,NA,NA,NA,1,0,1,0,NA,8,NA,1758,1360,2,42,25,336.40197304,744130,744130,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,8,NA,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,2083564,NA,NA,NA,2083564,157.25,56.16
36000,2,NA,NA,NA,12,50,30,2,33,33,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,25,15,3,2,1,2,2,6841,909,1,42,25,233.30275282,992780,945117,47663,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,NA,NA,NA,NA,2,0,0,9,0,0,33,NA,100,NA,NA,NA,NA,NA,2646327.6,50046.15,NA,NA,2696373.75,74.9,27.58
6400,1,NA,NA,NA,12,82,8,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,11,0,5,1,1,9,NA,5141,874,2,42,25,1667.7551609,547538,389995,157543,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,1,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,1091986,165420.15,NA,NA,1257406.15,196.47,85.55
6600,2,NA,NA,NA,12,50,6,1,100,100,2,2,2,2,1,2,2,2,NA,NA,3,NA,2,NA,5,0,4,0,NA,1,NA,936,4214,2,42,25,1667.7551609,499305,499305,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3,NA,0,0,9,0,0,100,NA,NA,NA,NA,100,NA,NA,1398054,NA,NA,NA,1398054,211.83,75.65
17500,1,NA,NA,NA,10,119,30,1,100,NA,2,2,2,1,2,2,2,1,6,5,32,1,1,20,5,0,3,1,NA,7,NA,4516,171,1,14,6,1031.3463294,6922493,4820320,2102173,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,6,5,32,1,0,0,0,9,0,100,NA,60,NA,NA,NA,40,NA,13496896,2207281.65,NA,NA,15704177.65,897.38,395.57
8000,1,NA,NA,NA,12,56,4,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,2,NA,3172,2097,2,42,25,1868.403437,607692,294759,312933,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,2,NA,NA,NA,NA,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,825325.2,328579.65,NA,NA,1153904.85,144.24,75.96
7400,1,NA,NA,NA,12,60,4,2,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,1,NA,NA,4250,1507,NA,42,25,961.78281331,623401,242716,380685,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,9,0,0,100,NA,100,NA,NA,NA,NA,NA,679604.8,399719.25,NA,NA,1079324.05,145.85,84.24
150000,2,2,NA,NA,12,90,25,1,100,100,2,2,1,2,2,2,2,2,1,3,NA,3,1,NA,10,3,6,10,5,23,1,4848,1244,2,42,25,48.841044419,18837649,15447666,3389983,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,1,3,NA,3,0,0,0,0,0,100,NA,75,NA,NA,25,NA,NA,43253464.8,3559482.15,NA,NA,46812946.95,312.09,125.58
7600,1,NA,NA,NA,12,62,4,2,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,NA,2,1,1657,1333,NA,42,25,336.40197304,142373,142373,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,398644.4,NA,NA,NA,398644.4,52.45,18.73
