"Unit.Density","Bedrooms.Unit","CDD","HDD","Building.Type..Property.Level.","Source.EUI...using.Total.gross.floor.area.","Total.gross.floor.area","Total.number.of.units","Total.SITE.kBtu","Total.SOURCE.kBtu","Site.EUI..using.Total.gross.floor.area.","Source.EUI...using.Total.gross.floor.area.","Survey.Weights.for.ENERGY.STAR.score.analysis"
1.2,1.1,898,6020,"High-rise",164.9,60040,72,6091568,9903558,101.5,164.9,925.04
1.04,2.438,206,7993,"Low-rise",130.3,70196,73,2912407,9144957,41.5,130.3,925.04
2.5,1,100,3289,"Mid-rise",196.1,29554,74,3666828,5794783,124.1,196.1,925.04
0.67,1.7,1272,4423,"Mid-rise",128.3,111000,74,10494477,14239899,94.5,128.3,433
1.38,1,750,1381,"High-rise",74.3,54156,75,1770781,4025824,32.7,74.3,925.04
1.42,1,1067,2468,"Low-rise",74.4,52632,75,1802690,3918224,34.3,74.4,925.04
1.21,1.1,1877,2731,"Low-rise",89.9,62000,75,1774741,5572687,28.6,89.9,925.04
1.69,1,1061,5751,"Low-rise",174.9,44378,75,4657706,7762901,105,174.9,925.04
1.22,1,338,1391,"High-rise",63.2,62318,76,1766261,3937177,28.3,63.2,925.04
1.92,1,3238,1754,"Low-rise",120.2,39640,76,1517831,4765989,38.3,120.2,925.04
1.27,1,944,5414,"Mid-rise",133.7,59971,76,5005668,8016945,83.5,133.7,433
0.77,1,859,5674,"Mid-rise",69.3,99036,76,3725749,6859785,37.6,69.3,433
1.47,1.2,475,6315,"Low-rise",187.2,51556,76,3073683,9651366,59.6,187.2,925.04
0.43,2.3,1272,4423,"High-rise",160.7,178676,77,18219073,28721421,102,160.7,433
0.74,1.4,1272,4423,"High-rise",143.7,103984,77,11257365,14944644,108.3,143.7,433
1.3,1,2416,2838,"Mid-rise",141.6,60079,78,3300126,8506859,54.9,141.6,925.04
0.81,1,761,2845,"Low-rise",82.3,96093,78,3339952,7911154,34.8,82.3,925.04
1.43,1.1,1603,3715,"Low-rise",125.5,54614,78,2183661,6856695,40,125.5,925.04
1.3,1,587,6199,"Mid-rise",120.2,59774,78,4224926,7187817,70.7,120.2,433
1.15,1.5,1165,4570,"Mid-rise",126.9,68796,79,6313424,8729116,91.8,126.9,433
0.83,2.6,938,5404,"Low-rise",128.1,94994,79,8576269,12172964,90.3,128.1,433
1.49,1,3453,960,"High-rise",101.9,53628,80,1861907,5466311,34.7,101.9,925.04
1.4,1,356,2340,"Low-rise",70.9,57750,81,1860575,4092679,32.2,70.9,925.04
1.03,1,2870,3425,"Low-rise",109.4,78482,81,3282117,8584981,41.8,109.4,925.04
1.96,1,475,6315,"Low-rise",221.3,41427,81,2919024,9165734,70.5,221.3,925.04
1.57,1.1,2831,1869,"Low-rise",118.5,52206,82,3038517,6184661,58.2,118.5,925.04
0.72,1.4,1272,4423,"Mid-rise",105.3,114500,82,8751824,12054020,76.4,105.3,433
0.52,1.6,100,5094,"Mid-rise",58.4,156605,82,3907735,9143232,25,58.4,925.04
1.09,1.1,851,5371,"High-rise",164.5,75560,82,8517754,12429050,112.7,164.5,433
1.6,1,905,5888,"High-rise",93.9,51314,82,1559619,4815930,30.4,93.9,925.04
0.89,1.4,1536,4312,"Mid-rise",108.5,92805,83,7267326,10066077,78.3,108.5,433
1.05,1.1,1272,4423,"Mid-rise",126.4,79000,83,7666318,9982630,97,126.4,433
0.83,1.2,1272,4423,"Mid-rise",86.9,100315,83,5296833,8717223,52.8,86.9,433
0.75,1.988,1272,4423,"Mid-rise",118.5,111675,84,9550210,13229781,85.5,118.5,433
0.98,1,1734,4461,"Low-rise",134.9,85475,84,6165627,11527079,72.1,134.9,925.04
0.97,1.1,1217,5412,"High-rise",145.7,86532,84,8371631,12611532,96.7,145.7,925.04
