"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","RFGSTP","RWSEAT","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI"
3100,1,NA,NA,NA,12,1,6,1,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,3863,1479,21,12,1791.3103533,21966,21966,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,2,2,2,2,NA,70,61504.8,NA,NA,NA,61504.8,19.84,7.09
7000,1,NA,NA,NA,10,1,77,2,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,0,4,NA,NA,2721,2368,21,12,1807.4628666,761643,82785,678858,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,80,231798,712800.9,NA,NA,944598.9,134.94,108.81
54000,4,NA,NA,NA,12,1,80,30,1,2,100,50,2,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,2,NA,1,12,2,12,1,2,NA,3,4019,1310,21,12,54.139042181,1062734,931636,131098,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1000,2608580.8,137652.9,NA,NA,2746233.7,50.86,19.68
7400,1,NA,NA,NA,12,1,30,1,2,2,100,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,2735,1077,21,12,941.81790866,380145,207330,172815,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,500,580524,181455.75,NA,NA,761979.75,102.97,51.37
17500,1,NA,NA,NA,12,1,20,19,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,2,NA,1,3237,1910,21,12,632.51710677,941820,403080,538740,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,800,1128624,565677,NA,NA,1694301,96.82,53.82
12250,1,NA,NA,NA,12,1,5,1,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,0,2,NA,1,2684,1362,21,12,1117.7421223,611058,611058,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,125,1710962.4,NA,NA,NA,1710962.4,139.67,49.88
16750,2,NA,NA,NA,12,1,45,3,1,2,100,100,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,0,3,NA,1,2369,1543,21,12,1117.7421223,306179,138694,167485,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,200,388343.2,175859.25,NA,NA,564202.45,33.68,18.28
1800,1,NA,NA,NA,12,1,6,4,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,1935,1914,21,12,1522.9817889,80785,26255,54530,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,175,73514,57256.5,NA,NA,130770.5,72.65,44.88
96000,4,2,NA,NA,12,1,60,25,1,2,60,60,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,1,20,10,7,2,10,NA,4,336,3918,21,12,54.139042181,5165701,5062176,103525,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,1250,14174092.8,108701.25,0,NA,14282794.05,148.78,53.81
6000,3,NA,NA,NA,12,1,24,1,1,2,100,100,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,4,NA,NA,6962,753,21,12,1274.2560839,270413,74023,196390,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,150,207264.4,206209.5,NA,NA,413473.9,68.91,45.07
