"","btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"74","multifamily","8","C2",5,"Reg","SourceEnergy",1252,692,19301,0.991,0.98,751563656655.593,866927.711,415181.05,0.102
"75","multifamily","R22","C3a",1,"rpart","SourceEUI",1252,5,5,0.051,0.048,655.516,25.603,18.66,0.208
"76","multifamily","R211","C3a",1,"rpart","SourceEnergy",1252,8,8,0.847,0.846,12677472046832.1,3560543.785,1274172.098,0.173
"77","multifamily","R23","C3b",1,"xgboost_default","SourceEUI",1252,16,16,0.096,0.085,591.75,24.326,17.734,0.198
"78","multifamily","R212","E3b",1,"xgboost_default","SourceEnergy",1252,15,15,0.949,0.948,4142736580984.9,2035371.362,1230174.379,0.215
"79","multifamily","R24","C3b",1,"xgboost_random","SourceEUI",1252,27,27,0.17,0.153,559.835,23.661,17.295,0.193
"80","multifamily","R213","E3b",1,"xgboost_random","SourceEnergy",1252,35,35,0.972,0.971,2266315309308.27,1505428.613,987326.39,0.191
"81","hotel","R2","C1",1,"Reg","SourceEUI",68,28,28,0.441,0.063,1547.541,39.339,28.543,0.218
"82","hotel","R21","C1",1,"Reg","SourceEnergy",68,28,28,0.976,0.961,30987981374916.3,5566684.954,4110997.125,0.3
"83","hotel","1","C2",2,"Reg","SourceEUI",68,68,303,1,NA,0,0,0,0
"84","hotel","2","C2",2,"Reg","SourceEnergy",68,68,303,1,NA,0,0,0,0
"85","hotel","3","C2",3,"Reg","SourceEUI",68,68,1702,1,NA,0,0,0,0
"86","hotel","4","C2",3,"Reg","SourceEnergy",68,68,1702,1,NA,0,0,0,0
"87","hotel","5","C2",4,"Reg","SourceEUI",68,68,5647,1,NA,0,0,0,0
"88","hotel","6","C2",4,"Reg","SourceEnergy",68,68,5647,1,NA,0,0,0,0
"89","hotel","7","C2",5,"Reg","SourceEUI",68,68,12048,1,NA,0,0,0,0
"90","hotel","8","C2",5,"Reg","SourceEnergy",68,68,12048,1,NA,0,0,0,0
"91","hotel","R22","C3a",1,"rpart","SourceEUI",68,0,0,0,0.015,2765.958,52.592,41.823,0.317
"92","hotel","R211","C3a",1,"rpart","SourceEnergy",68,7,7,0.649,0.614,462123309324670,21497053.503,8747051.133,0.347
"93","hotel","R23","C3b",1,"xgboost_default","SourceEUI",68,9,9,0.444,0.369,1160.408,34.065,25.511,0.187
"94","hotel","R212","E3b",1,"xgboost_default","SourceEnergy",68,8,8,0.98,0.978,24131848345890.8,4912417.77,3577322.382,0.318
"95","hotel","R24","C3b",1,"xgboost_random","SourceEUI",68,8,8,0.252,0.164,1764.524,42.006,29.995,0.225
"96","hotel","R213","E3b",1,"xgboost_random","SourceEnergy",68,19,19,0.932,0.907,82406800791726.5,9077819.165,5619953.618,0.434
"97","worship","R2","C1",1,"Reg","SourceEUI",67,22,23,0.406,0.129,274.905,16.58,11.567,0.256
"98","worship","R21","C1",1,"Reg","SourceEnergy",67,22,23,0.854,0.785,376401789256.513,613515.924,429934.962,0.291
"99","worship","1","C2",2,"Reg","SourceEUI",67,58,205,0.711,-1.121,133.869,11.57,6.902,0.135
"100","worship","2","C2",2,"Reg","SourceEnergy",67,58,205,0.963,0.726,96213921569.678,310183.69,182085.436,0.138
"101","worship","3","C2",3,"Reg","SourceEUI",67,67,955,1,NA,0,0,0,0
"102","worship","4","C2",3,"Reg","SourceEnergy",67,67,955,1,NA,0,0,0,0
"103","worship","5","C2",4,"Reg","SourceEUI",67,67,2675,1,NA,0,0,0,0
"104","worship","6","C2",4,"Reg","SourceEnergy",67,67,2675,1,NA,0,0,0,0
"105","worship","7","C2",5,"Reg","SourceEUI",67,67,4981,1,NA,0,0,0,0
"106","worship","8","C2",5,"Reg","SourceEnergy",67,67,4981,1,NA,0,0,0,0
"107","worship","R22","C3a",1,"rpart","SourceEUI",67,5,5,0.271,0.224,337.322,18.366,15.123,0.316
"108","worship","R211","C3a",1,"rpart","SourceEnergy",67,5,5,0.595,0.569,1043049232187.81,1021297.818,619045.547,0.365
"109","worship","R23","C3b",1,"xgboost_default","SourceEUI",67,11,11,0.473,0.379,192.028,13.857,10.819,0.217
"110","worship","R212","E3b",1,"xgboost_default","SourceEnergy",67,12,12,0.901,0.881,235381825104.411,485161.648,368743.181,0.244
"111","worship","R24","C3b",1,"xgboost_random","SourceEUI",67,4,4,0.014,-0.033,430.491,20.748,16.321,0.352
"112","worship","R213","E3b",1,"xgboost_random","SourceEnergy",67,12,12,0.385,0.262,1092019157878.17,1044997.205,572873.921,0.326
