"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
22365,1,4,"AVERAGE","WOOD FRAME","WARMED AND COOLED AIR","Rect or Slight Irreg",38,71,105.6999969,727385.8125,2363980.4306685
30172,1,4,"AVERAGE/GOOD","MASONRY","PACKAGE UNIT","Rect or Slight Irreg",23,82,94.09999847,904059.875,2839185.15383684
23032,1,4,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",116,NA,166.1000061,1121537.75,3825615.3404952
23500,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",49,26,181.3999939,1686405,4262899.85665
22282,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",51,93,56.09999847,579888.3125,1250020.16590854
37500,1,2,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",86,58,152.6000061,2235765.5,5722500.22875
40571,1,4,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",34,64,168.3000031,1286817.375,6828099.4257701
41707,1,4,"AVERAGE/GOOD","REINFORCED CONCRETE","FORCED AIR UNIT","Rect or Slight Irreg",34,78,132.1999969,1755788.5,5513665.2707083
27574,1,2,"AVERAGE/GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",35,73,137.8999939,1211349.25,3802454.4317986
76105,1,3,"AVERAGE/GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",30,91,102,2472350.25,7762710
30659,1,2,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",29,88,180.1000061,2619088.5,5521686.0870199
45145,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",29,NA,54.90000153,1268459,2478460.56907185
70332,1,5,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",16,89,134.6000061,1981115.25,9466687.6290252
40657,1,2,"AVERAGE","MASONRY","HEAT PUMP","Long Rect or Irreg",20,57,214,2826828,8700598
54372,1,7,"GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",47,94,81.09999847,1403820,4409569.11681084
21282,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",61,69,123.9000015,1245923.75,2636839.831923
33580,1,3,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",32,100,62.5,409578.4063,2098750
66484,1,2,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",29,69,125.3000031,3046543,8330445.4061004
25151,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",58,85,116.3000031,1356874.75,2925061.3779681
23472,1,2,"GOOD","WOOD FRAME","WARMED AND COOLED AIR","Rect or Slight Irreg",28,NA,154.6999969,1625308.625,3631118.3272368
21315,1,2,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",44,34,227.6999969,2796425,4853425.4339235
57110,1,4,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",33,69,175.5,2190460,10022805
50333,1,4,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",58,88,99.90000153,1602084.375,5028266.77700949
57432,1,4,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",31,NA,231.6999969,2520483.25,13306994.2219608
25912,1,3,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",48,NA,120.8000031,666740.3125,3130169.6803272
57132,1,3,"AVERAGE","STRUCTURAL STEEL","COMPLETE HVAC","Rect or Slight Irreg",17,73,185.8999939,1994967.75,10620838.4514948
