"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
45522,1,1,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",23,22,604.9000244,12250422,27536258.9107368
20088,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",38,NA,52.40000153,326778.6875,1052611.23073464
67450,1,1,"AVERAGE","MASONRY","PACKAGE UNIT","Rect or Slight Irreg",58,97,170.6000061,2842819.5,11506970.411445
54211,1,2,"GOOD","MASONRY","HEAT PUMP","Long Rect or Irreg",15,100,113.6999969,1267463.125,6163790.5319459
25880,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",73,100,19.79999924,162960,512423.9803312
24000,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",66,NA,98,1318947.25,2352000
20738,1,2,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",59,44,79.80000305,526752.8125,1654892.4632509
36071,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",49,97,81.90000153,1519952.125,2954214.95518863
43794,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",42,88,67.59999847,1164537.75,2960474.33299518
32822,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",52,42,587.5,8839812,19282925
26853,1,1,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",65,68,189.6999969,1399062.75,5094014.0167557
40265,1,1,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",27,19,277.5,3740373.75,11173537.5
26208,1,1,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",12,79,118.9000015,1608884.25,3116131.239312
51000,1,1,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",64,95,75.40000153,1298039.875,3845400.07803
37247,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",53,69,91.30000305,1748644.5,3400651.21360335
25384,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",24,11,296.7999878,3027867.5,7533970.8903152
37883,1,1,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",51,88,453,12434593,17160999
21200,1,2,"AVERAGE","MASONRY","COMPLETE HVAC","Very Irreg",19,15,248.3000031,1676426.5,5263960.06572
21900,1,2,"AVERAGE","MASONRY","NO HEAT","Rect or Slight Irreg",63,40,117.1999969,1302192.875,2566679.93211
46059,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",87,82,98.59999847,1582655.875,4541417.32952973
36940,1,2,"AVERAGE","MASONRY","COMPLETE HVAC","Long Rect or Irreg",101,100,28.60000038,336745.4063,1056484.0140372
30240,1,1,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",97,78,107.6999969,1264626.875,3256847.906256
44739,1,1,"AVERAGE/GOOD","MASONRY","HEAT PUMP","Rect or Slight Irreg",19,17,728.7000122,14585813,32601309.8458158
33910,1,4,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",64,75,157.3000031,1822834.25,5334043.105121
28808,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",60,29,694,9232576,19992752
26226,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",67,37,741.4000244,7588060.5,19443957.0399144
24550,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",100,100,16.39999962,977230.3125,402619.990671
33706,1,1,"AVERAGE/GOOD","MASONRY","PACKAGE UNIT","Rect or Slight Irreg",19,22,651.2999878,8687690,21952717.3887868
76585,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",20,18,761.2999878,13906080,58304159.565663
44755,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",21,56,521,11521140,23317355
54969,1,3,"AVERAGE","MASONRY","COMPLETE HVAC","Long Rect or Irreg",17,67,201.6999969,3724098.25,11087247.1295961
37864,1,1,"GOOD","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",9,61,521,8025696,19727144
66497,1,2,"GOOD","PREFAB STEEL","COMPLETE HVAC","Long Rect or Irreg",67,84,433.7000122,9290214,28839749.7112634
34010,1,4,"GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",11,NA,290.8999939,3560614.25,9893508.792539
45980,1,4,"GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",11,79,433.7000122,8305255,19941526.560956
51400,1,1,"GOOD","MASONRY","PACKAGE UNIT","Long Rect or Irreg",6,74,514.7999878,11702959,26460719.37292
33997,1,4,"GOOD","STRUCTURAL STEEL","ELECTRIC","Very Irreg",14,23,781.2999878,8926736,26561855.6852366
67263,1,1,"GOOD","MASONRY","COMPLETE HVAC","Long Rect or Irreg",6,78,517.5,14697487,34808602.5
41198,1,8,"GOOD","STRUCTURAL STEEL","FORCED AIR UNIT","Long Rect or Irreg",7,44,560.7999878,7768057.5,23103837.8973844
