"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
35787,1,3,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Very Irreg",33,"66",82.30000305,938096.1875,2945270.20915035
28328,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",31,"64",78.90000153,711725.5,2235079.24334184
42188,1,6,"GOOD","REINFORCED CONCRETE","(unknown)","Long Rect or Irreg",19,NA,78.19999695,1582794.5,3299101.4713266
28683,1,3,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",39,"70",79.69999695,727775.8125,2286035.01251685
51908,1,3,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",31,"78",73.09999847,1194835.5,3794474.72058076
46339,1,4,"AVERAGE","WOOD FRAME","WALL FURNACE","Rect or Slight Irreg",30,"71",78.5,1071220.75,3637611.5
43245,1,4,"AVERAGE","WOOD FRAME","WALL FURNACE","Rect or Slight Irreg",30,"87",66.69999695,920068.875,2884441.36810275
56800,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",28,"63",92,1730542.25,5225600
42816,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",50,"48",97.80000305,1332912.625,4187404.9305888
70939,1,12,"AVERAGE","REINFORCED CONCRETE","ELECTRIC","Long Rect or Irreg",33,NA,118.5,3307792.5,8406271.5
124642,1,7,"GOOD","WOOD FRAME","HEAT PUMP","Long Rect or Irreg",9,NA,143.8000031,5702077,17923519.9863902
120520,1,7,"GOOD","WOOD FRAME","HEAT PUMP","Long Rect or Irreg",9,"97",69.90000153,2577115.25,8424348.1843956
30984,1,2,"LOW/AVERAGE","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",47,"56",124.9000015,1232210,3869901.646476
21200,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",57,"87",75.69999695,511180.6875,1604839.93534
21200,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",57,"83",80.19999695,541542.6875,1700239.93534
20365,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",57,NA,86.69999695,562338.3125,1765645.43788675
74202,1,4,"AVERAGE/GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Approx Square",11,"100",72.5,1568900.25,5379645
79052,1,3,"GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",30,NA,78.90000153,1987218.75,6237202.92094956
436301,1,6,"AVERAGE/GOOD","WOOD FRAME","THRU-WALL HEAT PUMP","Long Rect or Irreg",8,"75",100,8102125.5,43630100
32881,1,3,"GOOD","MASONRY","HEAT PUMP","Rect or Slight Irreg",10,NA,154,1928391.25,5063674
198233,1,6,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Long Rect or Irreg",5,"93",90.30000305,5965171,17900440.5046107
176043,1,17,"AVERAGE","REINFORCED CONCRETE","ELECTRIC WALL","Rect or Slight Irreg",6,"89",87.69999695,5907068,15438970.5630688
63597,1,5,"GOOD","MASONRY","COMPLETE HVAC","Long Rect or Irreg",6,"87",74.5,2212058.5,4737976.5
79684,1,6,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",17,"79",106,3383356.75,8446504
34728,1,5,"GOOD","WOOD FRAME","ELECTRIC WALL","Very Irreg",47,"40",93.59999847,1034941.313,3250540.74686616
34480,1,5,"GOOD","WOOD FRAME","ELECTRIC WALL","Very Irreg",47,"75",70.19999695,771296.8125,2420495.894836
56800,1,4,"GOOD","STRUCTURAL STEEL","HOT WATER","Rect or Slight Irreg",33,"74",83.30000305,2009703.25,4731440.17324
20000,1,3,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",15,"89",68.90000153,521030.5938,1378000.0306
236148,1,17,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Approx Square",5,"69",108.1999969,9162810,25551212.8679412
24386,1,4,"GOOD","WOOD FRAME","ELECTRIC WALL","Very Irreg",49,"76",74,574650.375,1804564
35796,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",49,"65",87.80000305,1001304.125,3142888.9091778
43228,1,4,"GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",27,"100",69.19999695,953059.875,2991377.4681546
35560,1,4,"GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",27,"100",56.79999924,644415,2019807.9729744
36179,1,7,"AVERAGE/GOOD","REINFORCED CONCRETE","PACKAGE UNIT","Rect or Slight Irreg",6,"41",133.3000031,1540258.5,4822660.8121549
290520,1,6,"AVERAGE","REINFORCED CONCRETE","ELECTRIC WALL","Rect or Slight Irreg",6,"87",73.5,6769410.5,21353220
88449,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Very Irreg",7,NA,118,3890340,10436982
31930,1,3,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",6,"86",82.80000305,841915.875,2643804.0973865
39636,1,6,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",6,"47",129.5,1692199.25,5132862
29646,1,3,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",6,"81",83.40000153,790039.8125,2472476.44535838
29656,1,3,"AVERAGE/GOOD","MASONRY","HOT WATER","Very Irreg",90,"87",67.5,859137.125,2001780
140254,1,5,"AVERAGE/GOOD","REINFORCED CONCRETE","ELECTRIC","Long Rect or Irreg",6,"94",90.09999847,4396566,12636885.1854114
38264,1,3,"AVERAGE","WOOD FRAME","ELECTRIC","Long Rect or Irreg",70,"51",86,1648774.375,3290704
57495,1,6,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Very Irreg",5,"98",65,1338373.5,3737175
174654,1,6,"AVERAGE/GOOD","WOOD FRAME","FORCED AIR UNIT","Very Irreg",5,"75",84.90000153,3640395.5,14828124.8672206
177528,1,6,"GOOD","REINFORCED CONCRETE","ELECTRIC","Long Rect or Irreg",5,"99",78.19999695,4228238,13882689.0585396
153767,1,6,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",6,"92",66.90000153,4225362.5,10287012.5352635
43762,1,6,"GOOD","WOOD FRAME","ELECTRIC","Very Irreg",5,"97",75,665200.1875,3282150
224577,1,7,"GOOD","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",5,"100",71.5,7811542.5,16057255.5
94933,1,6,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",5,"100",65.5,2757855.5,6218111.5
43210,1,4,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",5,"56",99.30000305,1764879.125,4290753.1317905
21753,1,3,"GOOD","WOOD FRAME","ELECTRIC","Very Irreg",5,"33",111.0999985,836437.6875,2416758.2673705
602398,1,24,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Long Rect or Irreg",5,"73",85.80000305,25397086,51685750.2373139
334785,1,7,"AVERAGE/GOOD","WOOD FRAME","COMPLETE HVAC","Long Rect or Irreg",5,"95",79.40000153,9722237,26581929.512221
74421,1,7,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",5,"35",138.8999939,3720750.75,10337076.4460319
194228,1,16,"AVERAGE/GOOD","STRUCTURAL STEEL","HEAT PUMP","Long Rect or Irreg",4,"62",110,8066399.5,21365080
31962,1,4,"AVERAGE/GOOD","REINFORCED CONCRETE","ELECTRIC WALL","Rect or Slight Irreg",5,"92",104.8000031,994194.875,3349617.6990822
54771,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",5,"97",73.30000305,1228963.75,4014714.46705155
41502,1,6,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Approx Square",4,"82",98,2227908.75,4067196
88974,1,7,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",4,"94",72.80000305,2599171.75,6477307.4713707
108872,1,4,"AVERAGE","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",4,"85",88.09999847,2435382,9591623.03342584
21762,1,6,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",4,"96",88.30000305,1093757.75,1921584.6663741
51287,1,7,"AVERAGE/GOOD","REINFORCED CONCRETE","FORCED AIR UNIT","Rect or Slight Irreg",4,NA,121,2665558.25,6205727
84577,1,6,"GOOD","WOOD FRAME","ELECTRIC","Long Rect or Irreg",4,"90",111.4000015,1883200.75,9421877.9268655
53708,1,8,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Very Irreg",4,"27",149.8000031,6182350.5,8045458.5664948
31981,1,6,"AVERAGE/GOOD","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",4,"100",85.09999847,866825.375,2721583.05106907
295754,1,24,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Approx Square",4,"55",95,10055690,28096630
24457,1,6,"AVERAGE","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",4,"100",66.59999847,1048781,1628836.16258079
51424,1,6,"GOOD","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",4,"99",74.69999695,1240924.625,3841372.6431568
