BBL,StreetNumber,StreetName,Boroguth,ZipCode_ll84,SourceEUI,WeatherNormalizedSourceEUI,ENERGYSTARScore,Reported_Property_FloorArea_Building,DOF_Property_FloorArea_Buildngs_and_Parking,Primary_Property_Type_Self_Selected,DOF_Number_of_Buildings,TotalEnergy,Borough,Block,Lot,ZipCode_pluto,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,YearAlter1,YearAlter2,BldgFront,BldgDepth,AreaUnitPrice
1012810069,553,5 AVENUE,MANHATTAN,10017,193,191.9,81,243294,206378,Office,1,39830954,MN,1281,69,10017,553 5 AVENUE,5,206378,O6,39970350,7020000,14175,1,19,21,0,206378,0,1955,1987,1994,122,130,193.67544021165045
4041430001,135-05,20 AVENUE,QUEENS,11356,222.9,218.7,80,139899,139896,Retail Store,1,31182818.4,QN,4143,1,11356,135-05 20 AVENUE,5,139896,K8,15548400,4747050,153993,1,1,1,0,139896,0,1998,0,0,482.57,300.33,111.1425630468348
3044520520,519,GATEWAY DRIVE,BROOKLYN,11239,226.1,223.4,77,148939,158402,Retail Store,1,35814692.2,BK,4452,520,11239,519 GATEWAY DRIVE,5,158402,K8,26759700,3100500,158402,1,1,1,0,158402,0,2001,0,0,536,314,168.93536697768968
2032450060,300,WEST KINGSBRIDGE RD,BRONX,10463,263.4,262.2,,157011,156474,Retail Store,1,41215251.6,BX,3245,60,10463,300 WEST KINGSBRIDGE RD,5,156474,K6,23416200,4984650,221516,1,1,1,0,156474,0,2003,0,0,295,598,149.64914298861152
5074810001,2900,VETERANS ROAD WEST,STATEN ISLAND,10309,213.2,211.9,79,143876,144760,Retail Store,1,30862832,SI,7481,1,10309,2900 VETERANS ROAD WEST,5,144760,K8,10871550,5354100,527174,1,1,1,0,144760,0,2005,0,0,150,100,75.10051119093673
1008620029,2,PARK AVENUE,MANHATTAN,10016,191.3,188.1,77,916666,850752,Office,1,162748857.6,MN,862,29,10016,2 PARK AVENUE,5,852731,O4,126864450,39150000,40487,1,28,67,0,852731,0,1927,2011,2005,198,205,148.77429107186205
1000240001,60,BROAD STREET,MANHATTAN,10004,227.9,222.7,72,998035,974958,Office,1,222192928.2,MN,24,1,10004,60 BROAD STREET,5,974958,O4,116490150,20160000,44757,1,38,0,0,974958,0,1961,0,0,214.08,245.83,119.48222384964275
1013137502,130,EAST   59 STREET,MANHATTAN,10022,137.1,133.7,89,269470,228860,Office,1,31376706,MN,1313,7502,10022,130 EAST 59 STREET,5,229547,RC,73867500,16663500,18250,1,17,3,0,229547,0,1954,0,0,165,200,321.7968433479854
1009620080,522,1 AVENUE,MANHATTAN,10016,494.9,491.8,21,2227728,245800,Hospital (General Medical & Surgical),1,121646420,MN,962,80,10016,522 1 AVENUE,8,245800,I9,55743750,6732900,28712,1,15,1,0,245800,0,2002,0,0,0,0,226.78498779495524
1012900021,535,MADISON AVENUE,MANHATTAN,10022,215.7,212.7,74,473329,444293,Financial Office,1,95834000.1,MN,1290,21,10022,535 MADISON AVENUE,5,444293,O4,131413500,19395000,16972,1,36,37,0,444293,0,1981,0,0,125,122,295.7811624310984
1012900001,689,5 AVENUE,MANHATTAN,10022,305.5,299.1,22,89978,85781,Office,1,26206095.5,MN,1290,1,10022,689 5 AVENUE,5,91210,O6,55593450,5175000,6925,1,14,9,0,91210,0,1927,1989,0,50,125,609.5104703431641
1010060013,141,WEST   53 STREET,MANHATTAN,10019,186.5,185.1,81,898743,753137,Office,1,140460050.5,MN,1006,13,10019,141 WEST 53 STREET,5,753137,O4,141293700,57600000,35799,1,35,35,0,753137,0,1988,0,0,162,201,187.60690286096687
1013377502,787,1 AVENUE,MANHATTAN,10017,297.7,,40,587e3,586305,Office,1,174542998.5,MN,1337,7502,10017,787 1 AVENUE,5,586305,RC,59238900,16200000,17556,1,39,40,0,378202,0,1977,0,0,99,172,101.03768516386522
