PropertyId,PropertyName,BBL10digits,PostalCode,StreetNumber,StreetName,Borough_ll84,DOFGrossFloorArea,PrimaryPropertyTypeSelfSelected,ListofAllPropertyUseTypesatProperty,LargestPropertyUseType,LargestPropertyUseTypeGrossFloorArea,X2ndLargestPropertyUseType,X2ndLargestPropertyUseGrossFloorArea,X3rdLargestPropertyUseType,X3rdLargestPropertyUseTypeGrossFloorArea,YearBuilt_ll84,NumberofBuildingsSelfreported,Occupancy,MeteredAreas.Energy.,ENERGYSTARScore,WeatherNormalizedSiteElectricity_kWh,SourceEUI,SiteEUI,BBL,Borough_pluto,Block,Lot,ZipCode,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt_pluto,YearAlter1,YearAlter2,BldgFront,BldgDepth
2731798,3636 Waldo Ave,2057690105,10463,3636,WALDO AVENUE,Bronx,113280,Office,Office,Office,113270,,,,,1987,1,100,Whole Building,95,570957.1,109.7,69.7,2057690105,BX,5769,105,10463,3636 WALDO AVENUE,3,113280,D3,3464100,630000,74000,1,8,116,116,17760,95520,1987,0,0,244.67,68.58
4385310,3660 Waldo Avenue,2057690132,10463,3660,WALDO AVENUE,Bronx,72000,Multifamily Housing,Multifamily Housing,Multifamily Housing,72000,,,,,1940,1,100,Whole Building,25,346448.5,140.1,99.6,2057690132,BX,5769,132,10463,3660 WALDO AVENUE,3,72000,D1,4198050,457200,20320,1,6,86,86,0,72000,1940,0,0,100,158.67
2738511,3636 Greystone Ave,2057700069,10463,3636,GREYSTONE AVENUE,Bronx,118214,Multifamily Housing,Multifamily Housing,Multifamily Housing,84890,,,,,1940,1,100,Whole Building,63,333415.8,131.1,97.1,2057700069,BX,5770,69,10463,3636 GREYSTONE AVENUE,3,118214,D4,3218400,405000,30000,2,6,92,92,24914,93300,1940,1971,0,150,146
4036816,Riverdale House Owners,2057710041,10463,474,WEST 238 STREET,Bronx,76500,Multifamily Housing,Multifamily Housing,Multifamily Housing,76500,,,,,1939,1,100,Whole Building,84,189031,90.1,68.3,2057710041,BX,5771,41,10463,474 WEST 238 STREET,3,76500,D4,1845000,173250,17500,1,6,54,54,0,76500,1939,0,0,200,90
3995160,3636 Fieldston Road,2057717501,10463,3636,FIELDSTON ROAD,Bronx,143886,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,112886,Office,11886,,,1960,1,100,Whole Building,78,429619.9,99.4,70.5,2057717501,BX,5771,7501,10463,3636 FIELDSTON ROAD,4,124772,RM,4307850,360000,37500,1,6,103,102,11886,112886,1960,0,0,0,0
4398327,"275 West 238th Street, Bronx",2057730290,10463,275,WEST 238 STREET,Bronx,71091,Multifamily Housing,Multifamily Housing,Multifamily Housing,71091,,,,,1937,1,100,Whole Building,9,508822.4,169.2,111.7,2057730290,BX,5773,290,10463,275 WEST 238 STREET,3,71091,D1,2067750,292050,16225,1,6,72,72,0,71091,1937,0,0,137.33,120.58
3104014,BRGNY 4568 Manhattan College Pkwy,2057760605,10471,4568,MANHATTAN COLLEGE PY,Bronx,63600,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,63600,Other,10600,,,1925,1,100,Whole Building,73,,105.3,67.2,2057760605,BX,5776,605,10471,4568 MANHATTAN COLLEGE PY,2,63600,C1,1421100,197100,12500,1,6,61,61,0,63600,1925,1999,0,100,106
3126944,Pohl 226 W 242 St.,2057760614,10471,226,WEST 242 STREET,Bronx,61500,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,61500,Other,5125,,,1924,1,100,Whole Building,85,,104.8,79.3,2057760614,BX,5776,614,10471,226 WEST 242 STREET,2,61500,C1,1099800,223650,16562,1,6,61,61,0,61500,1924,0,0,132,88
2610216,Parking Garage,2057760632,10471,5935,BROADWAY,Bronx,170000,Parking,Parking,Parking,214414,,,,,2009,1,100,Whole Building,,208439,10.2,3.3,2057760632,BX,5776,632,10463,5935 BROADWAY,10,170000,G1,6662250,684000,72825,1,4,1,0,170000,0,2008,0,0,250,184
3522999,Hymil Associates LLC,2057770714,10463,3820,WALDO AVENUE,Bronx,76677,Multifamily Housing,Multifamily Housing,Multifamily Housing,88178,,,,,1923,1,100,Whole Building,99,204857.9,80.1,60,2057770714,BX,5777,714,10463,3820 WALDO AVENUE,2,76677,C1,2023650,370350,23525,2,5,66,66,0,76677,1923,1991,0,125,87
