SourceEUI,YearAlter1,LandUse,BBL,logkBTU,DOF_Property_Area,BldgClass,AssessTot,AssessLand,BldgArea,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,BldgFront,BldgDepth,AreaUnitPrice
62.1,0,5,1000390004,14.9494038863767,50044,O3,3366450,1161e3,50044,4179,1,12,10,0,50044,0,1905,48,76,67.26980257373512
257.7,2007,5,1000390012,19.4403786827784,1075808,O4,74637900,25425e3,1075808,48946,1,39,24,0,1075808,0,1961,179,254,69.37845786608763
108.1,0,4,1000397501,16.358449617787,117641,RM,16894788,2416487,90163,10576,1,12,122,121,8173,81990,1956,,,187.38049976154298
184.3,2000,5,1000400014,17.7653580426493,281755,O4,20687400,5895e3,281755,12175,1,32,28,0,281755,0,1928,99,127,73.42336427037675
207,0,4,1000417503,16.6399967545381,81412,RM,8292819,1354497,66470,6488,1,16,93,90,7905,58565,1893,,,124.76032796750414
193.1,1984,4,1000420001,17.8412443114185,290116,D6,29447550,6345e3,290116,17684,1,24,346,340,22564,267552,1930,120,94,101.5026747921521
196.9,0,3,1000420022,18.148875957657,387e3,D8,36691200,675e4,387e3,18833,1,45,289,287,2198,384802,2002,151,136,94.8093023255814
203.8,0,5,1000430001,17.8914906236842,289049,O3,20583900,576e4,289049,14213,1,23,0,0,289049,0,1927,70,195,71.21249338347478
151.2,0,5,1000430002,18.8935765568001,1061266,O4,65315700,1998e4,1061266,34360,1,63,1,0,1061266,0,1931,150,194.58,61.545079179018266
117.2,2005,4,1000447501,18.0409197971344,583639,RM,70553694,20972357,461169,22742,1,38,412,408,32760,428409,1928,151,149.92,152.9888045380327
261.8,0,5,1000460001,17.6295463800093,173159,O3,18162900,4095e3,173159,8615,1,21,3,0,173159,0,1932,114.58,72.33,104.8914581396289
210.7,2003,5,1000460003,18.1564153224305,364390,O3,27349200,5805e3,364390,14950,1,24,1,0,364390,0,1922,123.17,125.58,75.05474903262987
232.1,0,5,1000460009,19.0880266299236,839749,O4,69912450,234e5,839749,32947,1,30,1,0,839749,0,1912,160,196.25,83.25398422623903
171.4,1983,5,1000477501,19.511389643625,1736513,RB,148882950,31347e3,1736513,49614,1,41,2,0,1736513,0,1915,,,85.7367321753422
269.1,1984,5,1000480001,19.5427317882411,1141266,O3,137800800,2367e4,1141266,52636,1,50,13,0,1141266,0,1967,84,210,120.7438055632955
145.2,1989,5,1000490002,17.9545082242258,432093,O3,33051600,738e4,432093,18615,1,25,32,0,432093,0,1907,68,262,76.49186633433081
117.2,1989,5,1000500001,17.6545830220802,396607,O3,30654900,4486500,396607,16620,1,21,33,0,396607,0,1907,61,268,77.29288691324157
131.8,1983,5,1000510001,17.7812401781783,400294,O3,23479650,6975e3,400294,17626,1,27,10,0,400294,0,1907,116,138,58.65601283056953
152.5,1980,4,1000520021,15.994414159816,57945,D7,2369700,9e5,57945,5166,1,13,22,21,7500,50445,1900,45,110,40.89567693502459
72.8,1998,3,1000530033,15.2548964856107,57941,D8,5301000,1098e3,57941,6085,1,13,61,60,3e3,54941,1929,52.33,96,91.48961875010787
308.7,2003,4,1000537501,16.8429055548871,66872,RM,8560525,1525513,67009,8486,1,13,84,103,7e3,60009,1903,110,64,127.75186915190497
154.8,2003,3,1000550014,17.503123980999,258071,D8,18001350,4036500,258071,22437,1,18,207,206,7600,250471,1926,133,173,69.75347869384781
369.1,2006,5,1000550016,18.8598439732234,420322,H2,45147150,18e6,3e3,20161,1,38,5,0,3e3,0,1989,65,57,15049.05
114.7,2004,3,1000560004,17.5278138860136,357001,D5,43392150,45e5,357e3,16980,1,24,411,410,2e3,355e3,1908,158.67,119.75,121.54663865546219
