FACILID,FACSIZE,CHAIN,own2,occu_cat,perroom1,perroom2,perapt1,perapt2,unitmicro,unitcook,unitoven,unitfrig,unitsink,unitlock,unitfull,unithalf,KITCHEN,resspou2,rcfyear2,RCFBUILT,smokeres2,smokercf2,wateres2,watercf2,GRABRCF,wheelrcf2,callres2,wheelres2,WHEELBAT,grabath2,RESPITE,ADULTDAY,anyddmi,RISKAGRE,RISKOTH,LGFURN,smfurn2,PETRCF,PETRES,carpark2,MEDICAID,resmed2,WAITLIST,waitnum2,waitdays2,movein2,DIED2,moveout2,movehosp2,movenh2,movercf2,movepriv2,moveothp2,movecost2,rnhour2,lpnhour2,aidehour2,acthour2,dirhour2,rnhppd2,lpnhppd2,aidehppd2,CONTRACT,VOLWORK,volnum2,VOLOFFIC,VOLHOME,VOLPERS,VOLTRAN,VOLVISIT,VOLFAM,VOLRELIG,VOLMEAL,VOLSHOP,VOLREC,VOLEXER,VOLOTHER,resvol2,nightstf2,dirnum2,rnnum2,lpnnum2,aidenum2,dirleft2,rnleft2,lpnleft2,aideleft2,FLUSTAFF,FLUST_IMP,VACRECOM,VACSITE,VACFREE,VACCOST,VACINCEN,VACPROF,VACFURLO,VACMAIN,PNEUMAIN,PANDEMIC,TRAINAID,trainhrs2,HOUSEKP,JANITOR,FOODPREP,HELPREC,HELPLAUN,HELPTRAN,anytask,HIFAM,HIAIDE,LIFEAIDE,PENSAIDE,PAYPREM,FORMFUNC,physcog2,INDSERV,EHRS,COMPUTER,ITDEM,ITMDINFO,ITFUNC,ITSERPLN,ITNOTE,ITPROB,ITRXADM,ITRXLIST,ITALLERG,ITPRESC,ITCONTRA,ITORDER,ITVIEW,ITREMIND,ITDISCH,ITPUBLIC,anyitcap,ITMD,ITNH,ITHOSP,ITPHARM,ITLAB,ITLTC,ITPERS,ITPHR,ITCORP,itanyexch,PDA,HISPN_IMP,reshisp2,GENDER_IMP,resmale2,resfemale2,AGE_IMP,reslt55,reslt65,reslt75,reslt85,resge85,RACE_IMP,reswhite2,resblack2,resother2,resmem2,urincont2,bedchair2,wheelchr2,bedhelp2,eathelp2,medhelp2,walkhelp2,bathhelp2,demwing2,perdembed2,perdemres2,DEMLOCK,DEMWATCH,DEMYARD,DEMRATIO,DEMTRAIN,ADEMER,DCEMER,ADCOG,DCCOG,ADBEH,DCBEH,ADSNC,DCSNC,ADMON,DCMON,ADURINE,DCURINE,ADFECES,DCFECES,ADLIFT,DCLIFT,ADDRUG,DCDRUG,ADEOLC,DCEOLC,ADOTH,DCOTH,SERVDIET,STAFDIET,SERVNURS,STAFNURS,SERVBHM,STAFBHM,SERVOUT,STAFOUT,SERVCONT,STAFCONT,SERVAPPT,STAFAPPT,SERVSTOR,STAFSTOR,SERVCOUN,STAFCOUN,SERVCASE,STAFCASE,SERVOCC,STAFOCC,SERVPT,STAFPT,SERVWORK,STAFWORK,SERVEDU,STAFEDU,CABLETV,PHONE,INTERNET,PUBNET,AMPHONE,TDD,LISTEN,SIGNAL,BOARD,OTHEAR,MEDSTORE,MEDMIND,MEDDELIV,MEDHAND,MEDTAKE,MEDCUE,MEDDROP,MEDIV,MEDINJ,MEDOTH,RNHAND,LPNHAND,CERTHAND,AIDEHAND,DIRHAND,RNADM,LPNADM,CERTADM,AIDEADM,DIRADM,PERSLIC,DRMEDS,RESTRAIN,DRUGBEH,RATETYPE,FFSTYPE,DEPOSIT,PRIORFEE,costapt1,costapt1a,costapt2,costapt2a,costrm1,costrm1a,costrm2,costrm2a,SNSBAS,SNSEX,CONTBAS,CONTEX,APPTBAS,APPTEX,OCCBAS,OCCEX,PTBAS,PTEX,PRIVNURS,mealsbas2,MEALTIME,MEALROOM,RESNOENG,SPEAKLAN,FAMHELP,HANDSIGN,OTHCOMM,FACRESP,totalfac2,certif_comb,thisfac2,DIRGEND,dirage2,DIRHISP,DIRWHITE,DIRBLACK,DIRASIAN,dirother,dired2,msa2,PUFSTRATA,PUFPOPFAC,FACFNWT
873,2,2,1,3,0,100,0,0,25,25,25,25,25,75,75,25,2,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,75,1,10,62.8,4,3,1,-1,-1,-1,-1,-1,-1,80,0,336,0,40,4,1,5,2,1,4,2,2,2,2,1,2,1,2,2,1,2,2,62.5,2,1,1,0,14,0,0,0,6,3,2,1,2,2,2,2,2,2,4,4,1,1,4,1,1,1,1,1,2,1,2,2,2,2,-1,1,2,1,1,-1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,43.8,56.3,2,25,25,31.3,31.3,25,2,100,0,0,81.3,1,1,2,2,3,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,-1,2,-1,2,-1,1,2,1,2,1,2,2,-1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,-1,-1,-1,-1,-1,-1,1,2,1,1,2,2,2,-1,-1,-1,-1,-1,-1,3000,-1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,-1,-1,-1,-1,1,144,1,120,2,2,2,1,2,2,2,3,1,11,2516,5
874,1,2,1,3,0,100,0,0,25,25,25,25,25,25,25,25,1,0,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,-1,2,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,0,0,216,0,80,1,1,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0,0,3,2,0,0,0,8,2,1,1,1,2,2,2,2,1,5,1,1,2,1,1,1,1,1,1,1,2,2,2,2,-1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0.1,2,33.3,66.7,2,25,25,25,33.3,33.3,2,88.9,0,5,0,5,5,2,2,4,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,-1,-1,-1,-1,-1,-1,1200,-1,-1,-1,1,2,1,2,-1,-1,-1,-1,1,2,1,1,2,-1,-1,-1,-1,1,48,1,48,2,1,2,2,2,1,2,3,1,4,9825,34
875,3,1,1,3,0,0,55.9,44.1,75,25,25,75,75,75,75,25,2,14.7,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,-1,1,1,2,1,1,1,20,2,-1,-1,42,6,4,5,52,24,20,5,8,40,0,476,65,40,2,1,2,1,1,4,2,2,2,2,2,2,1,2,2,1,2,1,34.7,3,1,1,0,15,0,0,1,12,8,2,1,1,2,2,2,2,2,1,3,2,1,2,2,2,2,2,2,2,2,1,-1,2,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,27,73,2,25,25,25,31.1,63.5,2,100,0,0,28,-8,5,3,-8,5,-8,-8,-8,2,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,3,3,2,1,1,2,1,2,2,1,2,1,3,1,1,2,2,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,1,2,2,-1,2,-1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1,3640,-1,3500,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,-1,-1,2,1,1,2,1,1,2,-1,-1,-1,-1,2,-1,1,90,2,3,2,1,2,2,2,2,1,10,3778,10
876,3,1,1,4,0,0,100,0,64.7,33.8,25,75,75,75,75,25,1,3.1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,-1,1,1,2,1,1,2,-1,2,-1,-1,24,6,2,5,75,5,25,5,5,64,104,840,36,10,3,3,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,4,15,0,0,0,6,6,2,1,1,1,2,2,2,1,4,4,3,1,2,2,2,2,1,1,2,1,1,-1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,18.5,81.5,2,25,25,25,25,75,2,100,0,0,36.9,1,5,4,3,4,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,3,1,3,1,1,1,3,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,4500,4200,-1,-1,-1,-1,-1,-1,2,1,2,1,1,2,-1,-1,-1,-1,1,2,2,2,1,2,2,1,2,1,60,1,36,2,2,2,1,2,2,2,3,2,10,3778,9
877,3,1,2,2,26.3,73.7,0,0,25,25,25,25,25,75,75,25,2,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,-1,2,-1,-1,28,1,4,9.1,50,27.3,13.6,5,5,40,0,560,40,40,3,1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,0,12,0,0,0,12,2,1,2,2,2,2,2,2,2,4,4,1,1,3,2,2,2,2,1,1,1,1,-1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,14,86,2,25,25,25,25,75,2,100,0,0,53.5,2,5,3,5,4,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,3,2,1,2,1,1,2,1,2,3,1,2,1,1,2,2,1,2,2,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,-1,-1,-1,-1,-1,-1,1,2,2,1,1,1,2,-1,-1,-1,-1,2800,-1,2130,-1,-1,-1,1,2,2,1,-1,-1,-1,-1,1,2,1,1,2,-1,-1,-1,-1,1,300,1,120,2,3,2,1,2,2,2,4,1,10,3778,11
878,3,1,2,2,0,0,100,0,25,25,25,25,25,75,75,25,1,9.8,2,1,2,1,1,1,3,1,1,1,3,1,2,2,2,2,1,1,1,2,1,1,1,20,1,8,180,16,6,1,-1,-1,-1,-1,-1,-1,80,38,840,80,0,3,2,4,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,16.4,3,2,2,1,15,0,0,0,5,7,2,1,1,1,2,1,2,2,2,2,3,1,2,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,0.1,2,16.4,83.6,2,25,25,25,25,75,2,100,0,0,19.7,4,5,3,5,5,1,5,5,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,1,3,2,-1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,-1,1,2,1,2,1,2,1,4228,4200,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,1,2,2,2,2,-1,-1,-1,-1,1,148,1,12,2,2,2,1,2,2,2,3,1,9,682,10
879,2,2,1,1,100,0,0,0,25,25,25,25,25,75,25,75,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,60,2,-1,-1,5,1,3,5,83.3,5,5,16.7,5,-8,-8,77,-8,-8,-8,-8,4,2,1,4,2,2,2,2,1,1,1,2,2,1,2,2,95,-8,1,-8,-8,-8,0,-8,-8,-8,7,2,1,1,1,2,2,2,2,4,4,3,1,4,2,2,2,2,2,2,2,1,-1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,20,80,2,25,25,25,25,60,2,100,0,0,0,5,5,5,5,4,1,5,5,2,-1,-1,-1,-1,-1,-1,-1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,-1,2,-1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,-1,1,2,2,1,2,2,2,-1,-1,-1,-1,2250,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,1,2,2,1,2,-1,-1,-1,-1,2,-1,1,84,1,2,2,1,2,2,2,4,1,7,1539,8
880,3,1,1,3,0,0,100,0,75,25,25,75,75,75,75,25,2,4.3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,-1,1,1,2,1,1,2,-1,2,-1,-1,17,3,3,5,50,40,10,5,50,20,120,308,51,20,2,4,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,4,10,0,0,2,7,2,2,1,1,1,2,2,2,2,4,4,3,1,4,1,1,2,1,1,2,1,1,-1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0.1,2,41.3,58.7,2,25,25,25,47.8,41.3,2,91.1,8.9,0,67.4,2,5,4,4,5,1,4,3,2,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,3,3,3,3,1,2,1,2,1,2,1,2,3,3,1,2,2,2,1,1,2,-1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,1,2,1,2,2,-1,2,-1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2424,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,2,1,2,1,1,2,2,2,2,-1,-1,-1,-1,1,66,1,36,2,2,2,1,2,2,2,3,1,10,3778,11
881,2,1,2,3,100,0,0,0,25,25,25,25,25,75,75,25,2,0,2,1,1,1,1,1,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,20,2,-1,-1,19,1,2,20,20,60,5,5,5,12,56,187,80,8,2,4,3,2,1,4,1,2,2,1,1,1,1,2,2,1,1,1,95,2,3,2,4,6,0,1,1,0,7,2,1,1,1,2,1,1,1,2,2,3,1,3,1,2,2,1,1,2,1,1,-1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,21.4,78.6,2,25,25,25,25,71.4,2,100,0,0,95,3,5,5,5,5,1,5,5,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,3,1,2,2,3,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,-1,2,-1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,-1,-1,-1,-1,-1,4500,-1,-1,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,-1,-1,-1,-1,1,192,1,36,2,2,2,1,2,2,2,3,1,7,1539,8
882,3,1,2,3,8.3,16.7,75,0,75,25,25,75,75,75,75,25,1,4.7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,-1,1,7,180,20,6,2,5,5,50,50,5,50,40,0,100,80,80,2,1,2,1,1,3,2,2,2,2,2,2,1,2,2,1,2,2,0,3,3,2,0,15,0,1,0,2,5,2,1,1,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,-1,1,1,1,1,2,1,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0.1,2,25,75,2,25,25,46.9,31.3,25,2,98.4,1.6,0,85.9,4,4,2,3,5,1,2,2,1,1,1,1,2,1,2,1,3,2,1,2,1,2,3,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,3,1,1,2,-1,1,1,1,3,1,3,2,-1,2,-1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,4500,4200,-1,-1,4500,4500,3500,3500,1,2,1,2,1,2,2,1,2,1,1,2,1,1,2,-1,-1,-1,-1,2,-1,2,66,2,1,2,1,2,2,2,2,1,10,3778,10
883,3,1,1,2,88.9,11.1,0,0,25,25,25,25,25,25,25,25,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,-1,2,-1,-1,32,6,3,5,11.1,55.6,33.3,5,22.2,16,120,255,40,-8,2,4,3,1,1,4,2,2,1,2,1,2,1,2,2,1,2,1,69,3,2,2,4,15,1,1,2,12,3,2,1,1,1,2,2,2,2,4,4,3,1,2,1,1,1,1,1,2,1,1,-1,2,1,-8,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,34.5,65.5,2,25,25,25,58.6,34.5,2,93.1,0,5,95,1,5,3,2,3,1,3,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,3,1,2,1,2,1,2,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,-1,2,-1,2,-1,1,3,1,2,1,2,2,-1,2,-1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,-1,1,2,1,1,1,1,2,-1,-1,-1,-1,3865,3865,2850,2850,2,1,2,1,-1,-1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,86,1,14,2,2,2,1,2,2,2,1,1,1,1789,10
884,1,2,1,1,75,25,0,0,25,25,25,25,25,75,25,25,2,0,1,2,1,1,2,2,3,1,1,1,3,1,1,2,2,2,1,1,1,2,2,2,1,20,2,-1,-1,1,1,1,5,95,5,5,5,5,0,0,80,0,56,1,1,5,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,0,0,0,2,8,2,1,2,2,2,2,2,2,4,4,3,1,3,1,1,1,1,1,2,1,2,2,2,2,-1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,50,50,2,25,25,25,25,75,2,100,0,0,0,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,3,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,2,2,-1,-1,-1,-1,2000,-1,1500,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,-1,-1,-1,-1,1,50,1,50,2,3,2,2,2,1,2,3,1,4,9825,35
885,1,2,1,2,50,50,0,0,25,25,25,25,25,25,25,25,1,0,2,2,1,1,2,2,3,2,1,2,3,1,2,2,1,2,2,1,1,2,2,1,1,75,2,-1,-1,1,1,1,5,5,5,95,5,5,2,0,39,0,70,2,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,1,0,0,0,0,8,2,1,2,2,2,2,2,2,4,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,50,50,2,25,25,25,25,50,2,100,0,0,0,3,5,5,5,3,1,3,5,2,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,2,1,2,3,1,2,1,2,2,3,2,1,1,2,2,2,1,2,1,2,2,-1,1,3,1,1,1,3,1,3,1,3,1,3,1,3,2,-1,2,-1,2,-1,2,-1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,1,2,2,-1,-1,-1,-1,2400,-1,1200,-1,-1,-1,2,1,1,2,-1,-1,-1,-1,1,2,2,2,2,-1,-1,-1,-1,2,-1,1,120,2,3,2,1,2,2,2,1,1,8,2395,2
886,1,2,1,1,60,40,0,0,25,25,25,25,25,25,25,25,1,25,2,2,1,1,1,2,1,1,3,1,3,1,2,2,1,1,-1,1,1,1,1,1,1,66.7,2,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,70,0,60,1,1,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,2,0,0,1,8,2,2,1,1,2,2,2,2,4,4,2,1,2,1,1,1,1,1,1,1,2,2,2,2,-1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,33.3,66.7,2,66.7,25,25,25,33.3,2,25,0,5,66.7,3,5,3,3,2,1,5,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,3,3,2,1,2,3,1,2,2,1,2,1,2,3,1,2,3,2,1,2,1,1,2,-1,1,2,1,3,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,-1,-1,-1,-1,4250,-1,1200,-1,-1,-1,1,2,1,2,-1,-1,-1,-1,1,2,1,1,2,-1,-1,-1,-1,2,-1,1,120,2,2,2,2,2,2,1,2,2,4,9825,33
887,3,2,1,1,0,0,85.4,14.6,75,25,25,75,75,75,75,25,1,7.7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-1,1,1,2,2,1,2,-1,2,-1,-1,11,4,2,5,60,5,40,5,5,20,0,363,24,20,2,1,3,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,26.9,1,1,1,0,15,0,0,0,1,4,2,1,1,2,2,2,2,1,4,4,3,1,1,1,1,1,1,1,1,1,1,-1,1,2,2,1,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,15.4,84.6,2,25,25,25,42.3,57.7,2,100,0,0,7.7,4,5,5,4,5,2,4,3,2,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,3,1,3,1,1,1,1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1,2650,-1,3500,-1,-1,-1,-1,-1,2,1,2,1,2,1,-1,-1,-1,-1,1,2,1,2,2,-1,-1,-1,-1,1,99,2,37,2,2,2,1,2,2,2,2,2,10,3778,10
888,2,1,2,4,0,100,0,0,25,25,25,25,25,75,75,25,2,0,2,1,1,1,2,2,1,1,1,1,-8,2,2,2,2,2,1,1,1,1,2,1,2,-1,1,3,121.7,1,1,1,-1,-1,-1,-1,-1,-1,0,40,98,20,80,1,4,2,2,1,4,2,2,2,2,1,2,1,1,2,1,2,2,95,1,3,0,3,4,0,0,0,1,8,2,1,1,1,2,2,2,2,3,3,2,1,1,1,1,1,1,2,2,1,1,-1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,100,2,25,25,25,25,75,2,100,0,0,6.7,3,5,5,5,5,2,5,5,2,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,2,2,1,2,3,3,3,3,2,2,3,1,3,3,2,2,2,-1,1,2,1,3,1,3,1,1,1,1,1,1,2,-1,2,-1,1,2,1,2,2,-1,2,-1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,-1,-1,-1,-1,-1,-1,1200,-1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,-1,-1,-1,-1,1,14,1,14,1,3,2,1,2,2,2,4,2,7,1539,7
889,3,2,1,3,52.9,47.1,0,0,25,25,25,25,25,25,52.9,29.4,2,2.2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,1,63,2,-1,-1,12,6,2,5,50,5,50,5,5,12,40,760,80,25,2,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,15,0,0,0,2,6,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0.1,2,31.1,68.9,2,25,25,25,42.2,33.3,2,95.2,0,4.8,65.2,2,5,4,5,4,1,4,3,1,2,1,1,2,1,1,1,2,3,1,2,3,1,2,1,2,2,1,2,3,3,2,3,2,1,2,3,1,2,1,1,2,-1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,2,-1,2,-1,2,-1,2,-1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,-1,-1,-1,-1,3800,4500,2850,3500,-1,-1,2,1,2,1,-1,-1,-1,-1,2,2,1,1,1,2,2,1,2,1,300,1,120,2,2,2,2,2,2,1,2,1,1,1789,10
