"SQFT","NFLOOR","NELVTR","NESLTR","EDSEAT","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","POOL","HTPOOL","RFGRES","RFGCOMPN","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TRNGRM","STDNRM","WBOARDS","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","PRUSED","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI","NGBTU_PERCENT","SUMBTU"
33500,1,NA,NA,350,NA,10,2,50,20,2,100,100,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,4,NA,10,12,1,1,2,2,2,NA,NA,NA,2773,2016,29,14,84.055763395,2126552,935297,1191255,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2618831.6,1250817.75,NA,NA,3869649.35,115.51,63.48,30.78,2126552
77000,6,NA,NA,800,NA,10,1,59,80,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,2,NA,NA,NA,NA,NA,80,60,30,0,2,1,2,NA,NA,3,3713,1278,28,14,212.42624205,6326359,1347245,4635973,343141,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3772286,4867771.65,346572.41,NA,8986630.06,116.71,82.16,51.59,6326359
67000,1,NA,NA,350,NA,12,1,96,42,1,100,82,1,2,1,2,1,1,2,2,2,NA,2,NA,3,NA,NA,NA,1,100,200,6,6,2,1,2,22,NA,1,5564,1049,29,14,139.16995492,5517834,2988134,2529700,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,8366775.2,2656185,NA,NA,11022960.2,164.52,82.36,22.95,5517834
38000,2,NA,NA,600,NA,12,1,85,25,2,NA,100,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,1,NA,40,25,5,0,1,2,2,2,NA,1,93,4295,29,14,259.35186162,1898594,1898594,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,1,5316063.2,NA,NA,NA,5316063.2,139.9,49.96,NA,1898594
95000,2,1,NA,500,NA,11,2,50,64,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,20,2,NA,NA,NA,NA,255,35,13,3,2,1,1,41,2,3,422,3739,28,14,392.2691563,4041371,4041371,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,2,2,2,2,1,11315838.8,NA,NA,NA,11315838.8,119.11,42.54,NA,4041371
215000,1,NA,NA,1500,NA,12,1,60,60,1,90,95,2,2,1,1,2,2,2,2,2,NA,1,NA,2,NA,NA,6,3,100,40,50,4,1,1,1,60,2,5,5692,406,29,14,84.58932707,9949413,4095185,5852853,1375,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,11466518,6145495.65,1388.75,NA,17613402.4,81.92,46.28,33.23,9949413
176000,3,2,NA,600,NA,12,1,80,100,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,2,4,NA,200,50,4,1,1,2,1,2,NA,1,7155,861,28,14,125.65044,19323724,4625584,14643150,54990,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,12951635.2,15375307.5,55539.9,NA,28382482.6,161.26,109.79,51.59,19323724
63000,1,NA,NA,800,NA,12,2,80,33,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,1,2,3,2,NA,1,98,6,28,0,1,2,1,2,3,1,3622,1285,28,14,84.58932707,10838270,1662265,9176005,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,4654342,9634805.25,NA,NA,14289147.25,226.81,172.04,64.22,10838270
54000,1,NA,NA,600,NA,12,2,40,40,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,NA,2,NA,2,NA,NA,300,0,50,1,2,1,1,3,1,2,3536,1450,28,14,653.05875273,4400683,2226555,2174128,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,6234354,2282834.4,NA,NA,8517188.4,157.73,81.49,25.53,4400683
78000,2,1,NA,500,NA,12,2,45,40,1,100,20,2,2,1,1,2,1,2,2,2,NA,2,1,2,NA,1,NA,1,60,5,5,1,2,1,2,10,1,NA,5612,791,28,14,242.08690218,2381592,901856,1228155,251581,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2525196.8,1289562.75,254096.81,NA,4068856.36,52.16,30.53,30.18,2381592
108000,1,NA,NA,500,NA,10,1,72,45,1,100,100,1,2,1,2,2,1,2,1,2,NA,1,2,2,NA,1,2,2,250,200,30,2,1,1,1,20,NA,2,4850,847,29,14,133.33774762,6357425,1966837,4390588,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,5507143.6,4610117.4,NA,NA,10117261,93.68,58.87,43.4,6357425
37500,1,NA,NA,200,NA,9,2,50,19,2,100,95,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,3,NA,25,25,3,1,2,2,1,NA,1,2,2132,2146,29,14,583.35116997,682226,562608,119618,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1575302.4,125598.9,NA,NA,1700901.3,45.36,18.19,7.03,682226
88000,2,1,NA,600,NA,10,2,60,125,1,100,100,2,2,1,2,2,2,2,2,2,NA,2,NA,2,NA,NA,NA,1,230,50,200,0,2,1,1,50,NA,NA,2138,2028,29,14,583.35116997,6007694,4500534,1507160,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,12601495.2,1582518,NA,NA,14184013.2,161.18,68.27,10.63,6007694
17500,1,NA,NA,225,NA,12,2,40,25,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,25,30,10,0,2,1,1,NA,NA,2,2923,2444,28,14,503.86330813,638512,475844,162668,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1332363.2,170801.4,NA,NA,1503164.6,85.9,36.49,10.82,638512
