"Total.gross.floor.area","Total.number.of.units","Unit.Density","Bedrooms.Unit","Number.of.BRs","CDD","HDD","Building.Type.Property.Level","Total.SOURCE.kBtu","Total.SITE.kBtu","Source.EUI.using.Total.gross.floor.area","Site.EUIusing.Total.gross.floor.area","Survey.Weights.for.ENERGY.STAR.score.analysis"
50657,60,1.18,1,61,905,5888,"Low-rise",8827612,5141619,174.3,101.5,925.04
50440,60,1.19,1,60,1162,5895,"Mid-rise",12266601,6109533,243.2,121.1,925.04
43670,60,1.37,1,60,946,5977,"High-rise",6119314,3440846,140.1,78.8,925.04
46543,60,1.29,1,60,946,5977,"High-rise",8872080,5753614,190.6,123.6,925.04
42180,60,1.42,1,60,697,5983,"High-rise",8915902,6011571,211.4,142.5,925.04
67084,60,0.89,1,61,523,6194,"High-rise",10496669,6930463,156.5,103.3,433
45692,60,1.31,1,60,846,6287,"Low-rise",3699912,1884594,81,41.2,925.04
48855,60,1.23,1,60,861,6331,"Low-rise",4363041,2151671,89.3,44,925.04
37879,62,1.64,1,62,924,5221,"Mid-rise",4739230,2775017,125.1,73.3,433
49786,63,1.27,1,64,216,4701,"High-rise",5136246,1635747,103.2,32.9,925.04
57414,64,1.11,1.2,78,1272,4423,"Mid-rise",9020434,6357013,157.1,110.7,433
47756,65,1.36,1,66,4602,1061,"High-rise",7514619,2701299,157.4,56.6,925.04
50885,65,1.28,1,65,1217,5412,"High-rise",5863544,3334744,115.2,65.5,925.04
54954,66,1.2,1,67,824,2838,"Low-rise",5712340,2299962,103.9,41.9,925.04
52454,66,1.26,1,67,1467,4329,"Mid-rise",7904165,4861934,150.7,92.7,433
78660,66,0.84,1.2,79,1165,4570,"Mid-rise",8004818,6224666,101.8,79.1,433
71948,66,0.92,1,67,946,5977,"Mid-rise",13780460,6841233,191.5,95.1,925.04
50400,69,1.37,1.1,75,1536,4312,"Mid-rise",6173786,4276086,122.5,84.8,433
57086,69,1.21,1.3,89,1272,4423,"Mid-rise",8690547,6209884,152.2,108.8,433
81730,70,0.86,1.229,86,1272,4423,"Mid-rise",11481921,8918216,140.5,109.1,433
34910,70,2.01,1,70,1272,4423,"Mid-rise",6380386,4118975,182.8,118,433
53922,70,1.3,1,71,1187,5405,"High-rise",9437795,3566019,175,66.1,925.04
53155,70,1.32,1,70,765,5436,"High-rise",8898880,3390493,167.4,63.8,925.04
57553,72,1.25,1,72,4602,1061,"High-rise",9493394,3319701,165,57.7,925.04
89026,72,0.81,1.3,96,1536,4312,"Mid-rise",10656420,7719221,119.7,86.7,433
82272,72,0.88,1.6,116,1272,4423,"Mid-rise",9687345,7128315,117.7,86.6,433
36000,72,2,1.1,78,851,5371,"Low-rise",6425819,4376892,178.5,121.6,433
60040,72,1.2,1.1,76,898,6020,"High-rise",9903558,6091568,164.9,101.5,925.04
70196,73,1.04,2.438,178,206,7993,"Low-rise",9144957,2912407,130.3,41.5,925.04
29554,74,2.5,1,74,100,3289,"Mid-rise",5794783,3666828,196.1,124.1,925.04
111000,74,0.67,1.7,126,1272,4423,"Mid-rise",14239899,10494477,128.3,94.5,433
54156,75,1.38,1,75,750,1381,"High-rise",4025824,1770781,74.3,32.7,925.04
52632,75,1.42,1,75,1067,2468,"Low-rise",3918224,1802690,74.4,34.3,925.04
62000,75,1.21,1.1,79,1877,2731,"Low-rise",5572687,1774741,89.9,28.6,925.04
44378,75,1.69,1,75,1061,5751,"Low-rise",7762901,4657706,174.9,105,925.04
62318,76,1.22,1,77,338,1391,"High-rise",3937177,1766261,63.2,28.3,925.04
39640,76,1.92,1,76,3238,1754,"Low-rise",4765989,1517831,120.2,38.3,925.04
59971,76,1.27,1,77,944,5414,"Mid-rise",8016945,5005668,133.7,83.5,433
99036,76,0.77,1,77,859,5674,"Mid-rise",6859785,3725749,69.3,37.6,433
51556,76,1.47,1.2,88,475,6315,"Low-rise",9651366,3073683,187.2,59.6,925.04
178676,77,0.43,2.3,175,1272,4423,"High-rise",28721421,18219073,160.7,102,433
103984,77,0.74,1.4,107,1272,4423,"High-rise",14944644,11257365,143.7,108.3,433
60079,78,1.3,1,78,2416,2838,"Mid-rise",8506859,3300126,141.6,54.9,925.04
96093,78,0.81,1,78,761,2845,"Low-rise",7911154,3339952,82.3,34.8,925.04
54614,78,1.43,1.1,82,1603,3715,"Low-rise",6856695,2183661,125.5,40,925.04
59774,78,1.3,1,78,587,6199,"Mid-rise",7187817,4224926,120.2,70.7,433
68796,79,1.15,1.5,116,1165,4570,"Mid-rise",8729116,6313424,126.9,91.8,433
94994,79,0.83,2.6,202,938,5404,"Low-rise",12172964,8576269,128.1,90.3,433
53628,80,1.49,1,80,3453,960,"High-rise",5466311,1861907,101.9,34.7,925.04
57750,81,1.4,1,82,356,2340,"Low-rise",4092679,1860575,70.9,32.2,925.04
78482,81,1.03,1,82,2870,3425,"Low-rise",8584981,3282117,109.4,41.8,925.04
41427,81,1.96,1,82,475,6315,"Low-rise",9165734,2919024,221.3,70.5,925.04
52206,82,1.57,1.1,92,2831,1869,"Low-rise",6184661,3038517,118.5,58.2,925.04
114500,82,0.72,1.4,118,1272,4423,"Mid-rise",12054020,8751824,105.3,76.4,433
156605,82,0.52,1.6,130,100,5094,"Mid-rise",9143232,3907735,58.4,25,925.04
75560,82,1.09,1.1,93,851,5371,"High-rise",12429050,8517754,164.5,112.7,433
51314,82,1.6,1,83,905,5888,"High-rise",4815930,1559619,93.9,30.4,925.04
92805,83,0.89,1.4,118,1536,4312,"Mid-rise",10066077,7267326,108.5,78.3,433
