"SQFT","NFLOOR","NELVTR","NESLTR","COURT","MONUSE","OPNWE","WKHRS","NWKER","COOK","MANU","HEATP","COOLP","SNACK","FASTFD","CAF","FDPREP","KITCHN","BREAKRM","OTFDRM","LABEQP","MCHEQP","POOL","HTPOOL","RFGWIN","RFGOPN","RFGCLN","RFGVNN","RFGICN","PCTERMN","LAPTPN","PRNTRN","SERVERN","TVVIDEON","RGSTRN","COPIERN","HDD65","CDD65","PBAPLUS","PBA","FINALWT","MFBTU","ELBTU","NGBTU","FKBTU","DHBTU","ONEACT","ACT1","ACT2","ACT3","ACT1PCT","ACT2PCT","ACT3PCT","PRAMTC","PRUNIT","CWUSED","WOUSED","COUSED","SOUSED","PRUSED","RFGSTP","RFGRSN","RFGCOMPN","RFGWIN.1","RFGOPN.1","RFGCLN.1","RFGVNN.1","LODGRM","OCCUPYP","LODOCCP","ELBTU0","NGBTU0","FKBTU0","DHBTU0","SOURCE_ENERGY","SOURCE_EUI","SITE_EUI","NGBTU_PERCENT","SUMBTU"
65000,2,1,NA,NA,12,1,168,12,1,2,100,100,1,2,2,1,2,2,2,NA,NA,2,NA,2,1,NA,3,4,4,3,3,1,75,1,NA,3302,1398,38,18,239.38538189,3185206,1927121,1258085,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,10,NA,2,1,NA,3,70,NA,61,5395938.8,1320989.25,NA,NA,6716928.05,103.34,49,18.73,3185206
24250,2,NA,NA,NA,12,1,168,3,1,2,100,100,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,5,20,5,0,56,NA,NA,5068,1101,39,18,308.205725,2104402,431192,1673210,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,30,NA,NA,NA,NA,60,NA,60,1207337.6,1756870.5,NA,NA,2964208.1,122.24,86.78,56.45,2104402
124000,4,2,NA,NA,12,1,168,18,1,2,100,100,1,1,2,2,1,1,2,NA,NA,1,1,1,NA,NA,NA,5,5,4,5,1,170,3,1,5235,1483,38,18,15.945623796,8765884,6238644,2527240,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,4,50,1,NA,NA,NA,150,NA,70,17468203.2,2653602,NA,NA,20121805.2,162.27,70.69,12.56,8765884
53000,4,2,NA,NA,12,1,168,15,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,4,4,4,1,5,1,105,NA,1,2041,2442,38,18,212.42624205,3858472,2048834,1809638,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,12,70,NA,NA,4,4,80,NA,70,5736735.2,1900119.9,NA,NA,7636855.1,144.09,72.8,23.7,3858472
29000,3,1,NA,NA,12,1,168,6,1,2,100,100,2,2,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,3,3,1,1,4,2,72,NA,1,2527,1763,38,18,751.72654486,2258097,1552794,705303,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,70,NA,NA,NA,3,70,NA,66,4347823.2,740568.15,NA,NA,5088391.35,175.46,77.87,13.86,2258097
81000,5,2,NA,NA,12,1,168,32,2,2,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,6,5,9,0,8,1,140,NA,1,1219,901,38,18,212.42624205,4822727,2683859,2138868,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,4,125,NA,NA,2,6,125,NA,80,7514805.2,2245811.4,NA,NA,9760616.6,120.5,59.54,21.91,4822727
290000,4,5,NA,NA,12,1,168,60,1,2,100,100,1,1,1,1,2,2,2,NA,NA,1,1,8,NA,6,NA,9,44,6,23,6,995,5,6,2052,1829,38,18,62.584971321,34336387,25793567,8538558,4262,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,20,8,NA,6,NA,250,NA,70,72221987.6,8965485.9,4304.62,NA,81191778.12,279.97,118.4,10.52,34336387
55000,3,1,NA,NA,12,1,168,11,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,3,3,15,2,0,170,NA,NA,82,4541,39,18,259.35186162,4272071,2013176,2258895,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,4,175,NA,46,5636892.8,2371839.75,NA,NA,8008732.55,145.61,77.67,28.21,4272071
500000,14,13,NA,NA,12,1,168,110,1,2,100,100,2,2,1,1,1,1,2,NA,NA,2,NA,15,NA,NA,2,10,40,20,15,10,995,10,5,2539,1746,38,18,15.945623796,54632543,35084559,19500830,47154,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,4,350,15,NA,NA,2,350,NA,74,98236765.2,20475871.5,47625.54,NA,118760262.24,237.52,109.27,16.42,54632543
104000,5,2,NA,NA,12,1,168,40,1,2,100,100,2,2,1,2,2,2,2,NA,NA,2,NA,3,NA,NA,6,NA,8,0,3,1,155,3,NA,4146,1251,38,18,212.42624205,13153696,7063761,6089935,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,3,NA,NA,6,150,NA,72,19778530.8,6394431.75,NA,NA,26172962.55,251.66,126.48,23.27,13153696
42000,3,1,NA,NA,12,1,168,10,2,2,95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,3,2,0,4,1,75,2,NA,2964,2147,38,18,751.72654486,2387068,1526478,860590,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,70,NA,NA,NA,3,70,NA,74,4274138.4,903619.5,NA,NA,5177757.9,123.28,56.83,16.62,2387068
41000,2,NA,NA,NA,12,1,168,14,2,2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,4,4,1,1,0,151,NA,2,3114,1908,39,18,751.72654486,3995065,2604755,1390310,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,1,150,NA,NA,NA,3,150,NA,60,7293314,1459825.5,NA,NA,8753139.5,213.49,97.44,15.88,3995065
57000,2,NA,NA,NA,12,1,168,6,1,2,100,75,2,1,2,2,1,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,5,1,3,1,112,1,1,2542,2652,38,18,259.35186162,2688009,2203081,484928,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,6,70,NA,NA,NA,NA,100,NA,50,6168626.8,509174.4,NA,NA,6677801.2,117.15,47.16,7.26,2688009
124000,994,1,NA,NA,12,1,168,12,1,2,100,100,2,1,1,2,1,2,2,NA,NA,2,NA,1,NA,9,NA,2,1,0,2,0,163,3,1,1868,3086,38,18,28.039253865,9053875,5506678,3539223,7974,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,1,NA,9,NA,150,NA,60,15418698.4,3716184.15,8053.74,NA,19142936.29,154.38,73.02,18.49,9053875
104000,6,3,NA,NA,12,1,168,30,1,2,100,100,2,2,2,1,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,30,0,4,1,175,5,5,4548,1457,38,18,15.945623796,13509720,10266415,3243305,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,8,175,NA,NA,NA,NA,175,NA,50,28745962,3405470.25,NA,NA,32151432.25,309.15,129.9,10.09,13509720
186000,14,7,NA,NA,12,1,168,30,1,2,80,100,2,1,2,2,1,2,2,NA,NA,2,NA,10,NA,NA,15,11,21,0,15,7,995,6,1,1353,3501,38,18,17.191258213,16728021,13599311,3128710,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,45,30,10,NA,NA,15,300,NA,45,38078070.8,3285145.5,NA,NA,41363216.3,222.38,89.94,7.56,16728021
