"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
52323,100,77,1,1,1,0,49,247,78.7,4117820.1,12923781
97650,100,47,1,1,1,0,75,100.3,64.5,6298425,9794295
120200,100,77,2,1,1,0,89,100,31.9,3834380,12020000
150000,100,63,1,3,1,0,79,50,34.7,5205000,7500000
52000,100,67,1,1,1,0,1,308.4,98.2,5106400,16036800
80000,100,67,1,1,1,0,100,8,2.6,208000,640000
2e+05,100,67,1,2,1,0,43,90.2,39,7800000,18040000
131000,100,87,11,2,1,0,79,49,32.6,4270600,6419000
180000,100,37,2,2,13,0,65,85.3,43.3,7794000,15354000
120000,100,37,2,3,1,0,41,82.8,46.4,5568000,9936000
75000,100,37,1,3,1,0,83,73.8,33,2475000,5535000
66000,100,54,1,1,1,0,71,52,24.6,1623600,3432000
100010,100,72,1,2,1,0,15,135.1,89.5,8950895,13511351
75447,100,52,1,1,1,0,83,20,10.8,814827.6,1508940
91000,100,50,1,2,1,0,50,76.6,24.4,2220400,6970600
82283,100,27,1,1,1,0,89,67,30.5,2509631.5,5512961
40358,100,53,3,1,1,0,4,379.7,123.9,5000356.2,15323932.6
180000,100,50,1,3,1,0,NA,26.5,8.4,1512000,4770000
53000,100,63,1,1,1,0,99,8.1,6.5,344500,429300
70000,100,90,1,3,2,0,70,53.4,30.7,2149000,3738000
51000,100,82,1,1,1,0,35,81.1,25.8,1315800,4136100
108000,100,88,3,2,1,0,NA,69.2,47.4,5119200,7473600
53660,100,97,1,2,2,0,7,151.9,52,2790320,8150954
425915,100,68,2,3,6,0,92,37,27.4,11670071,15758855
75654,100,89,1,2,1,0,18,102.4,32.6,2466320.4,7746969.6
753456,100,44,2,3,18,0,NA,150.9,66.5,50104824,113696510.4
89000,100,47,1,1,1,0,55,81.5,52.2,4645800,7253500
123000,100,47,1,2,1,0,88,42.3,27.3,3357900,5202900
87969,100,48,1,1,0,0,64,72.5,30.5,2683054.5,6377752.5
50990,100,87,1,4,2,0,NA,63.2,46.9,2391431,3222568
183535,100,95,17,1,1,0,NA,65.7,20.9,3835881.5,12058249.5
73000,100,57,1,1,1,0,20,106.2,87.9,6416700,7752600
71000,100,62,1,2,0,0,18,123.1,74.5,5289500,8740100
107000,100,76,4,3,1,0,9,126.8,59.5,6366500,13567600
156000,100,98,1,2,7,0,32,155.5,91.7,14305200,24258000
53427,100,27,1,6,25,0,24,239.5,95.1,5080907.7,12795766.5
74000,100,45,3,1,6,0,86,62.2,33.4,2471600,4602800
52897,100,57,1,1,2,0,85,41.1,37,1957189,2174066.7
170000,100,55,1,2,3,0,53,130.7,56,9520000,22219000
115600,100,10,2,4,4,0,NA,14.6,5.8,670480,1687760
47072,100,89,1,2,3,0,NA,184.9,93.2,4387110.4,8703612.8
39409,100,92,1,2,4,0,90,57.3,23.2,914288.8,2258135.7
147403,100,86,2,4,1,0,94,21.3,8.7,1282406.1,3139683.9
53666,100,41,1,1,1,0,57,35,11.1,595692.6,1878310
32000,100,71,1,7,54,0,48,218.3,69.5,2224000,6985600
53000,100,87,2,1,6,0,65,56.7,38.6,2045800,3005100
148700,100,57,2,1,1,0,98,53.6,39.6,5888520,7970320
221187,100,63,2,5,16,0,83,42.6,21.9,4843995.3,9422566.2
287240,100,63,1,5,14,0,87,39.4,20.9,6003316,11317256
54703,100,11,1,2,1,0,54,46.3,18.8,1028416.4,2532748.9
7000,100,56,2,1,1,0,NA,175.1,87.8,614600,1225700
17900,100,30,1,2,1,0,NA,76.7,35.4,633660,1372930
56890,100,29,1,2,1,0,92,38.9,32,1820480,2213021
39388,100,30,1,2,1,0,NA,76.1,31.7,1248599.6,2997426.8
64350,100,47,1,2,1,0,78,73.2,42.4,2728440,4710420
2700,100,46,1,2,1,0,NA,434.9,285,769500,1174230
57600,100,47,1,2,5,0,6,161.7,85.2,4907520,9313920
54500,100,36,1,2,1,0,79,107.3,101.7,5542650,5847850
49800,100,53,1,2,9,0,87,71.3,67.3,3351540,3550740
131491,100,3,1,1,4,0,93,47,44.3,5825051.3,6180077
71475,100,15,1,1,1,0,16,153.5,72.2,5160495,10971412.5
71036,100,15,1,1,1,0,78,90,29,2060044,6393240
66128,100,15,2,2,1,0,61,165.1,64.3,4252030.4,10917732.8
25200,100,18,3,5,1,0,75,176,64,1612800,4435200
86850,100,31,1,1,1,0,20,121.8,74,6426900,10578330
76000,80,61,1,4,4,0,93,25.3,9.4,714400,1922800
61000,100,105,1,3,1,0,NA,15.7,7.1,433100,957700
15000,90,53,2,1,1,0,100,293.8,110.4,1656000,4407000
68300,100,20,1,3,2,1,53,27.4,12.1,826430,1871420
215365,100,93,2,7,1,0,100,16.5,7.3,1572164.5,3553522.5
36300,100,8,1,2,1,0,NA,56.4,21.5,780450,2047320
84767,100,8,5,4,1,0,80,40.7,17.1,1449515.7,3450016.9
62800,100,12,1,2,1,0,74,34.6,15,942000,2172880
19250,100,33,1,1,1,0,NA,334.5,132.8,2556400,6439125
