"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
44000,100,92,1,12,19,18,NA,114.8,73.8,3247200,5051200
167760,100,6,1,27,210,207,33,161.6,95.3,15987528,27110016
2722,100,90,1,23,58,0,NA,163.9,84.1,228920.2,446135.8
554923,100,10,1,24,572,569,NA,172.1,89.3,49554623.9,95502248.3
45468,100,92,1,12,13,12,NA,93,57,2591676,4228524
223100,100,5,1,25,237,199,36,134.5,65.5,14613050,30006950
69228,100,7,1,32,1,0,NA,190.5,99,6853572,13187934
116249,100,86,1,20,113,110,67,117.8,78.9,9172046.1,13694132.2
64568,100,112,8,5,120,102,19,214.6,124.8,8058086.4,13856292.8
122198,100,80,1,6,121,113,24,151.5,93.1,11376633.8,18512997
155640,100,87,1,19,180,175,85,106,66,10272240,16497840
96221,100,87,1,19,115,114,57,129.4,72.8,7004888.8,12450997.4
69860,100,107,1,12,12,11,NA,170.1,83.7,5847282,11883186
69206,100,91,1,10,31,31,75,118,52.9,3660997.4,8166308
70165,100,110,1,10,32,31,78,119.1,67.5,4736137.5,8356651.5
60945,100,7,1,12,39,37,9,205.8,83.1,5064529.5,12542481
50001,100,78,1,6,69,69,86,99.4,71.3,3565071.3,4970099.4
87037,100,55,1,7,110,109,28,160.8,99.3,8642774.1,13995549.6
77683,100,104,1,12,20,19,NA,87.6,50.1,3891918.3,6805030.8
127094,100,78,1,15,199,196,NA,180,113.6,14437878.4,22876920
70057,100,107,1,11,44,43,NA,141.7,88,6165016,9927076.9
52313,100,15,1,11,13,12,6,172.3,55.3,2892908.9,9013529.9
74404,100,54,1,14,133,130,33,188.6,99.5,7403198,14032594.4
61690,100,77,1,6,85,77,86,96,66.7,4114723,5922240
96500,100,43,1,6,150,150,93,108.6,60.2,5809300,10479900
146412,100,90,1,18,266,262,NA,144.6,82.4,12064348.8,21171175.2
57207,95,87,1,6,118,118,100,71.3,23.2,1327202.4,4078859.1
75767,100,113,1,10,180,180,36,219.8,121.2,9182960.4,16653586.6
564683,100,107,1,19,357,352,29,186.1,89,50256787,105087506.3
50029,100,55,1,7,69,69,84,114.2,74.4,3722157.6,5713311.8
62586,100,82,1,6,68,68,59,112.2,81,5069466,7022149.2
78780,100,92,1,12,43,25,74,113.9,74.8,5892744,8973042
236778,100,6,1,12,207,204,72,114.9,56.4,13354279.2,27205792.2
77742,100,99,1,6,82,79,91,87.2,54.5,4236939,6779102.4
52560,100,90,1,15,41,39,NA,134.9,94.8,4982688,7090344
151540,100,90,1,15,14,14,NA,118.7,65.3,9895562,17987798
81433,100,93,1,12,30,6,97,47.4,31.4,2556996.2,3859924.2
50000,100,90,1,15,25,24,88,77.2,67,3350000,3860000
163681,95,96,1,13,28,0,13,163.3,122.9,20116394.9,26729107.3
78731,100,92,1,16,30,26,94,72.9,44.6,3511402.6,5739489.9
78325,100,90,1,16,22,0,6,174.3,82.9,6493142.5,13652047.5
383000,100,54,1,21,361,354,67,113.5,58.5,22405500,43470500
50952,100,67,1,6,58,56,71,107.8,75.8,3862161.6,5492625.6
180472,100,16,2,13,276,275,NA,202.8,100.8,18191577.6,36599721.6
135653,100,79,1,7,65,64,71,96.4,57.6,7813612.8,13076949.2
54009,100,32,1,9,14,13,NA,186.3,94.1,5082246.9,10061876.7
126122,100,45,1,6,168,163,48,172.9,91.2,11502326.4,21806493.8
63500,100,97,1,6,69,68,78,110.1,68.7,4362450,6991350
201901,100,87,1,19,156,155,4,181.6,88.6,17888428.6,36665221.6
46200,100,108,1,8,29,28,NA,115.3,76.4,3529680,5326860
64416,100,111,1,8,27,26,97,86.1,34.6,2228793.6,5546217.6
102503,100,15,1,12,49,49,NA,154.7,87.7,8989513.1,15857214.1
64000,100,107,1,9,21,18,NA,122.8,60.9,3897600,7859200
