"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
70000,100,50,1,45,374,371,40,146.1,85.8,6006000,10227000
4100,100,61,1,17,132,128,NA,153.4,92.5,379250,628940
429031,100,30,1,27,33,0,79,206.9,72.3,31018941.3,88766513.9
175748,100,59,1,19,33,0,68,203.7,71,12478108,35799867.6
8941,100,92,1,14,29,28,81,120.8,66.7,596364.7,1080072.8
166563,65,46,1,22,34,0,43,261.1,131.3,21869721.9,43489599.3
105874,95,114,1,13,46,0,45,251.3,117.1,12397845.4,26606136.2
285562,100,33,1,24,39,0,79,189.1,66.1,18875648.2,53999774.2
136733,100,89,1,21,84,0,87,146,63.7,8709892.1,19963018
165636,100,66,1,24,40,0,73,207.1,81.2,13449643.2,34303215.6
6000,100,54,1,17,65,63,NA,169.3,94.2,565200,1015800
95935,100,90,1,12,2,0,84,120.2,62.9,6034311.5,11531387
6777,100,104,1,13,32,29,9,152.1,62.5,423562.5,1030781.7
6000,100,59,1,20,56,52,72,140.9,68.8,412800,845400
3000,100,100,1,9,32,30,NA,132.1,78,234000,396300
4428,85,81,1,12,43,40,NA,83.2,56.7,251067.6,368409.6
219657,100,70,1,21,44,0,86,174.5,64.1,14080013.7,38330146.5
170511,60,23,2,14,1,0,94,117.5,49.8,8491447.8,20035042.5
405601,100,31,1,28,41,0,71,200.4,73.8,29933353.8,81282440.4
168619,100,57,1,20,35,0,35,279.5,149.4,25191678.6,47129010.5
6627,100,106,1,12,29,24,2,200.8,112.7,746862.9,1330701.6
7800,100,91,1,12,28,23,NA,125.6,82.2,641160,979680
2850,100,94,1,15,16,15,NA,142.6,86,245100,406410
12324,100,59,2,20,190,183,55,121.6,69.6,857750.4,1498598.4
18477,100,31,1,11,27,19,NA,272.8,153.9,2843610.3,5040525.6
6900,100,56,1,16,105,104,22,175.2,113,779700,1208880
2000,100,56,1,16,108,99,NA,181,92.1,184200,362000
4250,100,60,1,17,173,165,NA,121.2,67.2,285600,515100
3420,100,109,1,12,25,23,NA,128.4,89,304380,439128
4600,100,17,2,31,74,72,NA,178.7,74.9,344540,822020
171933,100,71,3,7,1,0,53,328,140.7,24190973.1,56394024
4750,100,43,1,31,181,172,31,140.2,80.9,384275,665950
6125,100,88,1,16,217,200,NA,118,70,428750,722750
1916,100,88,1,11,76,72,NA,93.1,54,103464,178379.6
51651,100,116,2,7,19,0,94,98.8,53,2737503,5103118.8
4500,100,31,1,39,158,157,NA,193.2,94,423000,869400
59000,100,87,1,6,10,0,72,140.4,69.7,4112300,8283600
7482,100,47,1,6,60,60,77,109.8,69.8,522243.6,821523.6
3000,100,56,1,13,138,135,NA,138.5,89.8,269400,415500
4500,100,54,1,18,137,133,NA,181.5,114.4,514800,816750
2100,100,57,1,14,67,66,88,104.3,78.6,165060,219030
10293,100,38,1,33,476,467,NA,228.8,143.7,1479104.1,2355038.4
9444,100,17,1,31,87,86,22,162.8,91,859404,1537483.2
39000,100,37,1,13,21,0,63,242.9,80.9,3155100,9473100
22620,100,67,4,12,509,503,NA,156.1,105.2,2379624,3530982
10000,100,59,1,18,233,232,49,132.5,85.7,857000,1325000
24306,100,9,1,30,130,128,4,188.4,114.3,2778175.8,4579250.4
39251,100,63,1,10,1,0,86,153.6,80.1,3144005.1,6028953.6
12516,100,10,1,20,346,343,59,125.9,58.4,730934.4,1575764.4
1440,100,48,1,34,293,290,NA,194,120.2,173088,279360
7800,100,30,2,36,535,517,NA,196.2,104.2,812760,1530360
116698,100,31,1,40,329,325,66,148,77.5,9044095,17271304
7658,100,53,1,17,224,210,NA,121.7,82.5,631785,931978.6
7658,100,53,1,33,427,427,NA,118.2,80.2,614171.6,905175.6
2500,100,106,4,6,192,184,NA,292.9,256.1,640250,732250
1500,100,102,1,13,40,38,NA,137.6,73.6,110400,206400
8307,100,62,1,13,168,160,10,180.2,111.6,927061.2,1496921.4
2500,100,93,1,14,90,88,NA,101.7,63.5,158750,254250
3000,100,89,1,15,77,72,NA,96.8,58.5,175500,290400
5000,100,92,1,15,18,16,NA,128.9,69.4,347000,644500
5100,100,92,1,9,33,33,68,116.1,76,387600,592110
3000,100,85,1,9,38,38,NA,111,77.9,233700,333000
16000,100,50,1,35,460,430,NA,153.9,96.3,1540800,2462400
39847,100,112,1,6,38,0,51,178.7,73.9,2944693.3,7120658.9
6753,100,14,4,30,96,94,13,178.5,89.9,607094.7,1205410.5
2525,100,90,1,9,54,54,NA,66.3,37.2,93930,167407.5
180655,100,51,1,9,19,0,94,125,55.3,9990221.5,22581875
4000,100,36,1,13,61,60,18,193.4,105.9,423600,773600
1799,95,97,1,32,187,180,NA,117.1,72,129528,210662.9
80000,75,97,1,5,6,0,78,143.8,72.3,5784000,11504000
2500,100,57,1,14,193,186,NA,120.1,78.5,196250,300250
4384,100,12,1,27,121,120,NA,207.2,109.4,479609.6,908364.8
1844,100,31,1,28,89,88,NA,155.5,85.1,156924.4,286742
4000,100,49,1,17,149,147,12,150.7,83.9,335600,602800
7561,100,31,1,37,334,328,NA,230,144.7,1094076.7,1739030
29002,100,10,1,15,6,0,49,127.9,63.3,1835826.6,3709355.8
2057,100,60,1,20,198,198,NA,114,59,121363,234498
9426,100,67,1,6,103,102,66,128.9,91.8,865306.8,1215011.4
2386,100,44,1,42,125,123,NA,147.5,99.6,237645.6,351935
2000,100,59,1,20,154,152,NA,134.2,85.3,170600,268400
1549,100,49,1,23,236,233,NA,258.1,145.5,225379.5,399796.9
8383,100,92,1,6,73,61,87,107.7,61.3,513877.9,902849.1
2e+05,100,91,1,6,7,0,97,104,49.2,9840000,20800000
9500,100,43,3,34,611,600,38,168.4,69.3,658350,1599800
1400,100,49,1,17,1,0,NA,189.8,132,184800,265720
56065,100,14,1,8,231,230,NA,175.3,87.4,4900081,9828194.5
198829,100,43,1,15,31,0,86,154.7,49.3,9802269.7,30758846.3
1500,100,37,1,5,1,0,NA,157.5,88.1,132150,236250
4800,100,45,1,32,344,341,NA,181.3,75.6,362880,870240
82454,90,116,1,12,15,0,98,82.4,26.3,2168540.2,6794209.6
