PBAPLUS,MFBTU,FINALWT,ONEACT,ACT1,ACT2,ACT3,ACT1PCT,ACT2PCT,ACT3PCT,PRAMTC,PRUNIT,CWUSED,WOUSED,COUSED,SOUSED,SQFT,NFLOOR,NELVTR,NESLTR,EDSEAT,COURT,MONUSE,OPNWE,WKHRS,NWKER,COOK,HEATP,COOLP,SNACK,FASTFD,CAF,FDPREP,KITCHN,BREAKRM,OTFDRM,LABEQP,POOL,HTPOOL,RFGRES,RFGCOMPN,RFGWIN,RFGOPN,RFGCLN,RFGVNN,RFGICN,PCTERMN,LAPTPN,PRNTRN,SERVERN,TRNGRM,STDNRM,WBOARDS,TVVIDEON,RGSTRN,COPIERN,HDD65,CDD65,EUI
28,2989702,299.39484032,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,64000,2,NA,NA,300,NA,12,1,45,24,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,65,1,12,2,2,1,2,NA,NA,2,2746,2155,46.7
29,2338151,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,55000,3,1,NA,600,NA,9,1,38,40,1,100,5,2,2,1,1,1,1,2,2,2,NA,2,NA,1,NA,1,4,NA,115,25,10,0,1,1,1,10,1,NA,4747,887,42.5
28,2890121,503.86330813,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,22000,1,NA,NA,350,NA,9,1,60,30,1,100,100,2,2,1,2,1,1,2,2,2,NA,1,11,NA,2,NA,NA,1,20,6,2,0,2,1,1,5,1,2,5610,583,131.4
29,1816848,583.35116997,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,17250,1,NA,NA,175,NA,10,2,50,16,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,24,12,12,0,2,2,1,12,NA,NA,2285,2161,105.3
29,15671668,125.65044,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,275000,2,1,NA,1750,NA,12,2,45,202,1,100,70,2,2,1,1,2,2,2,1,1,1,1,2,2,NA,5,6,2,310,440,94,5,1,1,1,88,1,2,5594,618,57
29,6212596,171.86695171,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,126000,1,NA,NA,700,NA,12,1,72,80,1,100,100,2,2,1,2,1,1,2,2,2,NA,1,20,2,6,6,3,3,400,40,100,2,1,1,2,10,2,6,914,3244,49.3
28,3569026,242.08690218,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,68000,3,NA,NA,600,NA,12,1,60,100,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,4,2,NA,NA,1,NA,142,36,13,0,1,1,1,4,2,1,6714,878,52.5
28,2487216,201.21025436,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,68000,1,NA,NA,600,NA,9,2,40,50,1,100,100,2,2,1,1,2,1,2,2,2,NA,2,NA,2,NA,NA,NA,NA,67,0,1,2,1,2,1,3,NA,2,3545,1990,36.6
28,1150032,360.21806967,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,67000,1,NA,NA,600,NA,10,2,60,65,1,100,100,2,2,1,1,2,2,2,2,2,NA,2,NA,1,NA,3,1,1,30,40,10,1,2,1,1,30,1,3,3234,1425,17.2
28,7733974,316.08389453,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,84000,1,NA,NA,800,NA,10,2,40,82,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,4,1,2,2,2,1,174,100,57,1,1,1,1,20,2,7,3557,1779,92.1
29,10492458,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,500000,2,3,NA,3000,NA,12,1,80,235,1,75,15,2,2,1,2,2,2,2,2,1,1,1,50,6,3,12,6,1,600,150,500,20,2,1,1,995,8,12,4253,1110,21
28,12667647,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,210000,2,1,NA,2500,NA,12,1,60,140,1,100,100,1,2,1,2,2,1,2,2,2,NA,1,NA,2,NA,8,4,1,100,30,20,5,1,1,1,50,2,6,4103,1541,60.3
28,2220167,503.86330813,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,16000,1,NA,NA,225,NA,10,2,60,9,2,100,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,36,0,0,0,2,1,1,NA,NA,NA,4162,749,138.8
28,3824738,484.85166373,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,67000,1,NA,NA,600,NA,10,1,60,45,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,NA,NA,80,2,4,0,1,1,1,12,NA,2,4216,1745,57.1
28,4132089,356.19828827,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,73000,2,1,NA,700,NA,12,2,40,50,1,90,75,2,2,1,2,1,1,2,2,2,NA,2,NA,1,NA,NA,1,NA,50,35,15,5,1,1,1,4,NA,3,3859,1509,56.6
28,13203072,160.42583102,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,142000,2,1,NA,800,NA,12,1,60,125,1,95,30,1,2,1,2,2,1,2,2,2,NA,1,8,2,NA,NA,2,NA,220,60,12,0,1,1,1,50,2,NA,6045,534,93
29,2505811,239.38538189,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,79000,2,1,NA,600,NA,12,2,40,50,1,100,100,1,2,2,2,1,2,2,2,2,NA,2,10,NA,NA,10,8,1,167,20,10,27,1,1,1,24,1,1,5152,865,31.7
29,10918589,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,260000,3,1,NA,1000,NA,10,2,50,100,1,100,80,1,2,1,2,2,2,2,1,1,1,1,NA,2,NA,6,4,1,500,1420,50,10,1,1,1,50,3,10,6409,961,42
28,5397908,503.86330813,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,42500,1,NA,NA,450,NA,10,2,72,44,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,75,30,75,2,1,2,2,NA,NA,2,858,3344,127
28,4256136,171.86695171,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,116000,2,1,NA,1250,NA,11,2,50,85,1,100,100,2,2,1,2,2,2,2,2,2,NA,1,20,2,NA,NA,NA,1,290,7,14,3,2,1,1,68,1,3,365,3383,36.7
28,2877474,624.95414063,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,37500,2,1,NA,600,NA,12,2,50,20,2,90,95,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,80,3,3,1,2,1,1,15,NA,2,1123,4892,76.7
29,13616622,90.622000825,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,335000,2,NA,NA,2500,NA,12,1,80,300,1,85,85,2,2,1,1,2,2,2,2,2,NA,2,NA,2,NA,NA,NA,NA,420,58,30,9,2,1,1,NA,2,8,296,3581,40.6
28,5614179,271.01509096,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,136000,2,1,NA,1000,NA,12,2,40,83,1,100,90,2,2,1,1,2,1,2,2,2,NA,1,NA,2,4,5,8,3,550,100,75,0,2,2,1,50,4,7,4366,1211,41.3
28,60444,1849.1849629,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3100,1,NA,NA,45,NA,10,2,35,3,2,90,90,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,0,2,1,1,NA,NA,NA,2367,1051,19.5
28,13172594,366.15594072,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,136000,1,NA,NA,1500,NA,10,1,45,124,1,100,100,2,2,1,2,2,1,2,2,2,NA,1,4,1,2,2,2,1,174,100,57,1,1,1,1,100,2,7,3944,1524,96.9
28,1059851,316.26326145,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,22000,1,NA,NA,350,NA,12,2,50,20,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,70,14,2,0,2,2,1,14,NA,2,1370,1366,48.2
28,6318824,362.06989684,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,172000,2,1,NA,1250,NA,9,1,70,60,1,100,100,1,2,1,1,2,1,2,2,2,NA,1,NA,1,3,NA,NA,1,400,60,15,1,2,1,1,NA,3,6,2049,2409,36.7
