EUI,NWKER_SQFT,HDD_HEATP,CDD_COOLP,COOK,OPNWE,ISHC,FINALWT
52.9,0.61,5466,241,1,0,0,239.38538189
69.8,0.65,2301,2639,1,0,1,138.56608864
27,0.4,2369,1697,1,0,0,20.205734119
60.4,0.73,3496,1184.05,1,0,1,15.945623796
55.3,0.55,6469,693,1,0,0,84.055763395
67.1,1.09,3789,1620,1,1,0,143.94634909
37.6,1.04,2457,1722,1,0,0,366.15594072
35.3,0.33,803,3676,1,0,0,209.09996186
41.6,0.43,712,3700,1,1,1,171.86695171
64.6,1.53,2478,2568,1,0,0,503.86330813
30.2,0.77,1959,2028.6,1,0,0,160.42583102
36,1.37,540,682.5,1,0,0,751.72654486
76.6,1.67,575.25,2880,0,1,0,385.90781293
48.9,0.92,4421,1189.4,1,0,0,360.21806967
74.1,1.22,4584.8,420.6,1,0,0,499.1203535
61.7,0.54,4268,1234.8,1,0,0,139.16995492
63,0.93,1144,2932,1,0,0,1849.1849629
53.5,0.8,2704,1898,0,0,0,583.35116997
19.5,0.61,6253,164.35,1,0,0,311.1344891
94.2,0.57,5057,1216,1,0,1,84.055763395
72.1,0.36,2265,1830,1,1,0,139.16995492
87.4,1.02,5669,404.5,1,1,1,139.16995492
106.5,0.51,5643,1144,1,1,1,125.65044
88.2,0.35,6894,748,1,0,1,125.65044
117.7,0.45,5085,451.6,1,1,1,84.055763395
69.6,0.57,3210,1091.55,1,0,0,356.19828827
47,0.46,3257,1796.85,1,1,0,84.055763395
147.4,0.56,5812,552,1,1,1,158.29956057
45.6,0.62,5745,109.35,1,0,0,177.34464265
30.8,0.38,4622,1499.1,1,1,0,120.94951517
44.1,0.65,5043,1013,1,1,0,52.146233763
