"NWKER_SQFT","HDD65_HEATP","CDD65_COOLP","IsCooking","IsOpenWeekends","IsHighSchool","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
0.857,6107,971,"Yes","No","Yes",74.59,522118.1,1559.829
0.326,4641,1053.55,"Yes","Yes","No",111.53,25651675.41,84.056
0.587,6434,114.75,"Yes","Yes","No",95.02,3563256.9,271.015
0.48,779,3873,"Yes","No","No",148.59,29122697.1,138.566
0.324,6409,652,"No","Yes","Yes",84.88,3140647.3,356.198
1.111,5554,420,"Yes","No","No",71.13,3841262.02,583.351
0.511,833,3525,"No","Yes","Yes",218.24,5128713.1,1134.75
0.984,1316,3314,"Yes","No","No",66.41,4183530.75,209.1
0.424,5891,793.5,"Yes","Yes","No",123.87,7308592.9,362.07
1.7,1076,3382,"Yes","No","Yes",138.52,69258519.05,90.622
0.702,4015,1489,"Yes","No","No",105.63,6020924.35,179.596
0.321,2722,2065,"No","No","No",75.22,4212596.15,201.21
0.47,5906,669.6,"Yes","Yes","Yes",105.5,37453382.05,84.056
1.017,6625,37.5,"Yes","No","No",151.08,17827069.97,84.056
0.543,4183,1224,"Yes","Yes","No",96.57,17769175.48,84.056
0.62,6699,137.7,"Yes","No","No",62.94,2234364.06,308.206
0.85,2269,1265,"No","No","No",120.51,2410121.35,503.863
0.663,5585,999.6,"Yes","No","No",221.49,18383361.15,139.17
0.909,3183,1597,"No","No","Yes",55.8,6138209.7,138.566
0.469,308.5,3586,"Yes","Yes","No",136.14,13069279.3,171.867
0.404,6158,1031,"Yes","No","Yes",124.43,12940768.78,139.17
1.167,3001,1709,"Yes","No","No",105.61,6336356.25,360.218
1.667,4676,1098,"Yes","No","No",76.22,2286530.4,139.17
0.444,2533,1586,"Yes","No","No",118.84,10695681.15,366.156
0.439,6665,680.4,"Yes","Yes","No",71.88,16531575.12,21.56
1.077,4978,173.75,"Yes","No","No",77.24,6024705.92,84.589
0.915,5427,843.2,"Yes","Yes","No",127.4,18091459.15,141.926
0.58,5646.8,83.28,"Yes","No","No",56.61,6339862.2,239.385
0.877,3943,16.69,"No","No","No",112.39,3203046,139.17
0.702,4358,266,"Yes","No","No",73.6,8390539.85,139.17
0.965,1918,2694,"Yes","No","No",91.1,7834365.35,209.1
0.833,675,3886,"No","Yes","Yes",88.7,7451119.2,259.352
1.431,4055,524,"Yes","No","Yes",112.13,19511382.56,84.056
