"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
60000,40,1.333,1.6,8.417,"No",271.99,16319277.93,19.69
4100,40,1.22,1.707,7.805,"No",66.35,272048,1484.515
2e+05,40,0.19,0.23,5.777,"No",249.79,49958723.24,64.601
4e+05,50,0.875,1.412,6.675,"No",103.9,41560807.46,9.093
210000,60,1.429,2.857,7.128,"No",243.74,51185475.05,48.841
5000,40,0.4,0.8,8.124,"No",291.94,1459676.4,23.718
1e+06,70,3.75,5.087,5.359,"No",156.77,156771966.14,23.718
1800,45,6.667,12.222,6.425,"No",290.95,523717.6,1828.052
2400,45,3.333,4.583,7.556,"Yes",357.32,857577,1522.982
210000,50,2.857,10.714,6.86,"No",184.6,38766709.62,3.31
2350,100,2.128,5.106,7.745,"No",138.17,324688.7,3782.18
4000,47,1.5,2.25,7.318,"No",75.33,301301,1807.463
5200,40,3.077,3.077,3.81,"No",73.79,383712,1828.052
60000,168,2.5,9.25,7.153,"No",426.05,25562987.1,249.445
14500,168,2.759,2.414,6.833,"No",122.73,1779558.55,1031.346
2500,48,1.2,1.6,8.005,"No",405.05,1012625.6,48.841
2400,56,1.667,5.833,7.565,"No",128.26,307826.4,2140.906
9900,50,1.212,1.414,4.655,"No",128.68,1273896.4,1451.617
4500,53,1.333,1.111,8.077,"No",279.73,1258806.5,48.841
45000,55,1.667,9.044,7.548,"No",247.43,11134376.4,279.456
5200,45,3.077,3.846,8.342,"No",144.65,752155.6,1007.009
285000,40,2.119,9.698,7.894,"No",211.29,60217739.33,48.841
5600,40,0.357,0.536,7.581,"No",105.53,590976.4,48.841
26000,40,0.962,1.385,5.259,"No",98.49,2560756.8,308.206
91000,65,1.923,7.78,7.017,"No",238.98,21747284.63,157.112
100001,100,0.75,0.72,7.369,"No",187.13,18713086,1868.772
74000,40,1.622,1.703,4.875,"No",190.37,14087343.77,249.445
40000,50,1.625,2.75,7.261,"No",206.56,8262422,226.828
104000,60,5.173,5.529,6.482,"No",327.99,34110786.15,53.724
7000,50,1.714,2.714,4.954,"No",68.58,480043.55,499.12
1200,40,0.833,5,7.891,"No",57.2,68642,1667.755
