"Unit.Density","Bedrooms.Unit","CDD","HDD","IsLowRise","SOURCE_ENERGY","SOURCE_EUI","FINALWT"
1.04,1,713,5856,"No",10717434,104.2,79.26
1.26,1,585,6702,"No",14491603,168.6,79.26
0.39,1,1272,4423,"No",41030645,146.8,79.26
1.65,1.1,1283,5385,"No",9960291,150.4,469.3
1.2,1,4125,429,"No",11641677,127.2,469.3
1.47,1,1903,4767,"No",9269309,123,469.3
1.39,1,1724,5121,"No",11602088,145,469.3
1.02,1,3222,1001,"No",16500685,149.9,469.3
1.55,1,3209,2241,"No",13906802,186.9,469.3
2,1.1,1272,4423,"No",6035295,104.8,79.26
1.22,1,4586,999,"No",11241650,117.9,469.3
1.39,1.1,1503,3438,"Yes",9710143,113.6,469.3
0.63,2.1,1272,4423,"No",36692127,194.6,79.26
1.42,1,4602,1061,"Yes",15745469,185.9,469.3
0.89,1,1535,4200,"Yes",10533823,78.2,469.3
1.33,1.2,1034,6165,"No",22640031,251.6,469.3
1.05,1.525,1272,4423,"No",13244569,114.3,79.26
0.84,1.8,1272,4423,"No",12512380,85.3,79.26
0.85,1.5,1272,4423,"No",15874278,109.2,79.26
0.88,1.9,1272,4423,"No",16956615,120,79.26
0.73,1,1535,4200,"No",10929225,63.3,79.26
1.13,1.5,1272,4423,"No",17368173,156.1,79.26
0.95,1.5,1272,4423,"No",17822391,134.8,79.26
0.82,1.3,1272,4423,"No",9643392,62,79.26
1.01,1.3,1272,4423,"No",15819595,118.3,79.26
0.87,1.2,1272,4423,"No",21857188,141.5,79.26
0.48,1.9,1272,4423,"No",34981016,123.5,79.26
1.54,1.1,1272,4423,"No",11752350,133.2,79.26
0.96,1.6,1536,4312,"No",13528391,93,79.26
0.91,1.1,1272,4423,"No",14261591,91.6,79.26
1.26,1.4,1272,4423,"No",15072408,133.2,79.26
1.5,1,2609,1984,"No",17261505,180.3,469.3
1.09,1,431,3141,"Yes",12958732,97.4,469.3
1.13,1.2,1536,4312,"No",25115283,196.5,79.26
1.31,1,529,5741,"No",16922258,153.1,79.26
1,1.2,1272,4423,"No",13874253,94.6,79.26
0.87,1.1,847,4954,"No",16848433,100.4,79.26
1.61,1,1027,5765,"Yes",15093863,163.5,469.3
1.02,1.9,2979,1650,"Yes",20763476,141.5,469.3
1.29,1,1061,5751,"No",14048298,120.7,469.3
1.31,1,796,5332,"No",14901495,129.3,469.3
1.58,1,100,5094,"No",9593020,99.4,469.3
1.16,1.1,822,5437,"No",20360661,154.9,469.3
0.82,1.4,1165,4570,"No",16246812,85.4,79.26
1.2,1.8,1536,4312,"Yes",16668588,123.8,79.26
1.08,1.2,100,5094,"No",15529183,103.7,469.3
0.7,1,690,6350,"No",11723873,50.4,79.26
1.19,1.1,1272,4423,"No",19367874,141.4,79.26
0.62,1.9,1535,4200,"Yes",8462247,31.6,469.3
1.29,1.1,1536,4312,"No",22428605,175.5,79.26
1.32,1.4,3036,1849,"Yes",20345859,159.6,469.3
0.8,1.7,737,6292,"No",27904366,132.8,79.26
1.13,1,1061,5751,"No",25229044,168.2,469.3
0.73,1,1633,5085,"Yes",36191623,154.1,469.3
1.09,1.2,100,5094,"No",18411013,116.7,469.3
1.02,1,1272,4423,"No",14424449,84.9,79.26
0.56,1.8,1272,4423,"No",30144870,95.7,79.26
0.87,1.4,1272,4423,"No",27474207,136.9,79.26
0.52,1.9,1272,4423,"No",78745906,226.1,79.26
0.51,1,877,5237,"Yes",12729187,35.7,79.26
1.03,1.3,1322,3950,"No",27145030,151.3,469.3
1.15,1,100,3289,"No",16269471,96.2,469.3
0.9,1.5,737,6292,"No",25276996,116.9,79.26
1.27,1.9,930,4646,"No",30831522,197.1,79.26
1.33,1.7,2957,1879,"Yes",24046953,160.1,469.3
1.18,1,511,5299,"No",24777837,145.6,79.26
0.97,1.2,136,3150,"Yes",13956840,67.3,469.3
1.15,1,1961,4225,"Yes",24418667,138.7,469.3
1.02,1.5,851,5371,"Yes",18589519,93,79.26
1.44,1,1621,4334,"No",22963909,159.5,469.3
0.7,1.3,100,5094,"No",28352845,94.8,469.3
1.02,1.2,1272,4423,"No",32412021,154.6,79.26
1.29,1.1,1272,4423,"No",19605326,118.5,79.26
1.68,1,2138,2821,"No",29880004,234.1,469.3
0.78,1.5,1272,4423,"No",32901900,118.7,79.26
0.98,1.7,1642,3932,"No",32706412,148.4,469.3
0.73,1,1535,4200,"No",22349516,73.3,469.3
1.93,1.7,1165,4570,"No",18793082,159.4,79.26
1.63,1,1338,4697,"No",25932412,185.2,79.26
0.72,1.4,3548,2226,"No",56269132,177.6,469.3
1.02,1.4,1535,4200,"Yes",29821044,132.3,79.26
0.9,1.3,1272,4423,"No",34003945,132.3,79.26
0.73,2.3,1467,4329,"No",46120436,142.9,79.26
1.02,1.1,1272,4423,"No",22145382,93.7,79.26
1.05,1.6,1536,4312,"No",6633211,28.8,79.26
0.83,1.302,1272,4423,"No",32222959,110.7,79.26
0.5,1.9,1272,4423,"No",60762393,122.6,79.26
0.7,1.1,1272,4423,"No",43562655,120.4,79.26
1.8,1.1,2769,2022,"Yes",24683111,173.2,469.3
0.91,1.7,1447,4331,"Yes",28539982,99.3,469.3
1.02,1.1,511,5299,"No",30096370,115.9,79.26
0.82,1.6,1272,4423,"No",59173515,177.4,79.26
0.95,1.2,1272,4423,"No",29299741,96.4,79.26
0.75,1.3,3548,2226,"No",48798988,125.1,469.3
1.61,1.1,993,6186,"No",31047667,168.5,469.3
1.05,1.6,924,5221,"No",16229907,55.5,43.24
1.28,1.1,1272,4423,"No",43677626,180.1,43.24
0.91,1.2,1272,4423,"No",50134877,145.3,43.24
0.93,1.7,1971,2838,"Yes",40517469,115,512.18
0.94,1.7,1940,2826,"Yes",25901173,73,512.18
1.17,1.7,1272,4423,"No",59119355,204.7,43.24
0.97,1.7,1272,4423,"No",46082054,124.7,43.24
0.95,1.2,1272,4423,"No",84175003,216.1,43.24
0.41,1.1,1272,4423,"No",53385578,58.1,43.24
0.95,1.462,1165,4570,"No",54275490,134.3,43.24
0.8,1.2,1805,3789,"No",67173228,135.2,512.18
0.87,1.3,1272,4423,"No",65051008,142.7,43.24
0.87,1.4,1805,3789,"No",64765410,140.4,512.18
1.06,1.2,1272,4423,"No",58883381,150.7,43.24
0.92,1.6,1971,2838,"Yes",48314771,104.6,512.18
0.92,1.4,1805,3789,"No",64396307,139.6,512.18
0.86,1.4,1272,4423,"No",78038000,153.7,43.24
0.88,1.2,1272,4423,"No",72677636,145.5,43.24
0.64,1.6,3596,2279,"Yes",72167110,104.7,512.18
0.82,1.2,1272,4423,"No",40943572,73.2,43.24
1.16,1.3,1272,4423,"No",66561343,161.9,43.24
0.92,1.8,1940,2826,"Yes",50836691,94,512.18
0.92,2.2,989,5006,"No",60223451,111.3,43.24
0.92,1.2,1272,4423,"No",68978438,121.4,43.24
1.04,1.3,1535,4200,"No",112271967,222.1,43.24
1.14,1.6,1165,4570,"No",93286013,177,43.24
0.81,1.1,1805,3789,"No",107384737,139.6,512.18
0.93,1.3,1165,4570,"No",80810850,117.3,43.24
0.95,1.2,1272,4423,"No",92503412,107.9,43.24
0.72,1.5,1805,3789,"No",146685816,116.5,512.18
