"SOURCE_EUI","SOURCE_ENERGY","FINALWT","SQFT","NFLOOR","WKHRS","NWKER","COOLP","CDD65","HEATP","HDD65","IsCooking","IsOpenWeekends","IsHighSchool"
110.43,14797325.55,90.622,134000,1,45,80,100,3223,100,1634,"Yes","No","No"
72.58,4427338.3,583.351,61000,1,40,40,100,1731,100,2321,"Yes","No","No"
74.59,522118.1,1559.829,7000,2,60,6,100,971,100,6107,"Yes","No","Yes"
111.53,25651675.41,84.056,230000,2,50,75,95,1109,100,4641,"Yes","Yes","No"
95.02,3563256.9,271.015,37500,2,70,22,15,765,100,6434,"Yes","Yes","No"
148.59,29122697.1,138.566,196000,2,40,94,100,3873,100,779,"Yes","No","No"
84.88,3140647.3,356.198,37000,3,72,12,100,652,100,6409,"No","Yes","Yes"
71.13,3841262.02,583.351,54000,2,45,60,70,600,100,5554,"Yes","No","No"
218.24,5128713.1,1134.75,23500,1,60,12,100,3525,100,833,"No","Yes","Yes"
66.41,4183530.75,209.1,63000,1,40,62,100,3314,100,1316,"Yes","No","No"
123.87,7308592.9,362.07,59000,2,35,25,75,1058,100,5891,"Yes","Yes","No"
138.52,69258519.05,90.622,500001,2,50,850,100,3382,100,1076,"Yes","No","Yes"
105.63,6020924.35,179.596,57000,1,60,40,100,1489,100,4015,"Yes","No","No"
75.22,4212596.15,201.21,56000,1,40,18,100,2065,100,2722,"No","No","No"
105.5,37453382.05,84.056,355000,2,110,167,90,744,100,5906,"Yes","Yes","Yes"
151.08,17827069.97,84.056,118000,3,42,120,10,375,100,6625,"Yes","No","No"
96.57,17769175.48,84.056,184000,3,68,100,90,1360,100,4183,"Yes","Yes","No"
62.94,2234364.06,308.206,35500,2,40,22,30,459,100,6699,"Yes","No","No"
120.51,2410121.35,503.863,20000,1,45,17,100,1265,100,2269,"No","No","No"
221.49,18383361.15,139.17,83000,2,50,55,98,1020,100,5585,"Yes","No","No"
55.8,6138209.7,138.566,110000,1,40,100,100,1597,100,3183,"No","No","Yes"
136.14,13069279.3,171.867,96000,3,50,45,100,3586,50,617,"Yes","Yes","No"
124.43,12940768.78,139.17,104000,1,40,42,100,1031,100,6158,"Yes","No","Yes"
105.61,6336356.25,360.218,60000,1,42,70,100,1709,100,3001,"Yes","No","No"
76.22,2286530.4,139.17,30000,3,50,50,100,1098,100,4676,"Yes","No","No"
118.84,10695681.15,366.156,90000,1,45,40,100,1586,100,2533,"Yes","No","No"
71.88,16531575.12,21.56,230000,1,70,101,60,1134,100,6665,"Yes","Yes","No"
145.73,16613025.45,84.056,114000,2,60,97,85,1204,100,4720,"Yes","Yes","Yes"
77.24,6024705.92,84.589,78000,1,50,84,25,695,100,4978,"Yes","No","No"
127.4,18091459.15,141.926,142000,1,80,130,80,1054,100,5427,"Yes","Yes","No"
