"SQFT","WKHRS","NWKER","PCTERMN_TOT","IsBank","COOLP","CDD65","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
5900,50,7,15,"No",100,1191,238.51,1407208.6,281.109
188000,168,650,740,"No",100,1271,231.1,43446399.6,53.724
160000,45,175,286,"No",85,532,96.35,15416195.9,125.65
22000,60,66,80,"No",100,377,119.45,2628010,751.727
320000,55,750,852,"No",100,1337,180.48,57755012.14,23.718
17000,65,40,61,"No",100,1599,173.11,2942902.9,657.711
7000,40,7,1,"No",40,3510,92.77,649376,1162.263
9000,40,14,19,"No",52,371,69.82,628348.88,1461.857
80000,168,95,100,"No",100,1439,177.07,14165546.97,61.086
43000,50,200,207,"No",50,1090,254.12,10927151.9,281.109
152000,55,441,693,"No",100,3183,105.57,16046364.88,50.319
3600,40,15,19,"No",30,724,79.34,285625.2,1667.755
89000,56,200,182,"No",100,1320,205.38,18278897.7,48.841
108000,56,400,351,"No",100,1316,200.4,21642744.9,181.075
17000,50,8,10,"No",50,1362,38.73,658447.65,1807.463
6000,40,19,19,"No",95,665,106.03,636177.15,1868.403
1800,45,3,5,"No",75,990,140.62,253119.3,1484.515
1850,40,1,1,"No",100,1442,91.62,169489.6,1667.755
1550,50,6,7,"No",100,1490,244.92,379622.95,941.818
260000,40,320,474,"No",66,921,192.79,50125504.1,52.146
104000,50,225,290,"No",95,2800,181.98,18926187.97,50.319
12000,40,19,13,"No",66,899,63.5,761974.15,1130.475
20000,40,22,98,"No",100,4283,124.05,2480954,657.711
10000,40,5,22,"No",50,2927,268.89,2688885.85,281.109
1600,45,3,1,"No",66,987,105.21,168328.65,1879.456
2800,40,12,4,"No",100,807,110.04,308115.5,1851.67
420000,54,900,1020,"No",100,1643,195.27,82012432.22,23.718
6000,45,8,12,"No",50,1606,135.01,810042.8,1130.475
1e+05,50,350,375,"No",100,4550,191.16,19116381.2,48.841
61000,65,200,300,"No",90,3753,182.37,11124736,281.109
43000,55,148,157,"No",45,61,132.24,5686425.15,249.445
34000,72,100,21,"No",100,878,339.22,11533589.9,52.146
10750,90,50,73,"No",100,1945,321.04,3451182,1130.475
1400,50,3,4,"Yes",100,1331,209.91,293878.9,1791.31
1100,76,3,6,"No",100,2813,282.58,310836.4,1791.31
32500,40,53,58,"No",100,605,119.43,3881468.15,499.12
1200,45,5,4,"No",100,1422,177.94,213522.4,1390.874
73000,70,85,125,"No",100,1060,147.07,10736345.2,276.953
48000,50,155,203,"No",100,1764,115.17,5528280.8,632.517
11250,40,50,73,"No",100,2981,192.9,2170177.8,904.018
1100,40,5,8,"No",100,1780,106.99,117692.4,1807.463
90000,40,175,174,"No",100,1035,243.15,21883391.15,647.987
40000,68,75,108,"No",100,1468,197.08,7883106,579.248
74000,53,220,138,"No",100,623,273.55,20242871.95,55.969
62000,60,250,255,"No",100,896,80.27,4977005.95,158.3
6900,60,20,17,"No",100,1619,201.27,1388780.4,143.946
116000,168,300,515,"No",100,3384,132.23,15339240,17.712
3500,50,8,11,"No",100,2107,158.3,554043,1791.31
70000,45,80,104,"No",80,2233,176.91,12383940.8,653.843
96000,60,200,269,"No",85,945,172.48,16557977.21,276.953
1900,70,7,8,"No",100,4007,564.65,1072827.7,1879.456
305000,60,950,1080,"No",100,1178,307.99,93936302.76,52.146
6900,40,12,24,"No",100,2171,116.42,803313,519.502
4250,40,12,12,"No",75,1865,74.98,318670.8,1868.403
2750,60,10,20,"No",100,4295,205.99,566470.8,1162.263
3050,44,9,9,"No",100,1484,126.08,384556.2,336.402
65000,126,12,14,"No",100,887,80.11,5207399.4,73.698
138000,75,600,918,"No",100,141,211.18,29142781.15,163.09
4150,40,8,10,"No",100,1969,75.2,312090.1,751.727
150000,50,900,514,"No",100,656,113.28,16992032.4,53.724
8e+05,55,1574,2045,"No",70,1556,127.52,102018143.15,10.856
2400,40,8,18,"No",100,1705,50.02,120050,1807.463
7e+05,75,2100,2423,"No",94,1246,253.21,177247044.38,62.141
2500,48,6,11,"Yes",100,469,273.9,684742.8,1851.67
3200,40,2,2,"No",100,2020,55.97,179102.7,1868.403
40500,60,125,157,"No",100,723,123.28,4992970.5,177.345
2000,50,9,13,"Yes",100,1323,28.15,56308,1655.242
3600,45,4,5,"No",100,1524,47.65,171551.45,1387.077
6e+05,72,2100,2534,"No",100,950,286.76,172055083.43,25.323
3400,60,3,6,"No",100,3787,65.84,223840.4,1834.966
1250,50,5,5,"No",100,2600,137.75,172183.2,1461.857
2200,85,3,3,"No",25,2848,252.73,556010,1807.463
3500,40,5,9,"No",25,839,142.41,498425.2,148.055
5200,70,5,11,"No",100,1623,118.97,618651.6,961.783
2600,40,1,7,"No",100,4554,73.11,190089.2,2140.906
59000,75,150,107,"No",50,1410,94.2,5557515.25,52.146
4250,45,2,6,"No",90,692,39.39,167398,1559.829
50000,50,120,121,"No",90,1879,128.31,6415466.75,48.841
5000,60,11,13,"No",100,1813,153.49,767440.8,1069.328
3950,40,10,8,"No",100,1755,69.42,274218,920.124
3500,50,9,12,"No",100,2918,165.02,577581.2,1451.617
40000,45,200,145,"No",80,1313,232.9,9315819.1,1655.242
415000,50,220,200,"No",100,1208,196.14,81398139.86,25.323
88000,65,150,240,"No",100,2838,207.81,18287168.55,48.841
250000,62,500,738,"No",70,3755,210.89,52721742.56,48.841
445000,66,300,520,"No",60,4336,77.09,34304361.3,48.841
7500,40,19,17,"No",100,3003,153.6,1151984.4,1276.539
5000,40,2,4,"No",33,1488,56.17,280857.5,1807.463
205000,85,425,465,"No",100,706,137.32,28150522.4,52.146
4600,44,10,15,"No",61,735,66.13,304208.45,1851.67
52000,90,100,83,"No",100,1959,393.4,20456995.3,177.345
85000,168,150,375,"No",100,1411,24.9,2116873.85,365.059
25000,50,25,52,"No",60,563,148.43,3710789.25,48.841
500001,60,600,814,"No",90,4623,183.18,91590801.24,55.969
1500,45,4,9,"No",75,230,112.9,169349.95,1667.755
6e+05,168,1500,2180,"Yes",95,1252,400.63,240377126.51,62.141
5400,55,18,26,"Yes",100,1369,236.41,1276591.4,1274.256
16250,60,19,5,"No",100,1415,51.65,839291.6,1828.052
17000,45,70,84,"Yes",100,1218,159.59,2712976.35,918.03
500001,168,300,605,"No",100,1515,128.39,64195808.89,23.718
1500,50,3,6,"No",100,769,99.34,149004.45,1484.515
500001,168,1200,1500,"Yes",90,1157,85.86,42928373.92,25.323
280000,50,520,310,"No",95,1034,358.4,100350756.48,177.345
5800,60,21,25,"No",100,645,153.69,891388.4,1667.755
3500,48,5,8,"Yes",80,1651,122.67,429339.05,918.03
32000,168,50,57,"No",75,764,124.45,3982258.7,308.206
5700,40,10,12,"No",100,701,43.92,250348.35,1484.515
60000,40,80,96,"No",100,4522,271.99,16319277.93,19.69
4100,40,5,7,"No",100,2453,66.35,272048,1484.515
2e+05,40,38,46,"No",90,613,249.79,49958723.24,64.601
4e+05,50,350,565,"No",100,792,103.9,41560807.46,9.093
210000,60,300,600,"No",95,1813,243.74,51185475.05,48.841
5000,40,2,4,"No",100,3376,291.94,1459676.4,23.718
1e+06,70,3750,5087,"No",65,3806,156.77,156771966.14,23.718
1800,45,12,22,"No",100,617,290.95,523717.6,1828.052
2400,45,8,11,"Yes",100,1913,357.32,857577,1522.982
210000,50,600,2250,"No",90,2043,184.6,38766709.62,3.31
2350,100,5,12,"No",100,2311,138.17,324688.7,3782.18
4000,47,6,9,"No",100,1507,75.33,301301,1807.463
5200,40,16,16,"No",50,2040,73.79,383712,1828.052
60000,168,150,555,"No",100,1278,426.05,25562987.1,249.445
14500,168,40,35,"No",100,928,122.73,1779558.55,1031.346
2500,48,3,4,"No",100,2996,405.05,1012625.6,48.841
2400,56,4,14,"No",100,1930,128.26,307826.4,2140.906
9900,50,12,14,"No",75,496,128.68,1273896.4,1451.617
4500,53,6,5,"No",100,3221,279.73,1258806.5,48.841
45000,55,75,407,"No",100,1897,247.43,11134376.4,279.456
5200,45,16,20,"No",100,4196,144.65,752155.6,1007.009
285000,40,604,2764,"No",100,2681,211.29,60217739.33,48.841
5600,40,2,3,"No",100,1961,105.53,590976.4,48.841
