Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2016,156373,225 W. Ohio,225 W. Ohio,60654,NEAR NORTH SIDE,Office,60892,1907,1,92,1852679.2,1274633.3,,,,51.4,117.5,53.7,119.4,409.2,6.7,41.89234316,-87.63534055,"(41.89234316, -87.63534055)"
2016,156414,De Diego Com-CPS,1313 N Claremont Ave,60622,WEST TOWN,K-12 School,238557,1891,1,89,3368185.8,11296367.8,,,,61.5,94.1,68.9,101.9,1220.8,5.1,41.90580095,-87.68552861,"(41.90580095, -87.68552861)"
2016,156500,Flat Iron Building,1565 1581 N Milwaukee Ave,60622,WEST TOWN,Office,70575,1913,1,83,994242.8,5497736,,,,92,126,102.3,136.2,475.3,6.7,41.91026112,-87.67674802,"(41.91026112, -87.67674802)"
2016,156536,228 South Wabash Building,228 South Wabash,60604,LOOP,Office,64630,1930,1,68,3820201.4,,,,,59.1,185.6,59.1,185.6,704.1,10.9,41.8791193,-87.62611087,"(41.8791193, -87.62611087)"
2016,156543,The Mentor Building,39 S State / 6 E Monroe,60602,LOOP,Multifamily Housing,72150,1903,1,11,3271049.3,2408554.1,,,,78.7,177.4,83.2,184.4,730.9,10.1,41.88156186,-87.62774159,"(41.88156186, -87.62774159)"
2016,156549,601 South LaSalle,601 South LaSalle Street,60605,LOOP,Office,80000,1917,1,33,7640802.1,241253.8,,,,98.5,303.1,97.7,299.5,1421.2,17.8,41.87421567,-87.63141904,"(41.87421567, -87.63141904)"
2016,156557,542 S Dearborn,542 S Dearborn,60605,LOOP,Office,85227,1890,1,82,3814827.5,1087200,,,,57.5,153.9,57.5,153.9,763.1,9,41.87476011,-87.62948461,"(41.87476011, -87.62948461)"
2016,156576,Rice Building,815 W Van Buren,60607,NEAR WEST SIDE,Office,71928,1910,1,54,3670315.7,2613472.9,,,,87.4,198.4,88.2,191.5,815.3,11.3,41.87638333,-87.64804242,"(41.87638333, -87.64804242)"
2016,156693,West Side Realty Corporation (1645 W. Jackson Blvd.),1645 W. Jackson Blvd.,60612,NEAR WEST SIDE,Medical Office,127100,1991,1,40,11041371.9,1858393.8,,,,101.5,288.1,101.7,288.4,2133.9,16.8,41.87726933,-87.6684458,"(41.87726933, -87.6684458)"
2016,156696,Film Exchange Lofts Condominium Association,1307 S Wabash,60605,NEAR SOUTH SIDE,Multifamily Housing,125000,1929,1,99,1958184.3,3625063.1,,,,44.7,79.6,46.6,80.8,553.5,4.4,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2016,156711,20 North Michigan Avenue,20 N. Michigan Ave,60602,LOOP,Office,214800,1880,1,83,10290346.3,6386501.5,,,,77.6,181.6,79.8,183.9,2235.9,10.4,41.8826441,-87.62495613,"(41.8826441, -87.62495613)"
2016,156731,Seventy East,70 E. Lake Street,60601,LOOP,Office,146600,1927,1,89,6681521.7,,,,,45.6,143.1,47.8,150.2,1231.5,8.4,41.8857976,-87.62554085,"(41.8857976, -87.62554085)"
2016,156782,Chicago Medical Society,515 N Dearborn,60654,NEAR NORTH SIDE,Office,52284,1925,1,88,1544423,1670016.9,,,,61.5,126.3,65.5,127.5,373.4,7.1,41.89141925,-87.62935946,"(41.89141925, -87.62935946)"
2016,156829,St. Xavier University,3700 W. 103rd St.,60655,MOUNT GREENWOOD,College/University,984365,1955,20,,32962206,78052496.1,,,,112.8,188.4,120.9,195.2,10240.3,10.4,41.70945051,-87.71355541,"(41.70945051, -87.71355541)"
2016,156840,One Superior Place,1 W Superior St.,60654,NEAR NORTH SIDE,Multifamily Housing,657140,1999,1,66,20136948.4,40164685.4,,,,91.8,160.4,100.9,169.9,6736.8,10.3,41.89526506,-87.62898937,"(41.89526506, -87.62898937)"
2016,156845,The Westin Michigan Avenue,909 North Michigan Avenue,60611,NEAR NORTH SIDE,Hotel,546219,1963,1,33,30575187.9,47788545.7,,,,143.5,267.6,147.2,269.3,8173.9,15,41.89949395,-87.6232011,"(41.89949395, -87.6232011)"
2016,156854,(IL272) - Delaware Place Private Res,33 West Delaware Place ,60610,NEAR NORTH SIDE,Multifamily Housing,148938,1985,1,14,9186871.4,3496197.6,,,,85.2,218.3,88.1,225.6,1879,12.6,41.89887705,-87.62936387,"(41.89887705, -87.62936387)"
2016,156856,Presence Stone Professional Office Building,2800-2812 N Sheridan Rd,60657,LAKE VIEW,Medical Office,96180,1991,1,48,4629343.6,5485500.1,,,,105.2,211,111.7,215.5,1144.6,11.9,41.93320344,-87.63984213,"(41.93320344, -87.63984213)"
2016,156868,(IL555) - Hanover Condo,21 W. Goethe St.,60610,NEAR NORTH SIDE,Multifamily Housing,175000,1970,1,61,4143788.7,9867427,,,,80.1,133.6,78.9,129.7,1287.9,7.4,41.90530524,-87.62979327,"(41.90530524, -87.62979327)"
2016,156876,Newberry Library,60 W. Walton,60610,NEAR NORTH SIDE,Library,200000,1897,1,,7375171.1,10179681,,,,87.8,169.2,89.9,171.5,1900.1,9.5,41.90002028,-87.63060779,"(41.90002028, -87.63060779)"
2016,156879,Morningside North Apts,170 W. Oak Street,60610,NEAR NORTH SIDE,Multifamily Housing,201827,1980,1,55,5362521,11126358.4,,,,81.7,141.3,86.9,144.1,1579.4,7.8,41.90093931,-87.63406385,"(41.90093931, -87.63406385)"
2016,156891,Olympia Centre,737 N Michigan,60611,NEAR NORTH SIDE,Mixed Use Property,1060961,1984,1,,73150755.1,,,,,68.9,216.5,71.9,225.9,13483.2,12.7,41.89605284,-87.62356326,"(41.89605284, -87.62356326)"
2016,156900,6160 N Cicero,6160 N Cicero,60646,FOREST GLEN,Office,63000,1968,1,13,7113573,,,,,112.9,354.5,118.7,372.8,1311.2,20.8,41.99305112,-87.74836805,"(41.99305112, -87.74836805)"
2016,156942,Burton-Judson Courts,1005 East 60TH Street,60637,WOODLAWN,Residence Hall/Dormitory,201402,1931,1,73,3800592.7,,10512405.8,,,71.1,122,77.6,130.4,1398.5,6.9,41.78528948,-87.60016256,"(41.78528948, -87.60016256)"
2016,156999,Lenart Regio-CPS,8101 S Lasalle St,60620,CHATHAM,K-12 School,60474,1961,1,84,876376.3,3215621.1,,,,67.7,101.3,75.7,109.8,332.3,5.5,41.74666167,-87.62760345,"(41.74666167, -87.62760345)"
2016,157011,LittleVilMpx-CPS,3120 S Kostner Ave,60623,SOUTH LAWNDALE,K-12 School,290134,2005,1,59,17666141.8,9327798.6,,,,93,225,96,225.1,3751.7,12.9,41.83516722,-87.73556631,"(41.83516722, -87.73556631)"
2016,157100,1601 W Division LLC,1611 W Division St,60622,WEST TOWN,Multifamily Housing,108887,2013,1,92,2163910.5,3240967,,,,49.6,93.7,52.4,96.6,571,5.2,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
2016,157152,Metro Condominium Association (1200 W Monroe St.),1200 W. Monroe St.,60607,NEAR WEST SIDE,Multifamily Housing,281000,2001,1,81,5133377.9,12773904.8,,,,63.7,105.1,68.3,107.4,1624.7,5.8,41.88080894,-87.65745938,"(41.88080894, -87.65745938)"
2016,157159,The Maxwell,1100 S Canal Street,60607,NEAR WEST SIDE,Strip Mall,240159,2014,1,,17016432.2,3895481.7,,,,87.1,239.5,88.5,240.9,3343.4,13.9,41.86969988,-87.6396519,"(41.86969988, -87.6396519)"
2016,157161,909 W. Washington Condominium Association,909 W. Washington St.,60607,NEAR WEST SIDE,Multifamily Housing,214000,2004,1,78,4806747.1,6999987.6,,,,55.2,104.9,57.8,106.1,1257.8,5.9,41.88284087,-87.65031178,"(41.88284087, -87.65031178)"
2016,157165,Las Americas Apartments,1611 S. Racine Ave,60608,LOWER WEST SIDE,Multifamily Housing,123500,1951,1,86,2486764.5,7442349.2,,,,80.4,126.5,79.3,123,853.7,6.9,41.85914429,-87.65602559,"(41.85914429, -87.65602559)"
2016,157208,400 South Jefferson,400 South Jefferson Street,60607,NEAR WEST SIDE,Office,275487,1946,1,98,7565236.5,5594211.5,,,,47.8,107.6,48.7,107,1691.6,6.1,41.87626348,-87.64310358,"(41.87626348, -87.64310358)"
2016,157280,Noble Square Cooperative,1165 N Milwaukee ,60642,WEST TOWN,Multifamily Housing,284850,1969,1,58,5975210.4,20671130.8,,,,93.5,142.1,101.4,149.1,2199.3,7.7,41.91320618,-87.68140368,"(41.91320618, -87.68140368)"
2016,157320,Lux24,24 S Morgan St,60607,NEAR WEST SIDE,Multifamily Housing,76470,2009,1,,3178147.7,3850745.9,,,,91.9,183.4,95.5,184.8,790.3,10.3,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2016,157346,East Park Tower,5242 S Hyde Park,60615,HYDE PARK,Multifamily Housing,137394,1928,1,75,1009392.4,11088899.7,,,,88.1,107.8,96.1,116.4,775,5.6,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2016,157347,Blackhawk and Halstead,1460 N. Halsted,60642,NEAR NORTH SIDE,Mixed Use Property,222851,2008,2,,4934362.7,2909964.6,,,,35.2,83.2,36.5,84.6,1064.1,4.8,41.90814731,-87.64882424,"(41.90814731, -87.64882424)"
2016,157348,Thomas Flannery Apartments,1507-31 N CLYBOURN AVE,60610,NEAR NORTH SIDE,Multifamily Housing,99696,1965,2,49,1816978.7,14463625.8,,,,163.3,209.6,173.6,219.1,1103.1,11.1,41.90965061,-87.64658669,"(41.90965061, -87.64658669)"
2016,157458,Midwest Apartments,6 N Hamlin,60624,WEST GARFIELD PARK,Multifamily Housing,232380,1920,1,71,4923676.4,12319403.5,,,,74.2,122.2,79.2,127.5,1561.9,6.7,41.88113842,-87.7210443,"(41.88113842, -87.7210443)"
2016,157469,1224 W. Van Buren Lofts,1224 W. Van Buren,60607,NEAR WEST SIDE,Multifamily Housing,299177,1920,1,79,6358603.2,13584650.8,,,,66.7,114.4,70.6,117.4,1893.6,6.3,41.87684325,-87.65816993,"(41.87684325, -87.65816993)"
2016,157599,Dearborn Tower Condominium Association,1530 S. State St.,60645,NEAR SOUTH SIDE,Multifamily Housing,737110,2001,1,99,10947538.5,19953817.6,,,,41.9,75.1,44.1,76.5,3077.7,4.2,41.86096129,-87.6280798,"(41.86096129, -87.6280798)"
2016,157602,Prairie House at Central Station,1515 S. Prairie Ave,60605,NEAR SOUTH SIDE,Multifamily Housing,273040,2001,1,32,10593502.5,12856477.6,,,,85.9,171.3,89.2,172.1,2635.5,9.7,41.86170088,-87.6202348,"(41.86170088, -87.6202348)"
2016,157607,Hilliard Homes Limited Partnership (Senior),2111 S Clark,60616,NEAR SOUTH SIDE,Multifamily Housing,250300,1966,2,73,5376401,15177200.1,,,,82.1,131.1,86.5,133.4,1797.1,7.2,41.853983,-87.630083,"(41.853983, -87.630083)"
2016,157614,The Guild Condo,50 East 16th St,60616,NEAR SOUTH SIDE,Multifamily Housing,215531,2008,1,38,7429657.3,9630370.7,,,,79.2,155.2,83,158.4,1881,8.7,41.86023774,-87.62517138,"(41.86023774, -87.62517138)"
2016,157618,Burnham Station Condominium Association,61 W. 15th St.,60605,NEAR SOUTH SIDE,Multifamily Housing,125000,2000,1,46,4310751.5,3930994.8,,,,65.9,141.3,69.4,144.4,1003.4,8,41.86107878,-87.62996839,"(41.86107878, -87.62996839)"
