"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
8200,45,0.976,1.463,8.051,"No",45.93,376602.8,1197.386
58000,45,3.707,3.724,6.452,"No",102.25,5930434.8,126.647
6600,70,6.061,7.121,7.647,"No",607.58,4010047.3,1667.755
98000,75,3.296,4.01,5.713,"No",129.07,12648864.2,55.969
5100,48,0.784,0.98,7.081,"No",63.2,322295.05,1851.67
5000,40,4,2,7.619,"Yes",275.48,1377418,1868.403
10500,168,0.952,2.857,6.174,"No",288.91,3033519.65,484.852
6300,40,0.159,0.476,7.684,"No",77.62,489011.6,48.841
16750,70,4.299,4.179,6.862,"No",132.29,2215846.5,1162.263
2600,40,3.077,7.308,4.698,"No",101.09,262827.22,3231.29
2900,45,0.69,2.069,6.75,"No",58.7,170234.4,1729.173
4050,40,2.716,6.914,6.146,"Yes",236.63,958342,1484.515
4850,60,1.237,1.031,6.856,"Yes",128.73,624363.25,1667.755
53000,60,4.717,5.302,7.162,"No",197.19,10451142.8,158.3
49000,45,1.714,2.02,7.305,"No",248.42,12172361.03,356.198
56000,80,6.25,6.411,4.102,"No",181.28,10151485.05,48.841
75000,45,1.667,2.36,7.375,"No",154.78,11608606.8,44.148
2000,35,0.5,1.5,7.163,"No",4.74,9486.4,1117.742
20750,40,2.265,2.795,6.919,"No",127.91,2654062.95,1155.428
44000,65,3.409,1.318,5.909,"No",141.48,6225079,249.445
5400,40,0.926,1.111,5.939,"No",56.34,304228.05,1879.456
4500,45,1.778,2.889,8.051,"No",362.1,1629462.8,1879.456
3500,63,1.429,1.143,8.323,"No",281.28,984472.65,75.267
1900,56,1.053,2.632,3.165,"No",181.12,344123.92,316.084
2850,40,1.404,3.509,7.712,"Yes",131.16,373818.2,1451.617
52000,60,2,5.423,6.828,"No",174.19,9057899.9,315.52
32500,72,3.077,2.092,3.428,"No",155.91,5066968.2,55.969
65000,40,3.846,5.446,7.284,"No",178.23,11585219.32,212.426
2600,35,1.154,1.923,8.24,"No",171.48,445846.8,1879.456
3000,40,3.333,3,5.062,"No",108.36,325071.6,583.351
11000,60,2,2.909,7.32,"No",154.21,1696318.4,1023.608
2200,40,2.273,2.727,7.342,"No",134.9,296783.2,1807.463
20000,60,2.5,3.65,7.843,"No",261.58,5231629.2,1162.263
29000,37,1.241,4.517,7.277,"No",177.4,5144471.85,632.517
16000,45,3.438,5.312,6.271,"No",349.24,5587831.9,356.198
28000,48,7.143,6.143,7.485,"No",177.49,4969799.63,19.69
4700,57,1.915,2.34,8.151,"No",299.15,1406022.8,23.718
60000,40,4.1,6.5,6.858,"No",366,21960173.2,48.841
30000,60,2,2.633,6.292,"No",237.26,7117832.05,647.987
66000,168,6.485,5.758,5.106,"No",266.25,17572462.6,249.445
2500,55,1.2,0.8,7.628,"No",104.2,260498,23.718
30000,168,3.333,4,8.077,"No",84.08,2522265.2,281.109
5000,40,0.6,0.6,4.925,"No",39.04,195210.05,1807.463
