"btype","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"k12school","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",333,0,0,0,0.003,1874.773,43.299,33.124,0.322,0,0,0
"k12school","E3a","SOURCE_ENERGY","rpart",1,"meanCent",333,10,10,0.839,0.834,33599828494890.9,5796535.905,3600006.153,0.462,48.75,6.076,44.589
"k12school","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",333,10,10,0.879,0.876,27577008410230.5,5251381.572,3025893.764,0.258,0,0,0
"k12school","E3b","SOURCE_EUI","xgboost",1,"meanCent",333,7,7,0.238,0.224,1439.718,37.944,30.044,0.314,68.851,17.555,33.11
"k12school","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",333,7,7,0,-0.018,13939.223,118.064,110.187,0.953,0,0,0
"k12school","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",333,7,7,0.859,0.857,26681313613082.6,5165395.785,3241803.124,0.423,43.442,5.415,39.734
"k12school","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",333,7,7,0,-0.018,358083707394177,18923099.836,13385567.452,1,0,0,0
"warehouse","E1","SOURCE_EUI","Reg",1,"meanCent",420,7,7,0.354,0.345,3235.39,56.88,37.001,1.026,92.835,12.125,76.12
"warehouse","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",420,7,7,0.321,0.311,3715.921,60.958,36.265,0.786,0,0,0
"warehouse","E1","SOURCE_ENERGY","Reg",1,"meanCent",420,7,7,0.515,0.508,144029282608859,12001220.047,5802406.758,2.031,134.828,8.403,137.286
"warehouse","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",420,7,7,0.444,0.436,14708423853734647808,3835156301.083,416169057.302,10.119,0,0,0
"warehouse","E2","SOURCE_EUI","RegInt",2,"meanCent",420,22,22,0.43,0.4,2926.718,54.099,35.517,0.927,88.296,11.532,72.398
"warehouse","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",420,22,22,0.385,0.352,5416,73.593,38.6,0.75,0,0,0
"warehouse","E2","SOURCE_ENERGY","RegInt",2,"meanCent",420,22,22,0.716,0.702,98988591279446.7,9949301.045,4465793.387,1.396,111.776,6.966,113.814
"warehouse","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",420,22,22,0.546,0.522,1.26335055694282e+20,11239886818.571,932707071.993,38.325,0,0,0
"warehouse","E2","SOURCE_EUI","RegInt",3,"meanCent",420,42,42,0.477,0.42,2940.348,54.225,35.767,0.902,88.502,11.559,72.567
"warehouse","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",420,42,42,0.428,0.366,3140.45,56.04,35.392,0.724,0,0,0
"warehouse","E2","SOURCE_ENERGY","RegInt",3,"meanCent",420,42,42,0.812,0.791,77038870382118.6,8777178.954,4016845.488,1.02,98.607,6.146,100.405
"warehouse","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",420,42,42,0.587,0.542,1.28171034769747e+20,11321264716,624208997.596,13.801,0,0,0
"warehouse","E2","SOURCE_EUI","RegInt",4,"meanCent",420,57,57,0.494,0.416,2740.884,52.353,34.85,0.868,85.446,11.16,70.062
"warehouse","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",420,57,57,0.447,0.361,3159.764,56.212,34.121,0.678,0,0,0
