"","btype","exp","dependent","model","interaction","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","data"
"82","K-12school","C2","SourceEnergy","MLRi4",4,118,96,4377,0.992,0.96,250585863376.626,500585.521,193868.891,0.042,"Seattle"
"83","K-12school","C3a","SourceEnergy","DT",1,118,7,7,0.908,0.903,3063115925631.57,1750175.97,984642.729,0.152,"Seattle"
"84","K-12school","E3b","SourceEnergy","GBTi2",1,118,19,19,0.997,0.996,108854575925.568,329931.168,259692.612,0.061,"Seattle"
"85","Multifamily","C1","SourceEnergy","MLR",1,1252,33,33,0.906,0.904,7776892440079.03,2788708.023,1458026.108,0.236,"Seattle"
"86","Multifamily","C2","SourceEnergy","MLRi2",2,1252,242,400,0.958,0.948,3446674557222.27,1856522.167,1127864.109,0.216,"Seattle"
"87","Multifamily","C2","SourceEnergy","MLRi3",3,1252,527,2450,0.982,0.97,1453462869864.83,1205596.479,665312.418,0.149,"Seattle"
"88","Multifamily","C2","SourceEnergy","MLRi4",4,1252,666,8665,0.99,0.979,830461124655.648,911296.398,451189.171,0.11,"Seattle"
"89","Multifamily","C3a","SourceEnergy","DT",1,1252,8,8,0.847,0.846,12677472046832.1,3560543.785,1274172.098,0.173,"Seattle"
"90","Multifamily","E3b","SourceEnergy","GBTi2",1,1252,35,35,0.972,0.971,2266315309308.27,1505428.613,987326.39,0.191,"Seattle"
"91","Hotel","C1","SourceEnergy","MLR",1,68,28,28,0.976,0.961,30987981374916.3,5566684.954,4110997.125,0.3,"Seattle"
"92","Hotel","C3a","SourceEnergy","DT",1,68,7,7,0.649,0.614,462123309324670,21497053.503,8747051.133,0.347,"Seattle"
"93","Hotel","E3b","SourceEnergy","GBTi2",1,68,19,19,0.932,0.907,82406800791726.5,9077819.165,5619953.618,0.434,"Seattle"
"94","Worship","C1","SourceEnergy","MLR",1,67,22,23,0.854,0.785,376401789256.513,613515.924,429934.962,0.291,"Seattle"
"95","Worship","C2","SourceEnergy","MLRi2",2,67,58,205,0.963,0.726,96213921569.678,310183.69,182085.436,0.138,"Seattle"
"96","Worship","C3a","SourceEnergy","DT",1,67,5,5,0.595,0.569,1043049232187.81,1021297.818,619045.547,0.365,"Seattle"
"97","Worship","E3b","SourceEnergy","GBTi2",1,67,12,12,0.385,0.262,1092019157878.17,1044997.205,572873.921,0.326,"Seattle"
