"","btype","X","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"65","worship","R22","C2",3,"RegInt","SourceEUI",63,63,955,1,NA,0,0,0,0
"66","worship","R211","C2",3,"RegInt","SiteEnergyUse",63,63,955,1,NA,0,0,0,0
"67","worship","R23","C2",4,"RegInt","SourceEUI",63,63,2675,1,NA,0,0,0,0
"68","worship","R212","C2",4,"RegInt","SiteEnergyUse",63,63,2675,1,NA,0,0,0,0
"69","worship","R24","C2",5,"RegInt","SourceEUI",63,63,4981,1,NA,0,0,0,0
"70","worship","R213","C2",5,"RegInt","SiteEnergyUse",63,63,4981,1,NA,0,0,0,0
"71","worship","R25","C2",6,"RegInt","SourceEUI",63,63,6783,1,NA,0,0,0,0
"72","worship","R214","C2",6,"RegInt","SiteEnergyUse",63,63,6783,1,NA,0,0,0,0
"73","worship","R26","C2",7,"RegInt","SourceEUI",63,63,7545,1,NA,0,0,0,0
"74","worship","R215","C2",7,"RegInt","SiteEnergyUse",63,63,7545,1,NA,0,0,0,0
"75","worship","R27","C2",8,"RegInt","SourceEUI",63,63,7680,1,NA,0,0,0,0
"76","worship","R216","C2",8,"RegInt","SiteEnergyUse",63,63,7680,1,NA,0,0,0,0
"77","worship","R29","C3a",1,"rpart","SourceEUI",63,6,6,0.397,0.344,440.83,20.996,15.735,0.347
"78","worship","R218","C3a",1,"rpart","SiteEnergyUse",63,6,6,0.525,0.483,472917589785.971,687690.039,441355.83,0.596
"79","worship","R210","C3b",1,"xgboost","SourceEUI",63,18,18,0.711,0.602,126.532,11.249,7.491,0.151
"80","worship","R219","E3b",1,"xgboost","SiteEnergyUse",63,17,17,0.91,0.879,64281848165.476,253538.652,165023.032,0.283
"81","retail","R2","C1",1,"Reg","SourceEUI",105,25,26,0.376,0.189,34950.623,186.951,140.235,1.183
"82","retail","R21","C1",1,"Reg","SiteEnergyUse",105,25,26,0.702,0.613,12097484786399.9,3478143.871,2788680.319,1.271
"83","retail","R28","C2",2,"RegInt","SourceEUI",105,81,259,0.764,-0.022,13201.611,114.898,56.769,0.69
"84","retail","R217","C2",2,"RegInt","SiteEnergyUse",105,81,259,0.926,0.678,3013645020708.8,1735985.317,876223.976,0.689
"85","retail","R22","C2",3,"RegInt","SourceEUI",105,88,1360,0.796,-0.248,11420.742,106.868,50.34,0.527
"86","retail","R211","C2",3,"RegInt","SiteEnergyUse",105,88,1360,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"87","retail","R23","C2",4,"RegInt","SourceEUI",105,88,4295,0.796,-0.248,11420.742,106.868,50.34,0.527
"88","retail","R212","C2",4,"RegInt","SiteEnergyUse",105,88,4295,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"89","retail","R24","C2",5,"RegInt","SourceEUI",105,88,8866,0.796,-0.248,11420.742,106.868,50.34,0.527
"90","retail","R213","C2",5,"RegInt","SiteEnergyUse",105,88,8866,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"91","retail","R25","C2",6,"RegInt","SourceEUI",105,88,12981,0.796,-0.248,11420.742,106.868,50.34,0.527
"92","retail","R214","C2",6,"RegInt","SiteEnergyUse",105,88,12981,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"93","retail","R26","C2",7,"RegInt","SourceEUI",105,88,14964,0.796,-0.248,11420.742,106.868,50.34,0.527
"94","retail","R215","C2",7,"RegInt","SiteEnergyUse",105,88,14964,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"95","retail","R27","C2",8,"RegInt","SourceEUI",105,88,15360,0.796,-0.248,11420.742,106.868,50.34,0.527
"96","retail","R216","C2",8,"RegInt","SiteEnergyUse",105,88,15360,0.939,0.628,2466730791441.35,1570582.946,750208.341,0.446
"97","retail","R29","C3a",1,"rpart","SourceEUI",105,6,6,0.254,0.217,41747.273,204.321,165.435,1.294
"98","retail","R218","C3a",1,"rpart","SiteEnergyUse",105,6,6,0.522,0.498,19417217126948.6,4406497.149,3092989.559,1.163
"99","retail","R210","C3b",1,"xgboost","SourceEUI",105,22,22,0.821,0.775,6751.658,82.168,61.281,0.449
"100","retail","R219","E3b",1,"xgboost","SiteEnergyUse",105,21,21,0.8,0.752,5850145059175.74,2418707.312,1866350.363,0.967
"101","warehouse","R2","C1",1,"Reg","SourceEUI",144,27,28,0.189,0.009,2863.227,53.509,38.107,0.855
"102","warehouse","R21","C1",1,"Reg","SiteEnergyUse",144,27,28,0.315,0.163,2184653560456.07,1478057.36,990694.064,1.106
"103","warehouse","R28","C2",2,"RegInt","SourceEUI",144,74,296,0.729,0.446,958.099,30.953,18.8,0.418
"104","warehouse","R217","C2",2,"RegInt","SiteEnergyUse",144,74,296,0.833,0.659,532603208303.305,729796.69,432992.746,0.578
"105","warehouse","R22","C2",3,"RegInt","SourceEUI",144,80,1614,0.784,0.518,762.399,27.612,16.118,0.344
"106","warehouse","R211","C2",3,"RegInt","SiteEnergyUse",144,80,1614,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"107","warehouse","R23","C2",4,"RegInt","SourceEUI",144,80,5191,0.784,0.518,762.399,27.612,16.118,0.344
"108","warehouse","R212","C2",4,"RegInt","SiteEnergyUse",144,80,5191,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"109","warehouse","R24","C2",5,"RegInt","SourceEUI",144,80,10790,0.784,0.518,762.399,27.612,16.118,0.344
"110","warehouse","R213","C2",5,"RegInt","SiteEnergyUse",144,80,10790,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"111","warehouse","R25","C2",6,"RegInt","SourceEUI",144,80,15824,0.784,0.518,762.399,27.612,16.118,0.344
"112","warehouse","R214","C2",6,"RegInt","SiteEnergyUse",144,80,15824,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"113","warehouse","R26","C2",7,"RegInt","SourceEUI",144,80,18240,0.784,0.518,762.399,27.612,16.118,0.344
"114","warehouse","R215","C2",7,"RegInt","SiteEnergyUse",144,80,18240,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"115","warehouse","R27","C2",8,"RegInt","SourceEUI",144,80,18720,0.784,0.518,762.399,27.612,16.118,0.344
"116","warehouse","R216","C2",8,"RegInt","SiteEnergyUse",144,80,18720,0.847,0.657,489267530092.666,699476.612,401173.834,0.492
"117","warehouse","R29","C3a",1,"rpart","SourceEUI",144,6,6,0.138,0.107,3045.727,55.188,39.702,0.942
"118","warehouse","R218","C3a",1,"rpart","SiteEnergyUse",144,6,6,0.266,0.24,2339665028152.78,1529596.361,991623.831,1.057
"119","warehouse","R210","C3b",1,"xgboost","SourceEUI",144,20,20,0.198,0.075,1893.398,43.513,29.311,0.608
"120","warehouse","R219","E3b",1,"xgboost","SiteEnergyUse",144,20,20,0.375,0.279,1288178618322.94,1134979.567,733536.328,0.782
"121","multifamily","R2","C1",1,"Reg","SourceEUI",1086,33,33,0.102,0.074,1006.76,31.729,19.109,0.292
"122","multifamily","R21","C1",1,"Reg","SiteEnergyUse",1086,33,33,0.832,0.826,1545775754939.74,1243292.305,693440.411,0.521
"123","multifamily","R28","C2",2,"RegInt","SourceEUI",1086,232,400,0.287,0.094,799.446,28.274,16.05,0.243
"124","multifamily","R217","C2",2,"RegInt","SiteEnergyUse",1086,232,400,0.917,0.894,764017883282.091,874081.165,490734.659,0.436
"125","multifamily","R22","C2",3,"RegInt","SourceEUI",1086,485,2450,0.472,0.047,591.542,24.322,11.42,0.128
"126","multifamily","R211","C2",3,"RegInt","SiteEnergyUse",1086,485,2450,0.972,0.949,258373059941.984,508304.102,284285.737,0.195
"127","multifamily","R23","C2",4,"RegInt","SourceEUI",1086,593,8665,0.573,0.06,478.478,21.874,9.215,0.103
"128","multifamily","R212","C2",4,"RegInt","SiteEnergyUse",1086,593,8665,0.981,0.958,176862507589.622,420550.244,205919.148,0.146
"129","multifamily","R24","C2",5,"RegInt","SourceEUI",1086,614,19301,0.582,0.04,468.273,21.64,8.905,0.099
"130","multifamily","R213","C2",5,"RegInt","SiteEnergyUse",1086,614,19301,0.982,0.959,163293486594.568,404095.888,197081.364,0.141
"131","multifamily","R25","C2",6,"RegInt","SourceEUI",1086,617,29558,0.586,0.042,464.085,21.543,8.77,0.097
"132","multifamily","R214","C2",6,"RegInt","SiteEnergyUse",1086,617,29558,0.982,0.959,160793001586.571,400990.027,193347.286,0.139
"133","multifamily","R26","C2",7,"RegInt","SourceEUI",1086,617,34760,0.586,0.042,464.085,21.543,8.77,0.097
"134","multifamily","R215","C2",7,"RegInt","SiteEnergyUse",1086,617,34760,0.982,0.959,160793001586.571,400990.027,193347.286,0.139
"135","multifamily","R27","C2",8,"RegInt","SourceEUI",1086,617,35840,0.586,0.042,464.085,21.543,8.77,0.097
"136","multifamily","R216","C2",8,"RegInt","SiteEnergyUse",1086,617,35840,0.982,0.959,160793001586.571,400990.027,193347.286,0.139
"137","multifamily","R29","C3a",1,"rpart","SourceEUI",1086,5,5,0.039,0.036,1076.617,32.812,19.59,0.295
"138","multifamily","R218","C3a",1,"rpart","SiteEnergyUse",1086,6,6,0.781,0.78,2013698970433.11,1419048.615,826474.344,0.534
"139","multifamily","R210","C3b",1,"xgboost","SourceEUI",1086,28,28,0.137,0.115,785.206,28.022,17.038,0.252
"140","multifamily","R219","E3b",1,"xgboost","SiteEnergyUse",1086,29,29,0.902,0.899,795366227157.707,891833.071,522888.346,0.379
